"Localidades";"Períodos";"Leitos de Internação ";"Leitos de Internação (Coeficiente por mil habitantes)";"Leitos SUS ";"Leitos SUS (Coeficiente por mil habitantes)";"Cód. IBGE"
"Brotas";"2019";"41";"1,73";"35";"1,48";3507902
"Buri";"2019";"-";"-";"-";"-";3508009
"Buritama";"2019";"42";"2,55";"22";"1,33";3508108
"Buritizal";"2019";"-";"-";"-";"-";3508207
"Cabrália Paulista";"2019";"-";"-";"-";"-";3508306
"Cabreúva";"2019";"15";"0,31";"10";"0,21";3508405
"Cachoeira Paulista";"2019";"16";"0,5";"14";"0,44";3508603
"Caconde";"2019";"62";"3,29";"62";"3,29";3508702
"Cafelândia";"2019";"48";"2,79";"37";"2,15";3508801
"Caiabu";"2019";"-";"-";"-";"-";3508900
"Caieiras";"2019";"110";"1,11";"65";"0,66";3509007
"Caiuá";"2019";"-";"-";"-";"-";3509106
"Cajamar";"2019";"149";"1,95";"49";"0,64";3509205
"Cajati";"2019";"-";"-";"-";"-";3509254
"Cajobi";"2019";"32";"3,18";"26";"2,58";3509304
"Cajuru";"2019";"140";"5,5";"55";"2,16";3509403
"Campina do Monte Alegre";"2019";"-";"-";"-";"-";3509452
"Campinas";"2019";"2578";"2,21";"1316";"1,13";3509502
"Campo Limpo Paulista";"2019";"68";"0,83";"68";"0,83";3509601
"Campos do Jordão";"2019";"201";"4,03";"191";"3,83";3509700
"Campos Novos Paulista";"2019";"-";"-";"-";"-";3509809
"Cananéia";"2019";"-";"-";"-";"-";3509908
"Canas";"2019";"-";"-";"-";"-";3509957
"Cândido Mota";"2019";"30";"1";"25";"0,83";3510005
"Cândido Rodrigues";"2019";"-";"-";"-";"-";3510104
"Canitar";"2019";"-";"-";"-";"-";3510153
"Capão Bonito";"2019";"58";"1,25";"48";"1,04";3510203
"Capela do Alto";"2019";"59";"2,92";"14";"0,69";3510302
"Capivari";"2019";"93";"1,73";"47";"0,88";3510401
"Caraguatatuba";"2019";"165";"1,44";"111";"0,97";3510500
"Carapicuíba";"2019";"270";"0,69";"220";"0,56";3510609
"Cardoso";"2019";"31";"2,64";"12";"1,02";3510708
"Casa Branca";"2019";"372";"12,68";"356";"12,13";3510807
"Cássia dos Coqueiros";"2019";"-";"-";"-";"-";3510906
"Castilho";"2019";"31";"1,52";"30";"1,47";3511003
"Catanduva";"2019";"588";"5,03";"374";"3,2";3511102
"Catiguá";"2019";"-";"-";"-";"-";3511201
"Caçapava";"2019";"178";"1,96";"63";"0,7";3508504
"Cedral";"2019";"50";"5,71";"-";"-";3511300
"Cerqueira César";"2019";"39";"2,05";"32";"1,68";3511409
"Cerquilho";"2019";"32";"0,7";"21";"0,46";3511508
"Cesário Lange";"2019";"22";"1,29";"17";"0,99";3511607
"Charqueada";"2019";"33";"1,97";"26";"1,55";3511706
"Chavantes";"2019";"50";"4,09";"30";"2,46";3557204
"Clementina";"2019";"30";"3,66";"20";"2,44";3511904
"Colina";"2019";"47";"2,67";"35";"1,99";3512001
"Colômbia";"2019";"20";"3,31";"20";"3,31";3512100
"Conchal";"2019";"52";"1,92";"42";"1,55";3512209
"Conchas";"2019";"32";"1,88";"32";"1,88";3512308
"Cordeirópolis";"2019";"-";"-";"-";"-";3512407
"Coroados";"2019";"-";"-";"-";"-";3512506
"Coronel Macedo";"2019";"6";"1,24";"6";"1,24";3512605
"Corumbataí";"2019";"-";"-";"-";"-";3512704
"Cosmópolis";"2019";"68";"0,97";"33";"0,47";3512803
"Cosmorama";"2019";"-";"-";"-";"-";3512902
"Cotia";"2019";"667";"2,75";"111";"0,46";3513009
"Cravinhos";"2019";"15";"0,44";"13";"0,38";3513108
"Cristais Paulista";"2019";"-";"-";"-";"-";3513207
"Cruzália";"2019";"-";"-";"-";"-";3513306
"Cruzeiro";"2019";"103";"1,29";"67";"0,84";3513405
"Cubatão";"2019";"118";"0,92";"66";"0,52";3513504
"Cunha";"2019";"40";"1,84";"25";"1,15";3513603
"Descalvado";"2019";"40";"1,24";"25";"0,77";3513702
"Diadema";"2019";"624";"1,55";"555";"1,38";3513801
"Dirce Reis";"2019";"-";"-";"-";"-";3513850
"Divinolândia";"2019";"186";"17,04";"186";"17,04";3513900
"Dobrada";"2019";"-";"-";"-";"-";3514007
"Dois Córregos";"2019";"67";"2,5";"47";"1,76";3514106
"Dolcinópolis";"2019";"-";"-";"-";"-";3514205
"Dourado";"2019";"14";"1,65";"14";"1,65";3514304
"Dracena";"2019";"143";"3,19";"108";"2,41";3514403
"Duartina";"2019";"87";"7,25";"77";"6,42";3514502
"Dumont";"2019";"-";"-";"-";"-";3514601
"Echaporã";"2019";"-";"-";"-";"-";3514700
"Eldorado";"2019";"2";"0,13";"2";"0,13";3514809
"Elias Fausto";"2019";"6";"0,35";"6";"0,35";3514908
"Elisiário";"2019";"-";"-";"-";"-";3514924
"Embaúba";"2019";"-";"-";"-";"-";3514957
"Embu das Artes";"2019";"244";"0,91";"89";"0,33";3515004
"Embu-Guaçu";"2019";"17";"0,25";"17";"0,25";3515103
"Emilianópolis";"2019";"-";"-";"-";"-";3515129
"Engenheiro Coelho";"2019";"-";"-";"-";"-";3515152
"Espírito Santo do Pinhal";"2019";"452";"10,63";"354";"8,33";3515186
"Espírito Santo do Turvo";"2019";"-";"-";"-";"-";3515194
"Estiva Gerbi";"2019";"-";"-";"-";"-";3557303
"Estrela d'Oeste";"2019";"66";"8,14";"61";"7,52";3515202
"Estrela do Norte";"2019";"-";"-";"-";"-";3515301
"Euclides da Cunha Paulista";"2019";"-";"-";"-";"-";3515350
"Fartura";"2019";"20";"1,28";"12";"0,77";3515400
"Fernando Prestes";"2019";"-";"-";"-";"-";3515608
"Fernandópolis";"2019";"135";"2,05";"84";"1,27";3515509
"Fernão";"2019";"-";"-";"-";"-";3515657
"Ferraz de Vasconcelos";"2019";"189";"0,99";"189";"0,99";3515707
"Flora Rica";"2019";"-";"-";"-";"-";3515806
"Floreal";"2019";"-";"-";"-";"-";3515905
"Flórida Paulista";"2019";"47";"3,86";"30";"2,46";3516002
"Florínea";"2019";"-";"-";"-";"-";3516101
"Franca";"2019";"739";"2,17";"488";"1,44";3516200
"Francisco Morato";"2019";"98";"0,57";"98";"0,57";3516309
"Franco da Rocha";"2019";"693";"4,62";"611";"4,07";3516408
"Gabriel Monteiro";"2019";"-";"-";"-";"-";3516507
"Gália";"2019";"45";"6,82";"27";"4,09";3516606
"Garça";"2019";"281";"6,61";"252";"5,92";3516705
"Gastão Vidigal";"2019";"-";"-";"-";"-";3516804
