;nome_munic;codigo_ibge;dia;mes;datahora;casos;casos_novos;casos_pc;casos_mm7d;obitos;obitos_novos;obitos_pc;obitos_mm7d;letalidade;nome_ra;cod_ra;nome_drs;cod_drs;pop;pop_60;area;map_leg;map_leg_s;latitude;longitude;semana_epidem
276035;Ubarana;3555356;27;4;2021-04-27;559;4;9,215298e+03;   1,2857143;9;0;1,483680e+02;  0,0000000;0,0161001789;RA de São José do Rio Preto;14;São José do Rio Preto;15;6066;775;20986;<600;4.0;-21,1650;-49,7198;17
276036;Ubatuba;3555406;27;4;2021-04-27;5248;13;5,902200e+03;  12,0000000;89;1;1,000945e+02;  0,1428571;0,0169588415;RA de São José dos Campos;15;Taubaté;17;88916;11869;70811;>5000;1.0;-23,4332;-45,0834;17
276037;Ubirajara;3555505;27;4;2021-04-27;217;1;4,653656e+03;   1,4285714;2;0;4,289084e+01;  0,0000000;0,0092165899;RA de Bauru;3;Marília;5;4663;848;28218;<300;5.0;-22,5272;-49,6613;17
276038;Uchoa;3555604;27;4;2021-04-27;944;7;9,749045e+03;   4,2857143;21;0;2,168749e+02;  0,4285714;0,0222457627;RA de São José do Rio Preto;14;São José do Rio Preto;15;9683;1966;25243;<1200;3.0;-20,9511;-49,1713;17
276039;União Paulista;3555703;27;4;2021-04-27;113;0;6,497987e+03;   0,2857143;4;0;2,300173e+02;  0,0000000;0,0353982301;RA de São José do Rio Preto;14;São José do Rio Preto;15;1739;280;7906;<150;6.0;-20,8862;-49,9025;17
276040;Urânia;3555802;27;4;2021-04-27;921;8;1,069562e+04;   2,7142857;29;0;3,367785e+02;  0,0000000;0,0314875136;RA de São José do Rio Preto;14;São José do Rio Preto;15;8611;1966;20926;<1200;3.0;-20,2455;-50,6455;17
276041;Uru;3555901;27;4;2021-04-27;126;3;1,043911e+04;   0,5714286;3;0;2,485501e+02;  0,0000000;0,0238095238;RA de Bauru;3;Bauru;12;1207;258;1469;<150;6.0;-21,7866;-49,2848;17
276042;Urupês;3556008;27;4;2021-04-27;588;1;4,466727e+03;   1,2857143;24;0;1,823154e+02;  0,1428571;0,0408163265;RA de São José do Rio Preto;14;São José do Rio Preto;15;13164;2726;32392;<600;4.0;-21,2032;-49,2931;17
276043;Valentim Gentil;3556107;27;4;2021-04-27;1416;0;1,108849e+04;   9,5714286;39;0;3,054033e+02;  0,1428571;0,0275423729;RA de São José do Rio Preto;14;São José do Rio Preto;15;12770;2027;14974;<5000;2.0;-20,4217;-50,0889;17
276044;Valinhos;3556206;27;4;2021-04-27;9384;28;7,522727e+03;  25,7142857;271;0;2,172484e+02;  0,4285714;0,0288789429;RA de Campinas;4;Campinas;3;124742;20141;14854;>5000;1.0;-22,9698;-46,9974;17
276045;Valparaíso;3556305;27;4;2021-04-27;1653;13;6,890945e+03;   5,5714286;44;1;1,834250e+02;  0,1428571;0,0266182698;RA de Araçatuba;1;Araçatuba;7;23988;3207;85766;<5000;2.0;-21,2229;-50,8699;17
276046;Vargem;3556354;27;4;2021-04-27;145;3;1,450000e+03;   0,5714286;3;0;3,000000e+01;  0,0000000;0,0206896552;RA de Campinas;4;Campinas;3;10000;1730;1426;<150;6.0;-22,8870;-46,4124;17
276047;Vargem Grande do Sul;3556404;27;4;2021-04-27;1964;1;4,732416e+03;   6,0000000;39;0;9,397364e+01;  0,2857143;0,0198574338;RA de Campinas;4;São João da Boa Vista;14;41501;6921;26718;<5000;2.0;-21,8322;-46,8913;17
276048;Vargem Grande Paulista;3556453;27;4;2021-04-27;1674;8;3,172738e+03;   6,4285714;62;0;1,175088e+02;  1,0000000;0,0370370370;RM de São Paulo;10;Grande São Paulo;10;52762;6337;4249;<5000;2.0;-23,5993;-47,0220;17
276049;Várzea Paulista;3556503;27;4;2021-04-27;4858;34;4,030365e+03;  30,8571429;144;8;1,194674e+02;  1,7142857;0,0296418279;RA de Campinas;4;Campinas;3;120535;15274;3512;<5000;2.0;-23,2136;-46,8234;17
276050;Vera Cruz;3556602;27;4;2021-04-27;419;1;3,981376e+03;   1,5714286;20;0;1,900418e+02;  0,5714286;0,0477326969;RA de Marília;8;Marília;5;10524;2066;24772;<600;4.0;-22,2183;-49,8207;17
276051;Vinhedo;3556701;27;4;2021-04-27;6066;27;7,824976e+03;  12,1428571;113;4;1,457670e+02;  0,8571429;0,0186284207;RA de Campinas;4;Campinas;3;77521;11665;816;>5000;1.0;-23,0302;-46,9833;17
276052;Viradouro;3556800;27;4;2021-04-27;1353;3;7,374503e+03;  26,8571429;30;1;1,635145e+02;  0,7142857;0,0221729490;RA de Barretos;2;Barretos;16;18347;2985;21773;<5000;2.0;-20,8734;-48,2930;17
276053;Vista Alegre do Alto;3556909;27;4;2021-04-27;626;22;7,811330e+03;   3,4285714;8;1;9,982531e+01;  0,2857143;0,0127795527;RA de Barretos;2;Barretos;16;8014;1107;9543;<1200;3.0;-21,1692;-48,6284;17
276054;Vitória Brasil;3556958;27;4;2021-04-27;162;19;9,204545e+03;   3,5714286;4;0;2,272727e+02;  0,0000000;0,0246913580;RA de São José do Rio Preto;14;São José do Rio Preto;15;1760;353;4983;<300;5.0;-20,1956;-50,4875;17
276055;Votorantim;3557006;27;4;2021-04-27;5920;25;4,940580e+03;  25,4285714;248;1;2,069702e+02;  1,2857143;0,0418918919;RA de Sorocaba;13;Sorocaba;6;119824;16378;18352;>5000;1.0;-23,5446;-47,4388;17
276056;Votuporanga;3557105;27;4;2021-04-27;10940;37;1,192241e+04;  43,1428571;295;2;3,214908e+02;  2,1428571;0,0269652651;RA de São José do Rio Preto;14;São José do Rio Preto;15;91760;17203;4207;>5000;1.0;-20,4237;-49,9781;17
276057;Zacarias;3557154;27;4;2021-04-27;225;2;8,789062e+03;   0,8571429;5;0;1,953125e+02;  0,0000000;0,0222222222;RA de São José do Rio Preto;14;São José do Rio Preto;15;2560;481;31906;<300;5.0;-21,0506;-50,0552;17
276058;Chavantes;3557204;27;4;2021-04-27;516;4;4,221550e+03;   2,8571429;16;0;1,309008e+02;  0,0000000;0,0310077519;RA de Marília;8;Marília;5;12223;2098;18873;<600;4.0;-23,0366;-49,7096;17
276059;Estiva Gerbi;3557303;27;4;2021-04-27;532;3;4,801877e+03;   1,8571429;21;1;1,895478e+02;  0,2857143;0,0394736842;RA de Campinas;4;São João da Boa Vista;14;11079;1606;7414;<600;4.0;-22,2713;-46,9481;17
276487;Ignorado;9999999;27;4;2021-04-27;571;6;0,000000e+00;  -3,5714286;0;0;0,000000e+00; -0,1428571;0,0000000000;;0;;0;0;0;0;;;  0,0000;  0,0000;17
