;nome_munic;codigo_ibge;dia;mes;datahora;casos;casos_novos;casos_pc;casos_mm7d;obitos;obitos_novos;obitos_pc;obitos_mm7d;letalidade;nome_ra;cod_ra;nome_drs;cod_drs;pop;pop_60;area;map_leg;map_leg_s;latitude;longitude;semana_epidem
275463;Auriflama;3504206;27;4;2021-04-27;1570;10;1,084928e+04;   4,1428571;52;0;3,593394e+02;  0,5714286;0,0331210191;RA de Araçatuba;1;Araçatuba;7;14471;2825;4345;<5000;2.0;-20,6836;-50,5572;17
275464;Avaí;3504305;27;4;2021-04-27;255;1;4,822239e+03;   1,7142857;4;0;7,564297e+01;  0,0000000;0,0156862745;RA de Bauru;3;Bauru;12;5288;853;54069;<300;5.0;-22,1514;-49,3356;17
275465;Avanhandava;3504404;27;4;2021-04-27;532;3;4,391613e+03;   1,7142857;23;0;1,898630e+02;  0,0000000;0,0432330827;RA de Araçatuba;1;Araçatuba;7;12114;1541;33837;<600;4.0;-21,4584;-49,9509;17
275466;Avaré;3504503;27;4;2021-04-27;5877;72;6,713656e+03;  66,5714286;132;10;1,507917e+02;  2,2857143;0,0224604390;RA de Sorocaba;13;Bauru;12;87538;14398;121306;>5000;1.0;-23,1067;-48,9251;17
275467;Bady Bassitt;3504602;27;4;2021-04-27;2252;21;1,379141e+04;  11,5714286;50;0;3,062037e+02;  0,7142857;0,0222024867;RA de São José do Rio Preto;14;São José do Rio Preto;15;16329;2565;11037;<5000;2.0;-20,9197;-49,4385;17
275468;Balbinos;3504701;27;4;2021-04-27;308;0;8,315335e+03;   1,2857143;3;0;8,099352e+01;  0,0000000;0,0097402597;RA de Bauru;3;Bauru;12;3704;306;9164;<600;4.0;-21,8963;-49,3619;17
275469;Bálsamo;3504800;27;4;2021-04-27;1242;6;1,457062e+04;   4,7142857;48;0;5,631159e+02;  0,2857143;0,0386473430;RA de São José do Rio Preto;14;São José do Rio Preto;15;8524;1712;14988;<5000;2.0;-20,7348;-49,5865;17
275470;Bananal;3504909;27;4;2021-04-27;723;0;6,788095e+03;   0,1428571;2;0;1,877758e+01;  0,0000000;0,0027662517;RA de São José dos Campos;15;Taubaté;17;10651;1900;61643;<1200;3.0;-22,6819;-44,3281;17
275471;Barão de Antonina;3505005;27;4;2021-04-27;171;3;5,054685e+03;   2,0000000;3;0;8,867869e+01;  0,0000000;0,0175438596;RA de Itapeva;7;Bauru;12;3383;637;15314;<300;5.0;-23,6284;-49,5634;17
275472;Barbosa;3505104;27;4;2021-04-27;339;2;4,654036e+03;   0,7142857;10;0;1,372872e+02;  0,1428571;0,0294985251;RA de Araçatuba;1;Araçatuba;7;7284;1122;20521;<600;4.0;-21,2657;-49,9518;17
275473;Bariri;3505203;27;4;2021-04-27;2227;3;6,551349e+03;   5,4285714;85;0;2,500515e+02;  0,0000000;0,0381679389;RA de Bauru;3;Bauru;12;33993;6061;44441;<5000;2.0;-22,0730;-48,7438;17
275474;Barra Bonita;3505302;27;4;2021-04-27;2563;9;7,340895e+03;   9,7142857;68;1;1,947643e+02;  0,1428571;0,0265314085;RA de Bauru;3;Bauru;12;34914;6605;15012;<5000;2.0;-22,4909;-48,5583;17
275475;Barra do Chapéu;3505351;27;4;2021-04-27;217;1;3,924051e+03;   0,2857143;1;0;1,808318e+01;  0,0000000;0,0046082949;RA de Itapeva;7;Sorocaba;6;5530;802;40568;<300;5.0;-24,4722;-49,0238;17
275476;Barra do Turvo;3505401;27;4;2021-04-27;441;9;5,736959e+03;   4,1428571;11;0;1,430987e+02;  0,1428571;0,0249433107;RA de Registro;16;Registro;9;7687;1274;100768;<600;4.0;-24,7590;-48,5013;17
275477;Barretos;3505500;27;4;2021-04-27;10343;56;8,761690e+03;  35,4285714;295;1;2,498983e+02;  1,4285714;0,0285217055;RA de Barretos;2;Barretos;16;118048;20239;156616;>5000;1.0;-20,5531;-48,5698;17
275478;Barrinha;3505609;27;4;2021-04-27;1194;4;3,692251e+03;   2,8571429;50;0;1,546169e+02;  0,4285714;0,0418760469;RA de Ribeirão Preto;11;Ribeirão Preto;1;32338;3336;14603;<1200;3.0;-21,1864;-48,1636;17
275479;Barueri;3505708;27;4;2021-04-27;22350;131;8,453421e+03; 102,7142857;839;13;3,173342e+02;  7,4285714;0,0375391499;RM de São Paulo;10;Grande São Paulo;10;264390;29409;657;>5000;1.0;-23,5057;-46,8790;17
275480;Bastos;3505807;27;4;2021-04-27;511;4;2,517117e+03;   3,0000000;22;1;1,083690e+02;  0,4285714;0,0430528376;RA de Marília;8;Marília;5;20301;3549;17091;<600;4.0;-21,9210;-50,7357;17
275481;Batatais;3505906;27;4;2021-04-27;2098;33;3,483777e+03;   8,8571429;82;0;1,361629e+02;  1,0000000;0,0390848427;RA de Franca;6;Ribeirão Preto;1;60222;10779;84953;<5000;2.0;-20,8929;-47,5921;17
275482;Bauru;3506003;27;4;2021-04-27;33853;282;9,294529e+03; 196,4285714;740;12;2,031711e+02;  5,7142857;0,0218592148;RA de Bauru;3;Bauru;12;364225;62416;66768;>5000;1.0;-22,3246;-49,0871;17
275483;Bebedouro;3506102;27;4;2021-04-27;3240;2;4,369227e+03;   5,1428571;79;0;1,065336e+02;  0,2857143;0,0243827160;RA de Barretos;2;Barretos;16;74155;13801;68319;<5000;2.0;-20,9491;-48,4791;17
275484;Bento de Abreu;3506201;27;4;2021-04-27;238;1;8,081494e+03;   0,8571429;0;0;0,000000e+00;  0,0000000;0,0000000000;RA de Araçatuba;1;Araçatuba;7;2945;455;30169;<300;5.0;-21,2686;-50,8140;17
275485;Bernardino de Campos;3506300;27;4;2021-04-27;385;1;3,569111e+03;   5,7142857;7;0;6,489293e+01;  0,0000000;0,0181818182;RA de Marília;8;Marília;5;10787;2156;24416;<600;4.0;-23,0164;-49,4679;17
275486;Bertioga;3506359;27;4;2021-04-27;4470;1;7,062727e+03;  31,8571429;103;0;1,627429e+02;  0,1428571;0,0230425056;RA de Santos;12;Baixada Santista;13;63290;6351;49155;<5000;2.0;-23,8486;-46,1396;17
275487;Bilac;3506409;27;4;2021-04-27;707;3;9,045548e+03;   1,4285714;12;0;1,535312e+02;  0,0000000;0,0169731259;RA de Araçatuba;1;Araçatuba;7;7816;1521;15803;<1200;3.0;-21,4040;-50,4746;17
275488;Birigui;3506508;27;4;2021-04-27;10793;82;8,895647e+03;  38,2857143;343;3;2,827024e+02;  2,4285714;0,0317798573;RA de Araçatuba;1;Araçatuba;7;121329;19969;53003;>5000;1.0;-21,2910;-50,3432;17
275489;Biritiba Mirim;3506607;27;4;2021-04-27;980;3;3,030490e+03;   4,2857143;64;1;1,979096e+02;  0,4285714;0,0653061224;RM de São Paulo;10;Grande São Paulo;10;32338;4381;31741;<1200;3.0;-23,5698;-46,0407;17
275490;Boa Esperança do Sul;3506706;27;4;2021-04-27;677;4;4,642710e+03;   1,0000000;11;0;7,543547e+01;  0,0000000;0,0162481536;RA Central;5;Araraquara;8;14582;2032;69075;<1200;3.0;-21,9918;-48,3906;17
275491;Bocaina;3506805;27;4;2021-04-27;1083;0;8,924598e+03;   0,4285714;24;0;1,977750e+02;  0,0000000;0,0221606648;RA de Bauru;3;Bauru;12;12135;1818;36393;<1200;3.0;-22,1365;-48,5230;17
275492;Bofete;3506904;27;4;2021-04-27;548;5;4,947635e+03;   5,0000000;12;1;1,083424e+02;  0,1428571;0,0218978102;RA de Sorocaba;13;Bauru;12;11076;1948;65354;<600;4.0;-23,1055;-48,2582;17
275493;Boituva;3507001;27;4;2021-04-27;4090;14;7,138868e+03;  12,8571429;90;1;1,570900e+02;  0,8571429;0,0220048900;RA de Sorocaba;13;Sorocaba;6;57292;7426;24895;<5000;2.0;-23,2855;-47,6786;17
275494;Bom Jesus dos Perdões;3507100;27;4;2021-04-27;1647;23;6,780289e+03;  29,2857143;21;0;8,645177e+01;  0,0000000;0,0127504554;RA de Campinas;4;Campinas;3;24291;3068;10837;<5000;2.0;-23,1356;-46,4675;17
275495;Bom Sucesso de Itararé;3507159;27;4;2021-04-27;117;0;3,030303e+03;   0,1428571;5;0;1,295001e+02;  0,0000000;0,0427350427;RA de Itapeva;7;Sorocaba;6;3861;404;13358;<150;6.0;-24,3155;-49,1451;17
275496;Borá;3507209;27;4;2021-04-27;48;0;5,911330e+03;   0,7142857;0;0;0,000000e+00;  0,0000000;0,0000000000;RA de Marília;8;Marília;5;812;130;11895;<50;7.0;-22,2696;-50,5409;17
275497;Boracéia;3507308;27;4;2021-04-27;747;4;1,569657e+04;   1,5714286;19;0;3,992435e+02;  0,1428571;0,0254350736;RA de Bauru;3;Bauru;12;4759;739;12211;<1200;3.0;-22,1926;-48,7808;17
275498;Borborema;3507407;27;4;2021-04-27;925;24;6,036677e+03;   8,8571429;29;0;1,892580e+02;  0,2857143;0,0313513514;RA Central;5;Araraquara;8;15323;2800;55226;<1200;3.0;-21,6214;-49,0741;17
275499;Borebi;3507456;27;4;2021-04-27;125;0;4,846840e+03;   0,0000000;2;0;7,754944e+01;  0,0000000;0,0160000000;RA de Bauru;3;Bauru;12;2579;356;34799;<150;6.0;-22,5728;-48,9707;17
275500;Botucatu;3507506;27;4;2021-04-27;10845;37;7,684132e+03;  18,5714286;197;3;1,395827e+02;  1,1428571;0,0181650530;RA de Sorocaba;13;Bauru;12;141135;23520;148264;>5000;1.0;-22,8837;-48,4437;17
275501;Bragança Paulista;3507605;27;4;2021-04-27;11783;293;7,185632e+03; 116,0000000;268;0;1,634346e+02;  1,4285714;0,0227446321;RA de Campinas;4;Campinas;3;163980;25945;51258;>5000;1.0;-22,9527;-46,5419;17
275502;Braúna;3507704;27;4;2021-04-27;351;1;6,322046e+03;   0,5714286;19;0;3,422190e+02;  0,2857143;0,0541310541;RA de Araçatuba;1;Araçatuba;7;5552;1025;19518;<600;4.0;-21,4990;-50,3175;17
275503;Brejo Alegre;3507753;27;4;2021-04-27;262;0;9,465318e+03;   0,1428571;10;0;3,612717e+02;  0,0000000;0,0381679389;RA de Araçatuba;1;Araçatuba;7;2768;461;10569;<300;5.0;-21,1651;-50,1861;17
275504;Brodowski;3507803;27;4;2021-04-27;1714;12;7,158669e+03;   7,1428571;46;1;1,921230e+02;  0,4285714;0,0268378063;RA de Ribeirão Preto;11;Ribeirão Preto;1;23943;3710;27846;<5000;2.0;-20,9845;-47,6572;17
275505;Brotas;3507902;27;4;2021-04-27;426;1;1,786164e+03;   2,1428571;24;0;1,006289e+02;  0,0000000;0,0563380282;RA de Campinas;4;Bauru;12;23850;3735;110137;<600;4.0;-22,2795;-48,1251;17
275506;Buri;3508009;27;4;2021-04-27;2082;11;1,058034e+04;  15,5714286;52;4;2,642545e+02;  1,2857143;0,0249759846;RA de Itapeva;7;Sorocaba;6;19678;2558;119591;<5000;2.0;-23,7977;-48,5958;17
275507;Buritama;3508108;27;4;2021-04-27;1774;20;1,068932e+04;   7,0000000;50;1;3,012774e+02;  0,4285714;0,0281848929;RA de Araçatuba;1;Araçatuba;7;16596;2947;32692;<5000;2.0;-21,0661;-50,1475;17
275508;Buritizal;3508207;27;4;2021-04-27;210;0;4,875784e+03;   1,4285714;6;0;1,393081e+02;  0,1428571;0,0285714286;RA de Franca;6;Franca;4;4307;822;26642;<300;5.0;-20,1911;-47,7096;17
275509;Cabrália Paulista;3508306;27;4;2021-04-27;219;2;5,083565e+03;   0,8571429;2;0;4,642526e+01;  0,0000000;0,0091324201;RA de Bauru;3;Bauru;12;4308;695;23997;<300;5.0;-22,4576;-49,3393;17
275510;Cabreúva;3508405;27;4;2021-04-27;2953;6;5,974105e+03;   5,2857143;68;0;1,375683e+02;  0,0000000;0,0230274297;RA de Campinas;4;Campinas;3;49430;5335;26023;<5000;2.0;-23,3053;-47,1362;17
275511;Caçapava;3508504;27;4;2021-04-27;5572;29;6,108510e+03;  33,1428571;153;1;1,677319e+02;  1,1428571;0,0274587222;RA de São José dos Campos;15;Taubaté;17;91217;14274;36899;>5000;1.0;-23,0992;-45,7076;17
275512;Cachoeira Paulista;3508603;27;4;2021-04-27;1824;30;5,659148e+03;  10,8571429;29;0;8,997549e+01;  0,0000000;0,0158991228;RA de São José dos Campos;15;Taubaté;17;32231;5391;28799;<5000;2.0;-22,6665;-45,0154;17
275513;Caconde;3508702;27;4;2021-04-27;933;0;4,948552e+03;   3,5714286;13;0;6,895089e+01;  0,2857143;0,0139335477;RA de Campinas;4;São João da Boa Vista;14;18854;3458;46821;<1200;3.0;-21,5280;-46,6437;17
275514;Cafelândia;3508801;27;4;2021-04-27;635;0;3,682440e+03;   0,2857143;30;1;1,739736e+02;  0,1428571;0,0472440945;RA de Bauru;3;Bauru;12;17244;3107;92028;<1200;3.0;-21,8031;-49,6092;17
275515;Caiabu;3508900;27;4;2021-04-27;68;0;1,657324e+03;   0,0000000;5;0;1,218621e+02;  0,0000000;0,0735294118;RA de Presidente Prudente;9;Presidente Prudente;2;4103;771;25335;<150;6.0;-22,0127;-51,2394;17
275516;Caieiras;3509007;27;4;2021-04-27;6220;12;6,182165e+03;  22,0000000;216;1;2,146861e+02;  1,1428571;0,0347266881;RM de São Paulo;10;Grande São Paulo;10;100612;12059;9764;>5000;1.0;-23,3607;-46,7397;17
275517;Caiuá;3509106;27;4;2021-04-27;239;1;4,267857e+03;   2,4285714;5;1;8,928571e+01;  0,1428571;0,0209205021;RA de Presidente Prudente;9;Presidente Prudente;2;5600;973;55116;<300;5.0;-21,8322;-51,9969;17
275518;Cajamar;3509205;27;4;2021-04-27;3388;15;4,364461e+03;  11,1428571;158;1;2,035374e+02;  0,8571429;0,0466351830;RM de São Paulo;10;Grande São Paulo;10;77627;7690;13139;<5000;2.0;-23,3550;-46,8781;17
275519;Cajati;3509254;27;4;2021-04-27;2813;22;9,702677e+03;   3,7142857;67;1;2,310982e+02;  0,1428571;0,0238179879;RA de Registro;16;Registro;9;28992;3888;45444;<5000;2.0;-24,7324;-48,1223;17
275520;Cajobi;3509304;27;4;2021-04-27;665;8;6,580901e+03;   4,8571429;21;0;2,078179e+02;  0,0000000;0,0315789474;RA de Barretos;2;Barretos;16;10105;1830;17693;<1200;3.0;-20,8773;-48,8063;17
275521;Cajuru;3509403;27;4;2021-04-27;668;2;2,602969e+03;   7,1428571;21;0;8,182987e+01;  0,0000000;0,0314371257;RA de Ribeirão Preto;11;Ribeirão Preto;1;25663;3904;66009;<1200;3.0;-21,2749;-47,3030;17
275522;Campina do Monte Alegre;3509452;27;4;2021-04-27;374;4;6,434962e+03;   1,5714286;8;1;1,376462e+02;  0,2857143;0,0213903743;RA de Itapeva;7;Sorocaba;6;5812;919;18503;<600;4.0;-23,5895;-48,4758;17
275523;Campinas;3509502;27;4;2021-04-27;75950;618;6,461075e+03; 329,4285714;2964;37;2,521478e+02; 17,1428571;0,0390256748;RA de Campinas;4;Campinas;3;1175501;192796;79457;>5000;1.0;-22,9053;-47,0659;17
275524;Campo Limpo Paulista;3509601;27;4;2021-04-27;3835;14;4,629294e+03;  14,0000000;133;0;1,605466e+02;  0,4285714;0,0346805737;RA de Campinas;4;Campinas;3;82842;11337;794;<5000;2.0;-23,2078;-46,7889;17
275525;Campos do Jordão;3509700;27;4;2021-04-27;3398;25;6,779999e+03;  19,4285714;51;1;1,017598e+02;  0,1428571;0,0150088287;RA de São José dos Campos;15;Taubaté;17;50118;6425;29052;<5000;2.0;-22,7296;-45,5833;17
275526;Campos Novos Paulista;3509809;27;4;2021-04-27;194;0;4,027403e+03;   0,1428571;3;0;6,227943e+01;  0,0000000;0,0154639175;RA de Marília;8;Marília;5;4817;826;4842;<300;5.0;-22,6020;-49,9987;17
275527;Cananéia;3509908;27;4;2021-04-27;542;0;4,391865e+03;   0,0000000;18;0;1,458553e+02;  0,0000000;0,0332103321;RA de Registro;16;Registro;9;12341;2042;123735;<600;4.0;-25,0144;-47,9341;17
275528;Canas;3509957;27;4;2021-04-27;151;1;2,981833e+03;   0,4285714;4;0;7,898894e+01;  0,0000000;0,0264900662;RA de São José dos Campos;15;Taubaté;17;5064;615;5326;<300;5.0;-22,7003;-45,0521;17
275529;Cândido Mota;3510005;27;4;2021-04-27;2286;71;7,615177e+03;  24,4285714;69;5;2,298544e+02;  2,1428571;0,0301837270;RA de Marília;8;Marília;5;30019;5524;59581;<5000;2.0;-22,7471;-50,3873;17
275530;Cândido Rodrigues;3510104;27;4;2021-04-27;105;0;3,926702e+03;   0,5714286;3;0;1,121915e+02;  0,0000000;0,0285714286;RA Central;5;Araraquara;8;2674;615;7089;<150;6.0;-21,3275;-48,6327;17
275531;Canitar;3510153;27;4;2021-04-27;407;10;8,154678e+03;   4,7142857;3;0;6,010819e+01;  0,0000000;0,0073710074;RA de Marília;8;Marília;5;4991;555;5746;<600;4.0;-23,0040;-49,7839;17
275532;Capão Bonito;3510203;27;4;2021-04-27;3041;28;6,551338e+03;  16,7142857;64;0;1,378775e+02;  0,0000000;0,0210457086;RA de Itapeva;7;Sorocaba;6;46418;6902;164023;<5000;2.0;-24,0113;-48,3482;17
275533;Capela do Alto;3510302;27;4;2021-04-27;1048;7;5,101743e+03;   2,8571429;15;0;7,302113e+01;  0,1428571;0,0143129771;RA de Sorocaba;13;Sorocaba;6;20542;2631;16989;<1200;3.0;-23,4685;-47,7388;17
275534;Capivari;3510401;27;4;2021-04-27;3364;5;6,203094e+03;   3,5714286;64;0;1,180137e+02;  0,7142857;0,0190249703;RA de Campinas;4;Piracicaba;11;54231;7404;32288;<5000;2.0;-22,9951;-47,5071;17
275535;Caraguatatuba;3510500;27;4;2021-04-27;12292;48;1,058688e+04;  50,8571429;309;7;2,661361e+02;  1,2857143;0,0251383013;RA de São José dos Campos;15;Taubaté;17;116106;16658;48495;>5000;1.0;-23,6125;-45,4125;17
275536;Carapicuíba;3510609;27;4;2021-04-27;24573;539;6,227350e+03; 264,5714286;751;6;1,903203e+02;  7,4285714;0,0305619989;RM de São Paulo;10;Grande São Paulo;10;394598;50996;3455;>5000;1.0;-23,5235;-46,8407;17
275537;Cardoso;3510708;27;4;2021-04-27;709;0;6,048972e+03;  12,5714286;32;1;2,730142e+02;  0,2857143;0,0451339915;RA de São José do Rio Preto;14;São José do Rio Preto;15;11721;2513;63925;<1200;3.0;-20,0800;-49,9183;17
275538;Casa Branca;3510807;27;4;2021-04-27;1579;26;5,359446e+03;  12,2857143;39;1;1,323739e+02;  0,4285714;0,0246991767;RA de Campinas;4;São João da Boa Vista;14;29462;5049;86423;<5000;2.0;-21,7708;-47,0852;17
275539;Cássia dos Coqueiros;3510906;27;4;2021-04-27;151;0;6,052104e+03;   0,0000000;1;0;4,008016e+01;  0,0000000;0,0066225166;RA de Ribeirão Preto;11;Ribeirão Preto;1;2495;501;19168;<300;5.0;-21,2801;-47,1643;17
275540;Castilho;3511003;27;4;2021-04-27;1498;15;7,226939e+03;  12,1428571;38;3;1,833269e+02;  1,2857143;0,0253671562;RA de Araçatuba;1;Araçatuba;7;20728;3273;106532;<5000;2.0;-20,8689;-51,4884;17
275541;Catanduva;3511102;27;4;2021-04-27;7822;58;6,673720e+03;  37,2857143;324;3;2,764364e+02;  2,2857143;0,0414216313;RA de São José do Rio Preto;14;São José do Rio Preto;15;117206;21966;2906;>5000;1.0;-21,1314;-48,9770;17
275542;Catiguá;3511201;27;4;2021-04-27;536;1;7,119139e+03;   1,4285714;16;0;2,125116e+02;  0,1428571;0,0298507463;RA de São José do Rio Preto;14;São José do Rio Preto;15;7529;1225;14839;<600;4.0;-21,0519;-49,0616;17
275543;Cedral;3511300;27;4;2021-04-27;735;1;8,318244e+03;   1,4285714;18;0;2,037121e+02;  0,0000000;0,0244897959;RA de São José do Rio Preto;14;São José do Rio Preto;15;8836;1727;19784;<1200;3.0;-20,9009;-49,2664;17
275544;Cerqueira César;3511409;27;4;2021-04-27;1148;14;5,975121e+03;   6,8571429;25;1;1,301202e+02;  0,1428571;0,0217770035;RA de Sorocaba;13;Bauru;12;19213;3050;51162;<1200;3.0;-23,0380;-49,1655;17
275545;Cerquilho;3511508;27;4;2021-04-27;3543;25;7,633966e+03;   9,4285714;69;0;1,486717e+02;  0,2857143;0,0194750212;RA de Sorocaba;13;Sorocaba;6;46411;7050;1278;<5000;2.0;-23,1665;-47,7459;17
275546;Cesário Lange;3511607;27;4;2021-04-27;1126;9;6,528293e+03;   4,7142857;37;1;2,145176e+02;  0,4285714;0,0328596803;RA de Sorocaba;13;Sorocaba;6;17248;2469;19039;<1200;3.0;-23,2260;-47,9545;17
275547;Charqueada;3511706;27;4;2021-04-27;995;3;5,876100e+03;   7,0000000;26;0;1,535463e+02;  0,2857143;0,0261306533;RA de Campinas;4;Piracicaba;11;16933;2399;17585;<1200;3.0;-22,5096;-47,7755;17
275548;Clementina;3511904;27;4;2021-04-27;601;7;7,220086e+03;   2,8571429;9;0;1,081211e+02;  0,0000000;0,0149750416;RA de Araçatuba;1;Araçatuba;7;8324;1068;16859;<1200;3.0;-21,5604;-50,4525;17
275549;Colina;3512001;27;4;2021-04-27;1002;0;5,692212e+03;   1,0000000;32;0;1,817872e+02;  0,0000000;0,0319361277;RA de Barretos;2;Barretos;16;17603;3020;4223;<1200;3.0;-20,7114;-48,5387;17
275550;Colômbia;3512100;27;4;2021-04-27;298;2;4,928879e+03;   1,5714286;6;0;9,923917e+01;  0,0000000;0,0201342282;RA de Barretos;2;Barretos;16;6046;914;72865;<300;5.0;-20,1768;-48,6865;17
275551;Conchal;3512209;27;4;2021-04-27;1453;2;5,325465e+03;   2,7142857;46;0;1,685970e+02;  0,2857143;0,0316586373;RA de Campinas;4;Piracicaba;11;27284;3663;18279;<5000;2.0;-22,3375;-47,1729;17
275552;Conchas;3512308;27;4;2021-04-27;1469;36;8,573596e+03;  15,8571429;39;0;2,276176e+02;  0,0000000;0,0265486726;RA de Sorocaba;13;Bauru;12;17134;3050;46612;<5000;2.0;-23,0154;-48,0134;17
275553;Cordeirópolis;3512407;27;4;2021-04-27;3372;18;1,384464e+04;   6,2857143;46;0;1,888652e+02;  0,7142857;0,0136417556;RA de Campinas;4;Piracicaba;11;24356;3527;13758;<5000;2.0;-22,4778;-47,4519;17
275554;Coroados;3512506;27;4;2021-04-27;449;3;7,576780e+03;   1,2857143;11;1;1,856227e+02;  0,2857143;0,0244988864;RA de Araçatuba;1;Araçatuba;7;5926;990;24683;<600;4.0;-21,3521;-50,2859;17
275555;Coronel Macedo;3512605;27;4;2021-04-27;292;3;6,029321e+03;   0,4285714;16;1;3,303737e+02;  0,1428571;0,0547945205;RA de Itapeva;7;Bauru;12;4843;899;30383;<300;5.0;-23,6261;-49,3100;17
275556;Corumbataí;3512704;27;4;2021-04-27;316;3;7,975770e+03;   1,0000000;7;0;1,766784e+02;  0,0000000;0,0221518987;RA de Campinas;4;Piracicaba;11;3962;671;27862;<600;4.0;-22,2213;-47,6215;17
275557;Cosmópolis;3512803;27;4;2021-04-27;5272;41;7,395977e+03;  33,2857143;110;5;1,543167e+02;  1,2857143;0,0208649469;RA de Campinas;4;Campinas;3;71282;8796;15467;>5000;1.0;-22,6419;-47,1926;17
275558;Cosmorama;3512902;27;4;2021-04-27;539;0;7,703301e+03;   0,5714286;28;0;4,001715e+02;  0,0000000;0,0519480519;RA de São José do Rio Preto;14;São José do Rio Preto;15;6997;1671;44168;<600;4.0;-20,4755;-49,7827;17
275559;Cotia;3513009;27;4;2021-04-27;9728;76;3,931712e+03;  37,7142857;401;6;1,620700e+02;  4,5714286;0,0412212171;RM de São Paulo;10;Grande São Paulo;10;247424;28357;32399;>5000;1.0;-23,6022;-46,9190;17
275560;Cravinhos;3513108;27;4;2021-04-27;1229;6;3,569769e+03;   4,5714286;69;1;2,004183e+02;  0,5714286;0,0561432059;RA de Ribeirão Preto;11;Ribeirão Preto;1;34428;5222;31142;<5000;2.0;-21,3380;-47,7324;17
275561;Cristais Paulista;3513207;27;4;2021-04-27;615;21;7,299703e+03;   5,8571429;5;0;5,934718e+01;  0,0000000;0,0081300813;RA de Franca;6;Franca;4;8425;1336;38523;<1200;3.0;-20,4036;-47,4209;17
275562;Cruzália;3513306;27;4;2021-04-27;107;0;5,054322e+03;   0,2857143;3;0;1,417100e+02;  0,0000000;0,0280373832;RA de Marília;8;Marília;5;2117;425;14933;<150;6.0;-22,7373;-50,7909;17
275563;Cruzeiro;3513405;27;4;2021-04-27;3930;51;4,916987e+03;  33,1428571;50;0;6,255708e+01;  0,0000000;0,0127226463;RA de São José dos Campos;15;Taubaté;17;79927;13518;3057;<5000;2.0;-22,5728;-44,9690;17
275564;Cubatão;3513504;27;4;2021-04-27;10894;13;8,435479e+03;  17,5714286;348;2;2,694646e+02;  1,4285714;0,0319441895;RA de Santos;12;Baixada Santista;13;129145;15732;14288;>5000;1.0;-23,8911;-46,4240;17
275565;Cunha;3513603;27;4;2021-04-27;594;1;2,739726e+03;   0,2857143;5;0;2,306167e+01;  0,0000000;0,0084175084;RA de São José dos Campos;15;Taubaté;17;21681;3872;140725;<600;4.0;-23,0731;-44,9576;17
275566;Descalvado;3513702;27;4;2021-04-27;2400;10;7,400555e+03;  11,2857143;44;1;1,356768e+02;  0,2857143;0,0183333333;RA Central;5;Araraquara;8;32430;5840;75371;<5000;2.0;-21,9002;-47,6181;17
275567;Diadema;3513801;27;4;2021-04-27;19807;173;4,896941e+03;  96,4285714;833;11;2,059450e+02;  5,7142857;0,0420558388;RM de São Paulo;10;Grande São Paulo;10;404477;47787;3073;>5000;1.0;-23,6813;-46,6205;17
275568;Dirce Reis;3513850;27;4;2021-04-27;97;0;5,649388e+03;   0,0000000;3;0;1,747234e+02;  0,0000000;0,0309278351;RA de São José do Rio Preto;14;São José do Rio Preto;15;1717;384;8813;<150;6.0;-20,4642;-50,6073;17
275569;Divinolândia;3513900;27;4;2021-04-27;885;7;8,129708e+03;   4,2857143;36;0;3,307000e+02;  0,0000000;0,0406779661;RA de Campinas;4;São João da Boa Vista;14;10886;2259;22375;<1200;3.0;-21,6637;-46,7361;17
275570;Dobrada;3514007;27;4;2021-04-27;398;8;4,469901e+03;   1,4285714;3;0;3,369272e+01;  0,0000000;0,0075376884;RA Central;5;Araraquara;8;8904;1039;14973;<600;4.0;-21,5155;-48,3935;17
275571;Dois Córregos;3514106;27;4;2021-04-27;1219;0;4,519502e+03;   3,5714286;33;0;1,223491e+02;  0,2857143;0,0270713700;RA de Bauru;3;Bauru;12;26972;4156;63297;<5000;2.0;-22,3673;-48,3819;17
275572;Dolcinópolis;3514205;27;4;2021-04-27;142;0;6,960784e+03;   0,4285714;5;0;2,450980e+02;  0,0000000;0,0352112676;RA de São José do Rio Preto;14;São José do Rio Preto;15;2040;465;7794;<150;6.0;-20,1240;-50,5149;17
275573;Dourado;3514304;27;4;2021-04-27;411;1;4,845555e+03;   1,4285714;10;0;1,178967e+02;  0,0000000;0,0243309002;RA Central;5;Araraquara;8;8482;1733;20587;<600;4.0;-22,1044;-48,3178;17
275574;Dracena;3514403;27;4;2021-04-27;4133;8;9,185465e+03;   8,0000000;192;2;4,267141e+02;  0,8571429;0,0464553593;RA de Presidente Prudente;9;Presidente Prudente;2;44995;9156;48769;<5000;2.0;-21,4843;-51,5350;17
275575;Duartina;3514502;27;4;2021-04-27;570;2;4,759916e+03;   2,7142857;15;0;1,252610e+02;  0,2857143;0,0263157895;RA de Bauru;3;Bauru;12;11975;2485;26456;<600;4.0;-22,4146;-49,4084;17
275576;Dumont;3514601;27;4;2021-04-27;980;1;1,024033e+04;   0,4285714;14;2;1,462905e+02;  0,4285714;0,0142857143;RA de Ribeirão Preto;11;Ribeirão Preto;1;9570;1333;11138;<1200;3.0;-21,2324;-47,9756;17
