Localidades;Períodos;Frota de Veículos  Total ;Número de Habitantes por Total de Veículos ;Frota de Automóveis ;Número de Habitantes por Automóvel ;Frota de Ônibus ;Frota de Caminhões ;Frota de Reboques ;Frota de Motocicletas e Assemelhados ;Frota de Microônibus e Camionetas ;Frota de Veículos de Outro Tipo ;Cód. IBGE
Birigui;2020;104356;1.16;47946;2.53;181;2342;2774;41195;9896;22;3506508
Biritiba Mirim;2020;13851;2.33;9220;3.51;57;513;165;2076;1800;20;3506607
Boa Esperança do Sul;2020;8022;1.82;5160;2.83;119;465;322;886;1067;3;3506706
Bocaina;2020;7700;1.58;4634;2.62;43;228;278;1410;1104;3;3506805
Bofete;2020;6038;1.83;3701;2.99;59;282;168;819;1007;2;3506904
Boituva;2020;48413;1.18;28081;2.04;158;3356;2833;7696;6227;62;3507001
Bom Jesus dos Perdões;2020;16378;1.48;9773;2.49;72;722;275;3505;2016;15;3507100
Bom Sucesso de Itararé;2020;1689;2.29;871;4.43;16;105;45;421;231;;3507159
Borá;2020;550;1.48;263;3.09;7;47;53;87;93;;3507209
Boracéia;2020;2819;1.69;1511;3.15;23;273;215;356;441;;3507308
Borborema;2020;11182;1.37;6116;2.51;122;613;720;2048;1555;8;3507407
Borebi;2020;1329;1.94;780;3.31;7;59;48;237;197;1;3507456
Botucatu;2020;106689;1.32;65185;2.17;496;2334;3229;21468;13915;62;3507506
Bragança Paulista;2020;134740;1.22;76388;2.15;456;3519;1826;35429;17057;65;3507605
Braúna;2020;3145;1.77;1751;3.17;86;125;158;516;509;;3507704
Brejo Alegre;2020;1593;1.74;668;4.14;20;185;280;286;154;;3507753
Brodowski;2020;16693;1.43;9834;2.43;62;776;517;2556;2944;4;3507803
Brotas;2020;17838;1.34;10009;2.38;227;912;982;3071;2627;10;3507902
Buri;2020;10804;1.82;5801;3.39;126;686;385;2325;1478;3;3508009
Buritama;2020;12167;1.36;5944;2.79;86;452;654;3568;1460;3;3508108
Buritizal;2020;3120;1.38;1602;2.69;37;182;356;480;462;1;3508207
