Localidades;Períodos;Frota de Veículos  Total ;Número de Habitantes por Total de Veículos ;Frota de Automóveis ;Número de Habitantes por Automóvel ;Frota de Ônibus ;Frota de Caminhões ;Frota de Reboques ;Frota de Motocicletas e Assemelhados ;Frota de Microônibus e Camionetas ;Frota de Veículos de Outro Tipo ;Cód. IBGE
Lupércio;2020;1962;2.25;1251;3.53;33;61;34;340;243;;3527801
Lutécia;2020;1518;1.73;943;2.78;16;64;39;217;239;;3527900
Macatuba;2020;11076;1.53;6570;2.58;95;592;573;2085;1158;3;3528007
Macaubal;2020;5591;1.39;3304;2.35;26;172;235;1123;730;1;3528106
Macedônia;2020;2199;1.63;1252;2.85;14;58;106;460;309;;3528205
Magda;2020;2300;1.34;1356;2.28;17;151;136;284;356;;3528304
Mairinque;2020;31402;1.48;20387;2.27;95;737;463;6020;3677;23;3528403
Mairiporã;2020;54893;1.8;33982;2.9;197;2344;826;9599;7886;59;3528502
Manduri;2020;6830;1.39;4126;2.31;117;332;315;1029;906;5;3528601
Marabá Paulista;2020;1800;2.74;1026;4.81;22;49;60;388;253;2;3528700
Maracaí;2020;9082;1.49;4950;2.73;57;446;408;2152;1067;2;3528809
Marapoama;2020;2574;1.13;1158;2.51;16;214;306;452;427;1;3528858
Mariápolis;2020;1814;2.19;1113;3.57;30;59;42;335;235;;3528908
Marília;2020;176718;1.31;100975;2.29;613;4480;3756;47654;19150;90;3529005
Marinópolis;2020;1339;1.57;723;2.9;14;77;110;250;165;;3529104
Martinópolis;2020;15178;1.69;8839;2.9;147;635;649;2991;1914;3;3529203
Matão;2020;69377;1.15;38425;2.08;449;2381;2781;17502;7814;25;3529302
Mauá;2020;240194;1.92;163543;2.81;1597;5298;2605;43377;23687;87;3529401
Mendonça;2020;3745;1.35;2094;2.41;30;180;346;604;489;2;3529500
Meridiano;2020;3437;1.09;1594;2.35;22;293;618;545;365;;3529609
Mesópolis;2020;1111;1.7;611;3.1;13;27;86;250;124;;3529658
Miguelópolis;2020;12015;1.78;6967;3.08;98;351;528;2683;1380;8;3529708
Mineiros do Tietê;2020;7247;1.74;4513;2.79;55;353;397;1064;862;3;3529807
Mira Estrela;2020;1934;1.52;1170;2.51;30;54;117;256;307;;3530003
Miracatu;2020;9771;2.04;4949;4.03;47;894;317;2342;1217;5;3529906
Mirandópolis;2020;19168;1.49;9540;3;232;922;1342;4853;2273;6;3530102
Mirante do Paranapanema;2020;8956;1.98;5004;3.55;102;360;243;2115;1129;3;3530201
Mirassol;2020;46760;1.24;24962;2.32;110;1771;1981;12063;5856;17;3530300
Mirassolândia;2020;2736;1.72;1532;3.07;11;87;120;550;436;;3530409
Mococa;2020;47110;1.42;26487;2.52;372;1717;1151;11817;5530;36;3530508
Mogi das Cruzes;2020;258647;1.67;172814;2.51;1385;8285;7122;35316;33431;294;3530607
Mogi Guaçu;2020;121127;1.22;65822;2.25;595;3982;3206;34369;13122;31;3530706
Mogi Mirim;2020;75641;1.2;42156;2.15;220;2435;1559;19633;9609;29;3530805
Mombuca;2020;2167;1.54;1317;2.53;21;132;98;331;267;1;3530904
Mongaguá;2020;24873;2.2;15029;3.63;112;667;512;5498;3025;30;3531100
Monte Alegre do Sul;2020;6395;1.21;3298;2.35;48;273;114;1656;1004;2;3531209
Monte Alto;2020;42510;1.14;19517;2.48;117;1838;776;15181;5069;12;3531308
Monte Aprazível;2020;17549;1.34;9708;2.42;283;837;951;3312;2439;19;3531407
Monte Azul Paulista;2020;14545;1.25;7758;2.34;187;670;488;3276;2164;2;3531506
Monte Castelo;2020;2504;1.59;1500;2.66;11;150;111;448;283;1;3531605
Monte Mor;2020;34460;1.73;22148;2.69;158;1186;745;6108;4099;16;3531803
Monteiro Lobato;2020;3063;1.46;1660;2.69;15;240;32;591;503;22;3531704
Monções;2020;1838;1.18;800;2.72;13;116;385;283;241;;3531001
Morro Agudo;2020;19256;1.68;9217;3.51;204;1116;1201;5048;2468;2;3531902
Morungaba;2020;10579;1.25;6619;2;34;484;186;1623;1628;5;3532009
Motuca;2020;2559;1.81;1463;3.17;31;177;124;385;379;;3532058
Murutinga do Sul;2020;2544;1.68;1412;3.03;19;94;112;530;373;4;3532108
Nantes;2020;1203;2.55;779;3.94;17;41;62;121;183;;3532157
Narandiba;2020;2462;1.97;1492;3.24;26;128;113;426;277;;3532207
Natividade da Serra;2020;2972;2.25;1556;4.3;10;118;52;719;515;2;3532306
Nazaré Paulista;2020;12963;1.42;6999;2.64;76;906;333;2998;1640;11;3532405
Neves Paulista;2020;6054;1.42;3666;2.35;31;232;258;1038;829;;3532504
Nhandeara;2020;7766;1.39;4520;2.39;66;259;359;1417;1142;3;3532603
Nipoã;2020;3147;1.58;1788;2.78;39;154;215;568;382;1;3532702
Nova Aliança;2020;4046;1.59;2450;2.63;19;189;181;674;532;1;3532801
Nova Campina;2020;2859;3.38;1511;6.4;23;124;53;788;360;;3532827
Nova Canaã Paulista;2020;1243;1.56;784;2.47;10;44;73;184;148;;3532843
Nova Castilho;2020;747;1.57;443;2.65;6;28;44;103;123;;3532868
Nova Europa;2020;5977;1.8;3524;3.05;157;300;476;680;838;2;3532900
Nova Granada;2020;14028;1.49;7456;2.81;146;606;773;3478;1565;4;3533007
Nova Guataporanga;2020;1404;1.56;865;2.53;15;50;77;263;134;;3533106
Nova Independência;2020;2724;1.37;1429;2.61;16;226;380;367;305;1;3533205
Nova Luzitânia;2020;1851;2.18;1225;3.3;26;50;66;299;185;;3533304
Nova Odessa;2020;45186;1.28;28153;2.06;130;1159;692;9276;5766;10;3533403
Novais;2020;2519;2.19;1383;3.98;47;175;185;466;263;;3533254
Novo Horizonte;2020;31203;1.25;15952;2.44;357;1530;1770;7791;3772;31;3533502
Nuporanga;2020;4495;1.62;2681;2.71;95;294;166;495;763;1;3533601
Ocauçu;2020;2625;1.58;1563;2.65;31;136;71;423;398;3;3533700
Óleo;2020;1417;1.78;906;2.79;10;51;46;192;212;;3533809
Olímpia;2020;42001;1.25;23341;2.25;244;1171;1628;10087;5522;8;3533908
Onda Verde;2020;2361;1.79;1289;3.28;34;165;284;325;263;1;3534005
Oriente;2020;3557;1.76;2079;3.01;29;138;291;549;470;1;3534104
Orindiúva;2020;4032;1.7;2171;3.16;61;360;354;495;590;1;3534203
Orlândia;2020;35287;1.2;17215;2.46;343;1587;1162;10617;4343;20;3534302
Osasco;2020;446071;1.53;291785;2.33;2822;12114;5281;78930;54920;219;3534401
Oscar Bressane;2020;1511;1.66;900;2.79;10;81;33;187;300;;3534500
Osvaldo Cruz;2020;24472;1.28;12846;2.43;130;1238;1722;6045;2485;6;3534609
Ourinhos;2020;81085;1.36;41686;2.65;630;3009;2798;23810;9119;33;3534708
Ouro Verde;2020;4232;1.95;2468;3.35;66;160;189;903;444;2;3534807
Ouroeste;2020;6771;1.44;3839;2.55;44;286;485;1296;819;2;3534757
Pacaembu;2020;7473;1.75;4651;2.81;42;344;461;1108;867;;3534906
Palestina;2020;7041;1.73;4431;2.74;49;237;426;915;983;;3535002
Palmares Paulista;2020;4884;2.66;2926;4.44;111;161;254;894;538;;3535101
Palmeira d'Oeste;2020;7570;1.21;4194;2.18;40;336;567;1395;1037;1;3535200
Palmital;2020;15706;1.38;8349;2.59;67;1004;919;3142;2211;14;3535309
Panorama;2020;9882;1.54;4813;3.16;28;519;604;2933;979;6;3535408
Paraguaçu Paulista;2020;31088;1.42;16386;2.7;184;1295;2021;8205;2992;5;3535507
Paraibuna;2020;11074;1.65;6609;2.76;82;307;206;2342;1524;4;3535606
Paraíso;2020;4293;1.46;2446;2.56;109;275;422;451;590;;3535705
Paranapanema;2020;11305;1.77;6458;3.09;94;751;557;1633;1804;8;3535804
Paranapuã;2020;2850;1.37;1518;2.56;26;134;154;615;397;6;3535903
Parapuã;2020;6726;1.56;3753;2.8;70;458;382;1225;835;3;3536000
Pardinho;2020;4172;1.53;2324;2.75;36;258;266;575;713;;3536109
PariqueraAçu;2020;10241;1.88;5155;3.73;31;513;412;2971;1148;11;3536208
Parisi;2020;1610;1.28;881;2.33;15;55;74;403;182;;3536257
Patrocínio Paulista;2020;7824;1.85;4828;3;69;378;262;1157;1129;1;3536307
Paulicéia;2020;5426;1.32;2692;2.65;34;416;416;1312;554;2;3536406
Paulínia;2020;81873;1.28;49190;2.14;367;4660;5917;11415;10286;38;3536505
Paulistânia;2020;1010;1.75;580;3.05;17;49;49;151;164;;3536570
Paulo de Faria;2020;4182;2.04;2788;3.06;57;140;147;520;529;1;3536604
Pederneiras;2020;33483;1.36;17366;2.62;246;1446;1154;9342;3894;35;3536703
Pedra Bela;2020;4515;1.32;2315;2.58;19;295;69;1125;691;1;3536802
Pedranópolis;2020;1878;1.29;1028;2.36;16;65;125;394;249;1;3536901
Pedregulho;2020;9780;1.66;6130;2.66;140;354;252;1417;1483;4;3537008
Pedreira;2020;37111;1.25;17158;2.71;72;912;398;14015;4554;2;3537107
Pedrinhas Paulista;2020;2275;1.32;1055;2.85;12;227;91;410;480;;3537156
Pedro de Toledo;2020;3962;2.77;2249;4.88;22;211;89;877;508;6;3537206
Penápolis;2020;53403;1.14;25071;2.42;328;1863;2352;17926;5849;14;3537305
Pereira Barreto;2020;17726;1.43;9311;2.73;120;535;1060;4897;1789;14;3537404
Pereiras;2020;4274;1.97;2450;3.44;34;298;134;781;576;1;3537503
Peruíbe;2020;38321;1.73;22022;3.01;113;836;771;10057;4464;58;3537602
Piacatu;2020;3310;1.78;1948;3.02;29;133;104;671;424;1;3537701
Piedade;2020;38061;1.41;19847;2.7;123;1930;896;9660;5591;14;3537800
Pilar do Sul;2020;23536;1.2;12278;2.3;107;1563;972;5244;3363;9;3537909
Pindamonhangaba;2020;98307;1.66;60354;2.71;220;2801;1818;22525;10531;58;3538006
Pindorama;2020;9252;1.76;5604;2.9;66;387;291;1807;1097;;3538105
Pinhalzinho;2020;10547;1.4;6185;2.39;28;540;155;2003;1634;2;3538204
Piquerobi;2020;1903;1.86;1121;3.15;12;63;44;368;293;2;3538303
Piquete;2020;6694;2.04;4280;3.19;16;224;93;1260;817;4;3538501
Piracaia;2020;19717;1.33;10770;2.44;28;645;310;5324;2628;12;3538600
Piracicaba;2020;324373;1.2;194502;2;1513;10236;10028;65436;42501;157;3538709
Piraju;2020;21224;1.35;12787;2.23;83;647;701;4190;2799;17;3538808
Pirajuí;2020;13451;1.73;7886;2.95;100;381;451;2958;1669;6;3538907
Pirangi;2020;8142;1.33;4170;2.6;88;695;598;1311;1277;3;3539004
Pirapora do Bom Jesus;2020;9152;2.06;5487;3.44;149;384;76;2003;1051;2;3539103
Pirapozinho;2020;17136;1.59;9578;2.84;109;684;693;4367;1703;2;3539202
Pirassununga;2020;60260;1.22;34111;2.16;247;1805;2468;15093;6454;82;3539301
Piratininga;2020;9258;1.43;5679;2.33;48;373;297;1466;1389;6;3539400
Pitangueiras;2020;21598;1.79;10969;3.52;345;1226;1173;5527;2355;3;3539509
Planalto;2020;3011;1.72;1556;3.32;62;241;309;521;322;;3539608
Platina;2020;1535;2.28;849;4.12;17;78;51;309;231;;3539707
Poá;2020;56107;2.06;38862;2.97;175;1302;776;8097;6865;30;3539806
Poloni;2020;3739;1.52;2152;2.63;62;222;186;571;546;;3539905
Pompéia;2020;14565;1.46;8832;2.41;59;407;333;2999;1932;3;3540002
Pongaí;2020;2391;1.4;1568;2.14;24;77;110;272;339;1;3540101
Pontal;2020;21625;2.28;11728;4.2;578;1369;1484;4213;2250;3;3540200
Pontalinda;2020;1938;2.32;1125;3.99;37;43;69;451;212;1;3540259
Pontes Gestal;2020;1710;1.48;976;2.59;25;90;176;212;231;;3540309
Populina;2020;2645;1.51;1617;2.47;15;68;153;434;355;3;3540408
Porangaba;2020;5485;1.7;3254;2.86;19;230;103;1085;791;3;3540507
Porto Feliz;2020;36257;1.43;21020;2.46;212;1629;810;7694;4856;36;3540606
Porto Ferreira;2020;44094;1.23;22051;2.45;177;1974;1688;13363;4837;4;3540705
Potim;2020;7369;2.81;4130;5.01;30;104;96;2205;803;1;3540754
Potirendaba;2020;13518;1.23;7431;2.23;95;798;890;2519;1783;2;3540804
Pracinha;2020;775;3.76;474;6.15;15;22;5;174;85;;3540853
Pradópolis;2020;10713;1.95;5686;3.68;265;758;1038;1698;1263;5;3540903
Praia Grande;2020;154762;2.05;85750;3.69;367;2774;2330;47119;16322;100;3541000
Pratânia;2020;3836;1.34;1883;2.74;90;391;646;421;405;;3541059
Presidente Alves;2020;2250;1.79;1363;2.95;53;83;108;364;279;;3541109
Presidente Bernardes;2020;8997;1.52;5133;2.67;52;349;326;1837;1297;3;3541208
Presidente Epitácio;2020;30070;1.41;15385;2.76;187;874;1467;9152;2989;16;3541307
Presidente Prudente;2020;178751;1.24;100321;2.2;892;5111;5458;44857;22045;67;3541406
Presidente Venceslau;2020;29075;1.31;14723;2.58;85;1030;1202;8668;3359;8;3541505
Promissão;2020;26373;1.5;14037;2.83;204;1068;1489;6813;2751;11;3541604
Quadra;2020;1577;2.35;721;5.14;19;86;32;453;263;3;3541653
Quatá;2020;8414;1.66;5032;2.77;104;364;568;1482;860;4;3541703
Queiroz;2020;1411;2.32;931;3.52;16;33;38;230;161;2;3541802
Queluz;2020;4241;2.98;2591;4.88;17;178;85;893;468;9;3541901
Quintana;2020;3756;1.73;2241;2.9;35;270;150;511;549;;3542008
Rafard;2020;6559;1.37;3489;2.57;29;324;705;1249;762;1;3542107
Rancharia;2020;20460;1.41;11714;2.46;99;944;742;4643;2315;3;3542206
Redenção da Serra;2020;2231;1.72;1190;3.22;35;118;42;497;349;;3542305
Regente Feijó;2020;13408;1.45;7883;2.47;79;614;749;2434;1641;8;3542404
Reginópolis;2020;3448;2.09;2161;3.34;28;117;193;493;456;;3542503
Registro;2020;37113;1.46;19120;2.84;346;1483;1172;10739;4204;49;3542602
Restinga;2020;3632;2.06;2032;3.69;40;154;79;882;445;;3542701
Ribeira;2020;1015;3.19;494;6.56;23;42;27;297;132;;3542800
Ribeirão Bonito;2020;7404;1.75;4312;3.01;118;406;348;1191;1025;4;3542909
Ribeirão Branco;2020;6315;2.8;3151;5.61;96;331;96;1898;742;1;3543006
Ribeirão Corrente;2020;2624;1.78;1387;3.36;54;137;58;516;472;;3543105
Ribeirão do Sul;2020;2914;1.5;1577;2.76;18;190;99;636;393;1;3543204
Ribeirão dos Índios;2020;1265;1.69;586;3.65;8;42;41;410;178;;3543238
Ribeirão Grande;2020;3747;2;1782;4.21;16;114;75;1301;459;;3543253
Ribeirão Pires;2020;72091;1.65;49759;2.39;461;3320;1175;7911;9235;230;3543303
Ribeirão Preto;2020;550661;1.24;305357;2.24;2277;14581;13474;144553;70281;138;3543402
Rifaina;2020;2543;1.36;1587;2.19;13;63;168;317;394;1;3543600
Rincão;2020;5853;1.79;3668;2.86;53;359;286;822;662;3;3543709
Rinópolis;2020;6774;1.43;3514;2.77;60;493;794;1159;750;4;3543808
Rio Claro;2020;177989;1.13;92402;2.18;546;4450;3586;58038;18936;31;3543907
Rio das Pedras;2020;21708;1.59;12860;2.68;202;1321;1014;3642;2643;26;3544004
Rio Grande da Serra;2020;20453;2.44;14275;3.49;98;628;184;3005;2206;57;3544103
Riolândia;2020;4382;2.61;2635;4.34;68;109;163;835;572;;3544202
Riversul;2020;2577;2.21;1334;4.28;35;133;81;738;255;1;3543501
Rosana;2020;10034;1.83;5746;3.2;77;224;813;2149;1013;12;3544251
Roseira;2020;5853;1.82;3581;2.97;19;170;124;1268;688;3;3544301
Rubiácea;2020;1405;2.21;879;3.53;13;36;72;240;165;;3544400
Rubinéia;2020;2385;1.25;1376;2.17;17;52;291;388;260;1;3544509
Sabino;2020;3118;1.75;1681;3.25;16;81;169;790;377;4;3544608
Sagres;2020;1137;2.08;768;3.08;6;23;25;214;101;;3544707
Sales;2020;3685;1.64;2238;2.7;42;125;232;585;463;;3544806
Sales Oliveira;2020;7530;1.53;4402;2.62;65;392;325;1271;1070;5;3544905
Salesópolis;2020;11750;1.43;6436;2.62;115;921;265;2461;1550;2;3545001
Salmourão;2020;2003;2.55;1265;4.05;54;59;66;344;215;;3545100
Saltinho;2020;5989;1.31;3314;2.37;13;486;407;598;1162;9;3545159
Salto;2020;80598;1.43;51031;2.26;202;3180;1351;15799;8999;36;3545209
Salto de Pirapora;2020;25816;1.71;15874;2.79;113;1099;641;5298;2778;13;3545308
Salto Grande;2020;4548;2;2605;3.49;34;225;211;922;549;2;3545407
Sandovalina;2020;2098;2.01;1279;3.29;23;97;75;346;278;;3545506
Santa Adélia;2020;11440;1.3;6297;2.36;82;842;1234;1785;1195;5;3545605
Santa Albertina;2020;4434;1.28;2327;2.44;26;163;462;918;537;1;3545704
Santa Bárbara d'Oeste;2020;147462;1.28;89681;2.1;407;3131;2496;35780;15931;36;3545803
Santa Branca;2020;7356;1.93;4918;2.88;37;155;140;1190;912;4;3546009
Santa Clara d'Oeste;2020;1445;1.39;833;2.41;11;51;110;276;164;;3546108
Santa Cruz da Conceição;2020;2979;1.46;1671;2.6;18;174;115;449;551;1;3546207
Santa Cruz da Esperança;2020;1012;2.05;623;3.33;6;76;59;64;184;;3546256
Santa Cruz das Palmeiras;2020;19569;1.72;10855;3.11;281;1219;986;4125;2098;5;3546306
Santa Cruz do Rio Pardo;2020;35328;1.31;17784;2.59;128;2138;1494;8952;4816;16;3546405
Santa Ernestina;2020;3306;1.67;2038;2.71;82;95;91;558;442;;3546504
Santa Fé do Sul;2020;28297;1.09;14895;2.07;68;907;2076;7257;3090;4;3546603
Santa Gertrudes;2020;17558;1.49;9323;2.81;43;899;553;4885;1853;2;3546702
Santa Isabel;2020;31574;1.74;18607;2.96;120;1503;548;7054;3710;32;3546801
Santa Lúcia;2020;4430;1.93;2833;3.02;51;155;121;799;469;2;3546900
Santa Maria da Serra;2020;3950;1.55;2111;2.91;38;414;401;389;596;1;3547007
Santa Mercedes;2020;1642;1.71;990;2.84;9;78;102;267;181;15;3547106
Santa Rita d'Oeste;2020;1772;1.36;981;2.45;7;50;114;354;265;1;3547403
Santa Rita do Passa Quatro;2020;19987;1.32;12029;2.19;60;745;587;3732;2831;3;3547502
Santa Rosa de Viterbo;2020;17266;1.48;11100;2.31;114;639;654;2763;1991;5;3547601
Santa Salete;2020;1286;1.12;599;2.4;9;76;164;247;190;1;3547650
Santana da Ponte Pensa;2020;1100;1.37;626;2.41;5;39;75;175;180;;3547205
Santana de Parnaíba;2020;88021;1.57;53414;2.59;275;2334;1072;13974;16894;58;3547304
Santo Anastácio;2020;14583;1.38;7485;2.69;69;715;559;3992;1746;17;3547700
Santo André;2020;547258;1.27;380649;1.82;1805;10913;5881;84210;63535;265;3547809
Santo Antônio da Alegria;2020;3557;1.87;2320;2.86;35;154;90;344;614;;3547908
Santo Antônio de Posse;2020;16503;1.38;8906;2.57;185;1018;321;3777;2292;4;3548005
Santo Antônio do Aracanguá;2020;4248;1.94;2290;3.6;93;225;386;670;583;1;3548054
Santo Antônio do Jardim;2020;3809;1.53;2261;2.58;19;258;66;511;692;2;3548104
Santo Antônio do Pinhal;2020;5011;1.32;2655;2.5;12;193;66;1166;916;3;3548203
Santo Expedito;2020;1507;1.97;970;3.06;20;35;52;239;191;;3548302
Santópolis do Aguapeí;2020;2068;2.26;1307;3.57;36;85;77;316;246;1;3548401
Santos;2020;278459;1.54;142348;3.01;659;10646;12486;78487;32860;973;3548500
São Bento do Sapucaí;2020;6801;1.55;3848;2.74;13;215;92;1483;1145;5;3548609
São Bernardo do Campo;2020;611490;1.33;407508;1.99;4168;19303;16339;92867;70937;368;3548708
São Caetano do Sul;2020;146260;1.03;102761;1.47;539;3344;2085;15682;21783;66;3548807
São Carlos;2020;192867;1.26;121881;1.99;461;4808;4002;37916;23763;36;3548906
São Francisco;2020;1791;1.49;1019;2.63;20;54;91;381;226;;3549003
São João da Boa Vista;2020;74657;1.17;41368;2.11;113;2449;1321;19170;10206;30;3549102
São João das Duas Pontes;2020;1401;1.77;921;2.69;7;33;41;201;197;1;3549201
São João de Iracema;2020;1048;1.77;599;3.09;12;37;39;234;127;;3549250
São João do Pau d'Alho;2020;1479;1.34;870;2.28;9;43;61;250;246;;3549300
São Joaquim da Barra;2020;37138;1.35;18334;2.74;229;1187;1880;11649;3844;15;3549409
São José da Bela Vista;2020;3113;2.8;1936;4.51;53;111;88;507;418;;3549508
São José do Barreiro;2020;1667;2.44;946;4.3;5;48;29;372;265;2;3549607
São José do Rio Pardo;2020;40035;1.33;23919;2.22;176;1737;989;7553;5654;7;3549706
São José do Rio Preto;2020;405608;1.1;220664;2.03;1672;10525;12632;108632;51344;139;3549805
São José dos Campos;2020;454956;1.56;310913;2.29;1869;8773;7503;67298;58311;289;3549904
São Lourenço da Serra;2020;9125;1.71;5722;2.72;38;396;106;1484;1368;11;3549953
São Luiz do Paraitinga;2020;6719;1.57;3651;2.89;29;241;124;1642;1026;6;3550001
São Manuel;2020;28617;1.38;17547;2.26;237;1264;1790;4530;3234;15;3550100
São Miguel Arcanjo;2020;18255;1.75;10350;3.09;104;875;351;3957;2612;6;3550209
São Paulo;2020;8761213;1.35;5955433;1.99;49141;170445;98705;1244978;1237897;4614;3550308
São Pedro;2020;27131;1.26;15996;2.14;114;950;980;5435;3637;19;3550407
São Pedro do Turvo;2020;4006;1.84;2165;3.4;53;232;101;836;615;4;3550506
São Roque;2020;52410;1.67;33044;2.65;242;1502;917;9166;7489;50;3550605
São Sebastião;2020;39564;2.2;20253;4.3;192;1059;943;11288;5766;63;3550704
São Sebastião da Grama;2020;6569;1.82;4124;2.89;58;299;129;948;1003;8;3550803
São Simão;2020;9311;1.59;5975;2.48;56;490;250;1153;1385;2;3550902
São Vicente;2020;150028;2.39;70269;5.09;972;3498;2242;60573;12380;94;3551009
Sarapuí;2020;6329;1.6;3222;3.14;22;206;136;1977;763;3;3551108
Sarutaiá;2020;1926;1.89;1271;2.87;37;73;38;253;253;1;3551207
Sebastianópolis do Sul;2020;3285;1;1500;2.2;16;436;459;518;355;1;3551306
Serra Azul;2020;4580;2.68;3026;4.06;131;221;144;489;568;1;3551405
Serra Negra;2020;22086;1.24;12597;2.18;52;564;277;5665;2924;7;3551603
Serrana;2020;24749;1.8;14517;3.06;282;949;931;5043;3023;4;3551504
Sertãozinho;2020;96110;1.27;47923;2.55;698;3772;4090;28134;11372;121;3551702
Sete Barras;2020;6027;2.1;2732;4.62;42;290;188;1960;811;4;3551801
Severínia;2020;9155;1.87;5542;3.09;285;479;382;1349;1110;8;3551900
Silveiras;2020;3214;1.93;1838;3.38;7;100;41;841;386;1;3552007
Socorro;2020;32957;1.18;16445;2.36;68;1139;392;10259;4645;9;3552106
Sorocaba;2020;493210;1.34;317834;2.07;1666;9974;7178;98310;57924;324;3552205
Sud Mennucci;2020;4496;1.72;2657;2.9;71;180;307;720;558;3;3552304
Sumaré;2020;182275;1.55;118472;2.39;793;5524;4707;33219;19517;43;3552403
Suzanápolis;2020;2318;1.7;1266;3.12;25;141;226;345;315;;3552551
Suzano;2020;150053;1.94;104289;2.79;932;4404;2039;19515;18753;121;3552502
Tabapuã;2020;8531;1.39;4534;2.62;68;512;898;1537;980;2;3552601
Tabatinga;2020;10669;1.49;6340;2.51;219;483;440;1603;1579;5;3552700
Taboão da Serra;2020;138402;2.05;85474;3.32;532;3089;1436;30231;17564;76;3552809
Taciba;2020;3325;1.82;1935;3.13;27;108;100;654;500;1;3552908
Taguaí;2020;5646;2.36;3583;3.72;34;303;210;700;814;2;3553005
Taiaçu;2020;3390;1.78;1964;3.07;37;169;83;565;572;;3553104
Taiúva;2020;3618;1.74;2144;2.93;31;209;152;481;600;1;3553203
Tambaú;2020;15859;1.44;9734;2.34;85;692;291;3034;2019;4;3553302
Tanabi;2020;18639;1.35;10768;2.33;154;633;745;4148;2187;4;3553401
Tapiraí;2020;3889;1.98;2332;3.3;14;239;91;667;545;1;3553500
Tapiratiba;2020;7076;1.78;4589;2.75;92;444;249;860;841;1;3553609
Taquaral;2020;1435;1.92;821;3.35;25;117;108;148;216;;3553658
Taquaritinga;2020;41581;1.31;23869;2.28;384;1981;1285;8644;5411;7;3553708
Taquarituba;2020;16099;1.44;8831;2.63;135;1205;825;2693;2400;10;3553807
Taquarivaí;2020;2265;2.54;1237;4.65;22;125;69;473;339;;3553856
Tarabai;2020;3681;1.97;2242;3.24;35;138;113;784;368;1;3553906
Tarumã;2020;8609;1.72;4746;3.12;194;585;640;1374;1037;33;3553955
Tatuí;2020;89354;1.34;45044;2.67;707;3214;1543;29883;8928;35;3554003
Taubaté;2020;223968;1.37;133633;2.3;517;3980;3305;58849;23625;59;3554102
Tejupá;2020;1515;3.1;928;5.06;12;64;31;203;276;1;3554201
Teodoro Sampaio;2020;13573;1.65;7071;3.17;327;503;610;3677;1384;1;3554300
Terra Roxa;2020;4982;1.83;3013;3.03;93;258;186;818;614;;3554409
Tietê;2020;28988;1.42;16276;2.52;260;1462;868;6063;4039;20;3554508
Timburi;2020;1303;1.96;914;2.8;5;36;46;152;149;1;3554607
Torre de Pedra;2020;1472;1.58;905;2.56;9;62;28;259;209;;3554656
Torrinha;2020;7918;1.23;4418;2.2;53;733;519;960;1232;3;3554706
Trabiju;2020;925;1.84;604;2.82;9;58;23;94;137;;3554755
Tremembé;2020;22638;2.03;13825;3.33;22;567;391;5092;2727;14;3554805
Três Fronteiras;2020;4207;1.32;2280;2.43;14;124;302;1051;436;;3554904
Tuiuti;2020;3698;1.77;2034;3.22;24;133;37;929;539;2;3554953
Tupã;2020;57278;1.1;28996;2.17;285;2081;1808;17985;6106;17;3555000
Tupi Paulista;2020;10670;1.39;5979;2.49;32;413;534;2435;1275;2;3555109
Turiúba;2020;1221;1.57;695;2.75;15;38;42;264;167;;3555208
Turmalina;2020;1269;1.42;730;2.47;10;49;103;150;227;;3555307
Ubarana;2020;3218;1.89;1781;3.41;47;210;249;542;387;2;3555356
Ubatuba;2020;53018;1.68;26740;3.33;95;931;1328;17083;6786;55;3555406
Ubirajara;2020;2913;1.6;1693;2.75;63;146;92;487;432;;3555505
Uchoa;2020;6589;1.47;3871;2.5;51;219;215;1412;821;;3555604
União Paulista;2020;1179;1.47;708;2.46;13;59;59;210;130;;3555703
Urânia;2020;7176;1.2;3880;2.22;40;307;546;1532;864;7;3555802
Uru;2020;832;1.45;538;2.24;8;16;48;118;104;;3555901
Urupês;2020;10759;1.22;5870;2.24;61;789;588;2021;1425;5;3556008
Valentim Gentil;2020;9641;1.32;5066;2.52;51;400;420;2661;1040;3;3556107
Valinhos;2020;104096;1.2;66471;1.88;1967;3158;2123;15197;15139;41;3556206
Valparaíso;2020;13181;1.82;7727;3.1;175;622;839;2265;1552;1;3556305
Vargem;2020;7329;1.36;4369;2.29;30;465;140;1325;998;2;3556354
Vargem Grande do Sul;2020;29461;1.41;15854;2.62;234;1521;654;7123;4056;19;3556404
Vargem Grande Paulista;2020;32918;1.6;21895;2.41;82;1046;380;4704;4799;12;3556453
Várzea Paulista;2020;72220;1.67;45350;2.66;468;1590;1059;16065;7662;26;3556503
Vera Cruz;2020;6645;1.58;4163;2.53;44;195;158;1331;749;5;3556602
Vinhedo;2020;64574;1.2;40874;1.9;165;1912;1039;10677;9887;20;3556701
Viradouro;2020;12418;1.48;7167;2.56;112;492;390;2877;1380;;3556800
Vista Alegre do Alto;2020;5490;1.46;2500;3.21;142;559;604;872;812;1;3556909
Vitória Brasil;2020;1121;1.57;584;3.01;11;50;81;232;163;;3556958
Votorantim;2020;75027;1.6;46991;2.55;237;1739;1321;17134;7557;48;3557006
Votuporanga;2020;89405;1.03;42888;2.14;349;2636;3650;30656;9197;29;3557105
Zacarias;2020;1702;1.5;932;2.75;30;79;78;357;226;;3557154
