Localidades;Períodos;Óbitos Gerais (por local de residência) ;Taxa de Mortalidade Geral (por local de residência) (Por mil habitantes);Óbitos da População de 15 a 34 Anos ;Taxa de Mortalidade da População de 15 a 34 Anos (Por cem mil habitantes nessa faixa etária);Óbitos da População de 60 Anos e Mais ;Taxa de Mortalidade da População de 60 Anos e Mais (Por cem mil habitantes nessa faixa etária);Cód. IBGE
Flora Rica;2019;18;11.24;;;18;4904.63;3515806
Floreal;2019;20;6.97;;;20;2645.5;3515905
Flórida Paulista;2019;79;6.48;1;23.99;62;3084.58;3516002
Florínea;2019;20;7.37;1;129.37;15;2742.23;3516101
Franca;2019;2442;7.18;77;72.34;1837;3563.25;3516200
Francisco Morato;2019;927;5.38;74;122.98;544;3089.33;3516309
Franco da Rocha;2019;886;5.9;52;96.71;570;3503.81;3516408
Gabriel Monteiro;2019;28;10.42;1;143.06;23;3872.05;3516507
Gália;2019;62;9.4;3;159.4;45;3221.19;3516606
Garça;2019;398;9.36;10;79.67;291;3702.29;3516705
Gastão Vidigal;2019;28;5.94;1;65.15;25;3486.75;3516804
Gavião Peixoto;2019;35;7.62;1;66.05;30;4975.12;3516853
General Salgado;2019;84;7.88;2;65.53;72;3438.4;3516903
Getulina;2019;84;7.75;2;51.71;68;3865.83;3517000
Glicério;2019;46;9.72;3;214.59;32;3755.87;3517109
Guaimbê;2019;33;5.98;3;173.91;24;2643.17;3517307
Guaíra;2019;321;8.25;14;120.31;245;3891.36;3517406
Guaiçara;2019;97;8.21;3;77.34;65;3901.56;3517208
Guapiara;2019;147;8.28;5;88.07;108;3992.61;3517604
Guapiaçu;2019;141;6.85;13;199.75;101;3121.14;3517505
Guará;2019;140;6.76;5;75.87;104;3543.44;3517703
Guaraci;2019;67;6.16;3;85.4;55;3397.16;3517901
Guarani d'Oeste;2019;22;11.42;;;18;4488.78;3518008
Guarantã;2019;36;5.57;3;142.79;27;2667.98;3518107
Guararapes;2019;278;8.7;12;129.86;209;3699.12;3518206
Guararema;2019;213;7.33;6;62.68;165;4091.25;3518305
Guaratinguetá;2019;992;8.42;41;117.38;755;3840.48;3518404
Guaraçaí;2019;78;9.27;1;43.54;67;3839.54;3517802
Guareí;2019;105;6.72;8;125.75;76;4006.33;3518503
Guariba;2019;240;6.2;14;109.22;162;3477.89;3518602
Guarujá;2019;2038;6.5;125;124.72;1320;3334.43;3518701
Guarulhos;2019;8033;6;491;110.84;5311;3423.23;3518800
Guatapará;2019;58;7.85;4;167.5;40;3439.38;3518859
Guzolândia;2019;37;7.29;;;32;3716.61;3518909
Herculândia;2019;66;7.17;1;34.92;47;3248.1;3519006
Holambra;2019;68;4.79;4;87.43;48;2707.28;3519055
Hortolândia;2019;1127;4.98;65;80.42;736;2984.35;3519071
Iacanga;2019;86;7.69;9;253.09;67;3776.78;3519105
Iacri;2019;58;9.22;3;169.01;47;3833.61;3519204
Iaras;2019;49;7.16;2;80.81;34;4038;3519253
Ibaté;2019;201;5.85;15;127.98;130;3298.66;3519303
Ibirá;2019;89;7.45;2;54.42;68;3151.07;3519402
Ibirarema;2019;61;8.21;1;40.7;46;4092.53;3519501
Ibitinga;2019;470;8.1;17;93.47;341;3812.19;3519600
Ibiúna;2019;555;7.31;32;128.98;388;3656.93;3519709
Icém;2019;57;7.15;1;39.73;41;3612.33;3519808
Iepê;2019;76;9.63;2;85.4;57;3994.39;3519907
Igarapava;2019;225;7.67;8;89.59;160;3352.19;3520103
Igaratá;2019;83;8.96;5;173.73;58;3905.72;3520202
Igaraçu do Tietê;2019;174;7.23;5;66.63;139;4249.46;3520004
Iguape;2019;251;8.54;13;144.78;194;3659;3520301
Ilha Comprida;2019;117;11.51;2;66.67;93;4307.55;3520426
Ilha Solteira;2019;210;8.17;6;81.51;160;3158.31;3520442
Ilhabela;2019;183;5.55;8;73.27;132;3701.63;3520400
Indaiatuba;2019;1326;5.54;49;62.77;969;2993.14;3520509
Indiana;2019;43;9;3;211.71;36;4142.69;3520608
Indiaporã;2019;38;9.85;;;33;3638.37;3520707
Inúbia Paulista;2019;28;7.24;2;167.22;20;2985.07;3520806
Ipaussu;2019;129;8.95;5;108.91;87;3956.34;3520905
Iperó;2019;183;5.42;14;109.6;119;3128.29;3521002
Ipeúna;2019;48;6.48;4;151.29;33;3642.38;3521101
Ipiguá;2019;37;7.17;3;184.39;26;2829.16;3521150
Iporanga;2019;26;5.92;2;135.5;16;2515.72;3521200
Ipuã;2019;113;7.2;4;76.18;67;3428.86;3521309
Iracemápolis;2019;160;6.86;2;26.34;120;3822.87;3521408
Irapuã;2019;61;7.93;1;41;42;3248.26;3521507
Irapuru;2019;77;10.44;2;71.99;64;4475.52;3521606
Itaberá;2019;124;7.03;1;18.17;89;3094.58;3521705
Itaí;2019;186;7.08;10;116.32;124;3613.05;3521804
Itajobi;2019;142;9.72;11;268.49;112;3593.2;3521903
Itaju;2019;31;8.58;1;79.68;29;4785.48;3522000
Itanhaém;2019;971;9.95;56;182.75;664;3982.96;3522109
Itaoca;2019;29;9.1;;;21;3608.25;3522158
Itapecerica da Serra;2019;1025;6.1;73;129.01;642;3707.34;3522208
Itapetininga;2019;1065;6.72;44;82.14;744;3345.32;3522307
Itapeva;2019;675;7.4;27;89.9;481;4025.78;3522406
Itapevi;2019;1222;5.23;99;120.56;705;3236.17;3522505
Itapira;2019;625;8.77;19;87.97;480;3737.74;3522604
Itapirapuã Paulista;2019;33;7.96;1;68.49;23;4259.26;3522653
Itápolis;2019;402;9.71;16;128.51;308;4179.1;3522703
Itaporanga;2019;126;8.59;2;46.01;97;3707.95;3522802
Itapuí;2019;13;0.95;;;7;350.88;3522901
Itapura;2019;39;8.02;1;61.84;33;4280.16;3523008
Itaquaquecetuba;2019;1859;5.09;136;105.58;1092;3098.4;3523107
Itararé;2019;385;7.87;6;37.64;284;3910.77;3523206
Itariri;2019;90;5.27;4;66.27;60;2567.39;3523305
Itatiba;2019;725;6.23;38;100.95;522;3141.74;3523404
Itatinga;2019;126;6.21;3;43.78;98;4189.82;3523503
Itirapina;2019;127;7.47;7;100.29;93;4597.13;3523602
Itirapuã;2019;42;6.73;1;48.17;30;3115.26;3523701
Itobi;2019;58;7.63;1;41.15;50;3961.97;3523800
Itu;2019;1144;6.8;58;109.98;828;3552.58;3523909
Itupeva;2019;266;4.61;17;87.16;168;2751.84;3524006
Ituverava;2019;339;8.45;10;83.44;268;3743.54;3524105
Jaborandi;2019;58;8.7;2;97.28;46;4197.08;3524204
Jaboticabal;2019;637;8.61;18;80.72;461;3557.1;3524303
Jacareí;2019;1545;6.83;72;106.65;1118;3281.09;3524402
Jaci;2019;53;7.75;7;307.69;29;3218.65;3524501
Jacupiranga;2019;103;5.99;5;90.65;71;2747.68;3524600
Jaguariúna;2019;288;5.34;10;57.05;217;3086.77;3524709
Jales;2019;413;8.74;8;61.62;318;3309.74;3524808
Jambeiro;2019;40;6.52;;;28;3083.7;3524907
Jandira;2019;473;3.88;30;72.45;294;2336.67;3525003
Jardinópolis;2019;274;6.46;12;84.66;193;3151.53;3525102
Jarinu;2019;234;8.01;10;101.48;167;4359.18;3525201
Jaú;2019;1044;7.15;32;70.35;817;3541.7;3525300
Jeriquara;2019;23;7.32;2;193.42;15;3448.28;3525409
Joanópolis;2019;113;8.98;3;77.28;85;3789.57;3525508
João Ramalho;2019;22;5.04;1;69.35;15;2650.18;3525607
José Bonifácio;2019;293;8.22;14;122.37;229;4053.81;3525706
Júlio Mesquita;2019;48;10.4;3;196.98;40;5333.33;3525805
Jumirim;2019;18;5.52;;;13;2876.11;3525854
Jundiaí;2019;3012;7.46;101;85.86;2311;3430.56;3525904
Junqueirópolis;2019;161;8.08;2;30.99;120;3304.87;3526001
Juquiá;2019;166;8.81;13;214.81;117;3811.07;3526100
Juquitiba;2019;240;7.94;17;171.44;158;3958.91;3526209
Lagoinha;2019;47;9.75;;;41;4226.8;3526308
Laranjal Paulista;2019;218;7.9;7;81.07;167;3586.77;3526407
Lavínia;2019;55;6.45;1;23.73;43;4244.82;3526506
Lavrinhas;2019;41;5.77;3;128.42;24;2784.22;3526605
Leme;2019;710;7.1;20;60.97;533;3862.6;3526704
Lençóis Paulista;2019;447;6.79;23;109.81;322;3402.37;3526803
Limeira;2019;2152;7.31;88;97.36;1580;3394.42;3526902
Lindóia;2019;53;6.94;1;41.31;39;3147.7;3527009
Lins;2019;666;8.91;28;124.48;499;3807.71;3527108
Lorena;2019;680;7.89;38;144.71;510;3666.43;3527207
Lourdes;2019;28;12.85;;;21;4827.59;3527256
Louveira;2019;202;4.28;11;67.41;141;3084.66;3527306
Lucélia;2019;168;8.03;7;110.51;119;3237.21;3527405
Lucianópolis;2019;11;4.87;;;8;1789.71;3527504
Luís Antônio;2019;67;4.82;3;58.96;47;3250.35;3527603
Luiziânia;2019;46;8.1;6;314.96;31;3734.94;3527702
Lupércio;2019;37;8.38;1;73.21;27;3708.79;3527801
Lutécia;2019;25;9.51;;;21;4329.9;3527900
Macatuba;2019;130;7.71;4;76.41;97;3920.78;3528007
Macaubal;2019;69;8.91;1;47.24;64;3782.51;3528106
Macedônia;2019;37;10.33;1;101.73;28;3422.98;3528205
Magda;2019;37;11.94;1;124.69;28;3971.63;3528304
Mairinque;2019;289;6.28;9;62.53;208;3268.38;3528403
Mairiporã;2019;551;5.69;27;81.88;385;3061.87;3528502
Manduri;2019;88;9.29;6;206.97;58;3609.21;3528601
Marabá Paulista;2019;28;5.69;1;48.12;20;2998.5;3528700
Maracaí;2019;116;8.59;7;172.63;79;3481.71;3528809
Marapoama;2019;22;7.64;1;112.99;16;2979.52;3528858
Mariápolis;2019;37;9.32;1;83.13;29;4033.38;3528908
Marília;2019;1716;7.46;69;98.8;1310;3316.37;3529005
Marinópolis;2019;26;12.39;2;325.73;19;4896.91;3529104
Martinópolis;2019;184;7.21;11;130.41;132;3126.48;3529203
Matão;2019;621;7.79;28;116.21;449;3477.65;3529302
Mauá;2019;2330;5.11;161;104.97;1543;2806.73;3529401
Mendonça;2019;49;9.79;2;123.76;37;4079.38;3529500
Meridiano;2019;41;10.93;1;95.6;36;4761.9;3529609
Mesópolis;2019;23;12.16;1;185.87;18;5000;3529658
Miguelópolis;2019;177;8.3;10;151.1;127;4064;3529708
Mineiros do Tietê;2019;103;8.21;1;25.57;75;3782.15;3529807
Mira Estrela;2019;26;8.88;;;22;3363.91;3530003
Miracatu;2019;127;6.37;8;126.94;87;3019.78;3529906
Mirandópolis;2019;258;9.04;9;99.58;199;3974.44;3530102
Mirante do Paranapanema;2019;125;7.06;6;110.64;97;2963.64;3530201
Mirassol;2019;437;7.61;13;76.2;346;3537.47;3530300
Mirassolândia;2019;26;5.58;;;22;2653.8;3530409
Mococa;2019;557;8.35;12;60.45;437;3595.52;3530508
Mogi das Cruzes;2019;2858;6.67;141;101.92;1981;3404.6;3530607
Mogi Guaçu;2019;1151;7.82;58;127.66;838;3636.21;3530706
Mogi Mirim;2019;767;8.51;37;139.91;544;3479.15;3530805
Mombuca;2019;20;6.01;;;14;3036.88;3530904
Mongaguá;2019;520;9.67;14;79.15;369;4100.91;3531100
Monte Alegre do Sul;2019;66;8.58;2;86.62;54;3744.8;3531209
Monte Alto;2019;400;8.29;8;57.16;319;3544.44;3531308
Monte Aprazível;2019;185;7.93;3;43.84;154;3573.92;3531407
Monte Azul Paulista;2019;163;8.93;2;36.92;120;3665.24;3531506
Monte Castelo;2019;44;11.01;;;36;3951.7;3531605
Monte Mor;2019;386;6.6;24;119.26;243;3585.66;3531803
Monteiro Lobato;2019;22;4.97;3;213.07;18;2258.47;3531704
Monções;2019;23;10.59;2;357.78;21;4421.05;3531001
Morro Agudo;2019;181;5.65;14;133.5;120;3143.83;3531902
Morungaba;2019;84;6.41;1;23.72;66;3540.77;3532009
Motuca;2019;22;4.78;;;13;1843.97;3532058
Murutinga do Sul;2019;40;9.36;1;81.57;31;3222.45;3532108
Nantes;2019;21;6.92;3;289.58;16;4221.64;3532157
Narandiba;2019;33;6.9;3;189.16;19;3044.87;3532207
Natividade da Serra;2019;46;6.87;;;34;2416.49;3532306
Nazaré Paulista;2019;135;7.4;7;117.57;97;3370.4;3532405
Neves Paulista;2019;86;9.95;1;43.86;72;3705.61;3532504
Nhandeara;2019;90;8.35;2;68.7;72;2920.89;3532603
Nipoã;2019;25;5.1;1;62.03;16;2427.92;3532702
Nova Aliança;2019;54;8.44;2;101.88;42;3620.69;3532801
Nova Campina;2019;55;5.76;5;142.94;31;3273.5;3532827
Nova Canaã Paulista;2019;24;12.29;1;213.22;16;2957.49;3532843
Nova Castilho;2019;7;5.97;;;6;2870.81;3532868
Nova Europa;2019;65;6.13;1;28.3;56;4037.49;3532900
Nova Granada;2019;164;7.9;6;91.83;125;3720.24;3533007
Nova Guataporanga;2019;26;11.87;;;20;4048.58;3533106
Nova Independência;2019;30;8.18;2;160.64;21;4458.6;3533205
Nova Luzitânia;2019;21;5.26;2;157.23;17;2819.24;3533304
Nova Odessa;2019;361;6.29;12;66.06;266;3181.82;3533403
Novais;2019;22;4.06;2;102.41;17;2876.48;3533254
Novo Horizonte;2019;319;8.24;15;127.57;245;3630.71;3533502
Nuporanga;2019;19;2.63;;;16;1306.12;3533601
Ocauçu;2019;35;8.44;;;27;3547.96;3533700
Óleo;2019;22;8.67;1;139.28;18;3082.19;3533809
Olímpia;2019;434;8.3;14;90.12;345;3693;3533908
Onda Verde;2019;18;4.29;1;72.2;16;2631.58;3534005
Oriente;2019;59;9.44;2;106.55;45;3823.28;3534104
Orindiúva;2019;31;4.59;1;43.01;23;3142.08;3534203
Orlândia;2019;281;6.69;8;62.01;208;3178.97;3534302
Osasco;2019;4681;6.89;243;113.97;3201;3566.14;3534401
Oscar Bressane;2019;20;7.95;1;149.48;14;2345.06;3534500
Osvaldo Cruz;2019;300;9.6;11;116.53;239;3666.21;3534609
Ourinhos;2019;850;7.74;34;102.9;660;3631.16;3534708
Ouro Verde;2019;89;10.83;4;155.1;64;4889.23;3534807
Ouroeste;2019;90;9.33;7;223.93;61;4102.22;3534757
Pacaembu;2019;104;7.96;8;171.49;71;2985.7;3534906
Palestina;2019;94;7.79;6;162.87;67;3004.48;3535002
Palmares Paulista;2019;58;4.53;3;64.1;36;3025.21;3535101
Palmeira d'Oeste;2019;87;9.49;1;40.63;65;3034.55;3535200
Palmital;2019;208;9.65;7;116.32;163;3764.43;3535309
Panorama;2019;118;7.79;5;103.33;88;3874.94;3535408
Paraguaçu Paulista;2019;311;7.07;14;100.04;240;3478.77;3535507
Paraibuna;2019;132;7.27;2;35.4;108;3693.57;3535606
Paraíso;2019;43;6.9;1;54.05;34;3151.07;3535705
Paranapanema;2019;123;6.23;4;60.19;98;3811.75;3535804
Paranapuã;2019;26;6.69;1;85.98;19;2496.71;3535903
Parapuã;2019;93;8.83;4;131.32;68;3096.54;3536000
Pardinho;2019;52;8.24;1;48.26;39;4382.02;3536109
PariqueraAçu;2019;157;8.19;10;164.31;119;4159.38;3536208
Parisi;2019;22;10.72;;;18;4054.05;3536257
Patrocínio Paulista;2019;100;6.98;6;132.42;73;3406.44;3536307
Paulicéia;2019;53;7.5;2;84.14;39;4045.64;3536406
Paulínia;2019;502;4.88;26;78.09;341;2843.8;3536505
Paulistânia;2019;13;7.34;1;177.3;5;1572.33;3536570
Paulo de Faria;2019;72;8.45;2;76.39;53;3788.42;3536604
Pederneiras;2019;325;7.19;12;80.39;238;3706.01;3536703
Pedra Bela;2019;46;7.73;;;41;3663.99;3536802
Pedranópolis;2019;26;10.69;1;156.49;22;3799.65;3536901
Pedregulho;2019;108;6.66;7;136.13;78;3152.79;3537008
Pedreira;2019;291;6.31;9;62.22;219;3222.01;3537107
Pedrinhas Paulista;2019;20;6.66;2;220.51;12;2158.27;3537156
Pedro de Toledo;2019;48;4.41;2;56.98;34;1925.25;3537206
Penápolis;2019;523;8.63;13;73.55;413;3692.12;3537305
Pereira Barreto;2019;225;8.88;7;94.52;171;3879.31;3537404
Pereiras;2019;65;7.8;6;218.58;44;3223.44;3537503
Peruíbe;2019;616;9.4;27;136.39;455;4145.41;3537602
Piacatu;2019;55;9.43;3;160;36;3654.82;3537701
Piedade;2019;461;8.64;20;120.07;346;4072.98;3537800
Pilar do Sul;2019;207;7.38;12;133.32;152;3683.96;3537909
Pindamonhangaba;2019;1075;6.63;57;108.72;768;3354.74;3538006
Pindorama;2019;150;9.29;7;140.65;116;4064.47;3538105
Pinhalzinho;2019;100;6.85;3;64.16;81;2916.82;3538204
Piquerobi;2019;29;8.21;1;96.25;21;3139.01;3538303
Piquete;2019;128;9.35;10;250.56;90;3453.57;3538501
Piracaia;2019;210;8.03;12;149.35;154;3594.77;3538600
Piracicaba;2019;2899;7.48;111;94.47;2176;3475.54;3538709
Piraju;2019;257;8.99;7;81.5;205;3874.5;3538808
Pirajuí;2019;261;11.24;9;108.07;207;5484.9;3538907
Pirangi;2019;95;8.79;2;64.5;73;3461.36;3539004
Pirapora do Bom Jesus;2019;91;4.91;6;87.01;60;3387.92;3539103
Pirapozinho;2019;186;6.9;8;93.49;130;3114.52;3539202
Pirassununga;2019;564;7.69;22;100.56;438;3354.78;3539301
Piratininga;2019;109;8.32;3;73.49;88;3827.75;3539400
Pitangueiras;2019;231;6.04;6;47.06;155;3364.45;3539509
Planalto;2019;31;6.08;;;26;3823.53;3539608
Platina;2019;30;8.65;1;94.34;23;4166.67;3539707
Poá;2019;750;6.54;34;93.4;507;3486.69;3539806
Poloni;2019;61;10.81;3;181.49;48;4297.22;3539905
Pompéia;2019;162;7.66;5;78.08;122;3368.3;3540002
Pongaí;2019;44;13.1;1;107.53;36;4675.32;3540101
Pontal;2019;197;4.06;12;69.3;113;2592.93;3540200
Pontalinda;2019;26;5.85;2;138.41;19;2883.16;3540259
