Localidades;Períodos;Óbitos Gerais (por local de residência) ;Taxa de Mortalidade Geral (por local de residência) (Por mil habitantes);Óbitos da População de 15 a 34 Anos ;Taxa de Mortalidade da População de 15 a 34 Anos (Por cem mil habitantes nessa faixa etária);Óbitos da População de 60 Anos e Mais ;Taxa de Mortalidade da População de 60 Anos e Mais (Por cem mil habitantes nessa faixa etária);Cód. IBGE
Santo Antônio do Jardim;2019;32;5.49;;;24;2114.54;3548104
Santo Antônio do Pinhal;2019;66;9.98;1;47.48;47;4607.84;3548203
Santo Expedito;2019;30;10.15;1;112.23;23;4013.96;3548302
Santópolis do Aguapeí;2019;19;4.1;;;16;2380.95;3548401
Santos;2019;4215;9.86;118;102.62;3502;3737.38;3548500
São Bento do Sapucaí;2019;78;7.41;5;161.34;56;2834.01;3548609
São Bernardo do Campo;2019;4776;5.91;207;83.88;3445;2941.73;3548708
São Caetano do Sul;2019;1529;10.12;17;44.24;1318;3856.73;3548807
São Carlos;2019;1660;6.9;66;90.31;1259;3194.3;3548906
São Francisco;2019;28;10.41;;;21;3471.07;3549003
São João da Boa Vista;2019;17;0.2;1;3.94;10;61.98;3549102
São João das Duas Pontes;2019;25;10.06;;;18;3797.47;3549201
São João de Iracema;2019;14;7.59;;;11;3151.86;3549250
São João do Pau d'Alho;2019;27;13.53;;;20;3831.42;3549300
São Joaquim da Barra;2019;368;7.37;12;78.56;279;3552.78;3549409
São José da Bela Vista;2019;58;6.67;3;103.56;41;3480.48;3549508
São José do Barreiro;2019;27;6.64;2;156.49;16;2339.18;3549607
São José do Rio Pardo;2019;465;8.76;14;88.65;372;3710.72;3549706
São José do Rio Preto;2019;3383;7.61;109;83.36;2633;3435.72;3549805
São José dos Campos;2019;4210;5.99;202;92.56;3047;3082.14;3549904
São Lourenço da Serra;2019;113;7.33;7;134.13;80;3896.74;3549953
São Luiz do Paraitinga;2019;97;9.2;3;95.97;75;3871.97;3550001
São Manuel;2019;323;8.19;13;107.54;239;3852.97;3550100
São Miguel Arcanjo;2019;222;6.95;16;157.45;161;3478.82;3550209
São Paulo;2019;77660;6.57;3792;106.26;57088;3184.19;3550308
São Pedro;2019;283;8.33;3;28.48;221;3591.74;3550407
São Pedro do Turvo;2019;54;7.35;1;43.82;43;3470.54;3550506
São Roque;2019;614;7.09;22;81.37;450;3249.33;3550605
São Sebastião;2019;437;5.09;33;116.71;282;2948.87;3550704
São Sebastião da Grama;2019;97;8.12;;;79;3809.06;3550803
São Simão;2019;102;6.89;3;64.88;73;2819.62;3550902
São Vicente;2019;2598;7.31;115;104.85;1822;3501.56;3551009
Sarapuí;2019;69;6.9;6;175.95;49;3407.51;3551108
Sarutaiá;2019;40;10.98;2;171.97;28;4458.6;3551207
Sebastianópolis do Sul;2019;27;8.25;2;209.86;21;3230.77;3551306
Serra Azul;2019;82;6.74;2;42.48;54;3910.21;3551405
Serra Negra;2019;276;10.09;5;64.4;226;4083.11;3551603
Serrana;2019;232;5.29;11;73.34;156;3278;3551504
Sertãozinho;2019;802;6.62;38;98.61;596;3602.08;3551702
Sete Barras;2019;94;7.44;8;205.29;68;3363.01;3551801
Severínia;2019;127;7.49;7;121.34;88;4152.9;3551900
Silveiras;2019;53;8.6;4;200.6;34;3406.81;3552007
Socorro;2019;338;8.76;9;80.99;269;3457.14;3552106
Sorocaba;2019;4464;6.85;211;101.04;3204;3461.69;3552205
Sud Mennucci;2019;52;6.76;2;87.26;39;3201.97;3552304
Sumaré;2019;1402;5.02;76;82.21;938;2839.76;3552403
Suzanápolis;2019;27;6.93;1;79.74;22;3554.12;3552551
Suzano;2019;1815;6.3;125;132.17;1168;3295.71;3552502
Tabapuã;2019;97;8.19;4;115.04;79;3618.87;3552601
Tabatinga;2019;119;7.54;7;136.08;83;3638.75;3552700
Taboão da Serra;2019;1602;5.72;139;155.21;1019;3279.16;3552809
Taciba;2019;51;8.47;;;40;4255.32;3552908
Taguaí;2019;84;6.42;4;87.22;59;3617.41;3553005
Taiaçu;2019;47;7.8;2;102.3;36;3550.3;3553104
Taiúva;2019;47;7.47;;;41;3647.69;3553203
Tambaú;2019;180;7.91;7;101.82;135;3435.99;3553302
Tanabi;2019;184;7.36;4;55.9;146;2988.74;3553401
Tapiraí;2019;73;9.46;5;196.85;46;4020.98;3553500
Tapiratiba;2019;98;7.77;3;75.68;78;3579.62;3553609
Taquaral;2019;25;9.1;1;117.79;19;3893.44;3553658
Taquaritinga;2019;522;9.59;14;85.95;390;4211.21;3553708
Taquarituba;2019;178;7.7;6;84.18;127;3468.05;3553807
Taquarivaí;2019;38;6.69;3;145.42;25;4058.44;3553856
Tarabai;2019;57;7.91;2;82.68;44;4631.58;3553906
Tarumã;2019;81;5.54;4;83.66;50;2807.41;3553955
Tatuí;2019;859;7.23;30;77.93;614;3633.78;3554003
Taubaté;2019;2055;6.75;92;96.88;1530;3380.99;3554102
Tejupá;2019;40;8.51;1;65.53;32;4407.71;3554201
Teodoro Sampaio;2019;162;7.26;3;41.94;121;3969.82;3554300
Terra Roxa;2019;73;8.06;2;69.83;55;3840.78;3554409
Tietê;2019;288;7.08;7;54.47;212;3382.26;3554508
Timburi;2019;22;8.58;;;17;3177.57;3554607
Torre de Pedra;2019;8;3.46;;;7;1552.11;3554656
Torrinha;2019;74;7.65;3;101.59;59;3184.03;3554706
Trabiju;2019;12;7.12;;;11;4074.07;3554755
Tremembé;2019;257;5.65;17;104.43;178;2930.04;3554805
Três Fronteiras;2019;55;9.93;1;62.77;47;3916.67;3554904
Tuiuti;2019;59;9.08;3;152.75;46;3533.03;3554953
Tupã;2019;608;9.67;17;98.2;501;3858.6;3555000
Tupi Paulista;2019;153;10.3;2;41.9;119;3695.65;3555109
Turiúba;2019;21;10.97;;;20;4219.41;3555208
Turmalina;2019;19;10.43;;;15;3112.03;3555307
Ubarana;2019;39;6.51;;;32;4283.8;3555356
Ubatuba;2019;556;6.33;35;120.14;364;3202.82;3555406
Ubirajara;2019;46;9.91;3;207.76;35;4257.91;3555505
Uchoa;2019;73;7.55;1;34.92;56;2925.81;3555604
União Paulista;2019;16;9.28;1;192.31;12;4347.83;3555703
Urânia;2019;83;9.61;3;126.21;65;3394.26;3555802
Uru;2019;25;20.64;1;289.86;20;8000;3555901
Urupês;2019;126;9.6;2;53.05;101;3788.45;3556008
Valentim Gentil;2019;83;6.59;6;147.24;59;3041.24;3556107
Valinhos;2019;737;5.98;24;64.4;555;2880.27;3556206
Valparaíso;2019;138;5.79;4;47.97;107;3449.39;3556305
Vargem;2019;72;7.29;3;91.38;59;3497.33;3556354
Vargem Grande do Sul;2019;303;7.34;6;48.42;237;3541.01;3556404
Vargem Grande Paulista;2019;295;5.7;16;94.71;203;3360.93;3556453
Várzea Paulista;2019;587;4.92;30;77.7;370;2571.05;3556503
Vera Cruz;2019;78;7.4;2;63.41;58;2859.96;3556602
Vinhedo;2019;456;5.99;10;42.2;353;3173.6;3556701
Viradouro;2019;92;5.04;2;34.52;71;2449.12;3556800
Vista Alegre do Alto;2019;41;5.19;;;26;2445.91;3556909
Vitória Brasil;2019;8;4.55;;;7;2058.82;3556958
Votorantim;2019;742;6.25;29;75.27;509;3252.19;3557006
Votuporanga;2019;691;7.59;24;88.64;534;3209.13;3557105
Zacarias;2019;22;8.66;1;132.63;20;4282.66;3557154
