"Localidades";"Períodos";"Empregos Formais ";"Empregos Formais de Homens ";"Empregos Formais de Mulheres ";"Cód. IBGE"
"Salto";"2018";"31068";"16732";"14336";3545209
"Salto de Pirapora";"2018";"6335";"4121";"2214";3545308
"Salto Grande";"2018";"1476";"940";"536";3545407
"Sandovalina";"2018";"2213";"1763";"450";3545506
"Santa Adélia";"2018";"4783";"3218";"1565";3545605
"Santa Albertina";"2018";"1985";"1568";"417";3545704
"Santa Bárbara d'Oeste";"2018";"43177";"23261";"19916";3545803
"Santa Branca";"2018";"2390";"1258";"1132";3546009
"Santa Clara d'Oeste";"2018";"599";"366";"233";3546108
"Santa Cruz da Conceição";"2018";"1190";"835";"355";3546207
"Santa Cruz da Esperança";"2018";"377";"199";"178";3546256
"Santa Cruz das Palmeiras";"2018";"5547";"3419";"2128";3546306
"Santa Cruz do Rio Pardo";"2018";"14348";"8885";"5463";3546405
"Santa Ernestina";"2018";"524";"280";"244";3546504
"Santa Fé do Sul";"2018";"8873";"4666";"4207";3546603
"Santa Gertrudes";"2018";"7861";"5690";"2171";3546702
"Santa Isabel";"2018";"10346";"5770";"4576";3546801
"Santa Lúcia";"2018";"629";"340";"289";3546900
"Santa Maria da Serra";"2018";"1187";"747";"440";3547007
"Santa Mercedes";"2018";"382";"208";"174";3547106
"Santa Rita d'Oeste";"2018";"376";"205";"171";3547403
"Santa Rita do Passa Quatro";"2018";"6325";"3295";"3030";3547502
"Santa Rosa de Viterbo";"2018";"4163";"2360";"1803";3547601
"Santa Salete";"2018";"234";"139";"95";3547650
"Santana da Ponte Pensa";"2018";"225";"126";"99";3547205
"Santana de Parnaíba";"2018";"54423";"31505";"22918";3547304
"Santo Anastácio";"2018";"3188";"1888";"1300";3547700
"Santo André";"2018";"205454";"106742";"98712";3547809
"Santo Antônio da Alegria";"2018";"1116";"625";"491";3547908
"Santo Antônio de Posse";"2018";"7378";"4484";"2894";3548005
"Santo Antônio do Aracanguá";"2018";"1741";"944";"797";3548054
"Santo Antônio do Jardim";"2018";"1253";"775";"478";3548104
"Santo Antônio do Pinhal";"2018";"1176";"583";"593";3548203
"Santo Expedito";"2018";"334";"160";"174";3548302
"Santópolis do Aguapeí";"2018";"523";"286";"237";3548401
"Santos";"2018";"178341";"98466";"79875";3548500
"São Bento do Sapucaí";"2018";"1664";"916";"748";3548609
"São Bernardo do Campo";"2018";"247734";"147148";"100586";3548708
"São Caetano do Sul";"2018";"105702";"55205";"50497";3548807
"São Carlos";"2018";"74236";"42777";"31459";3548906
"São Francisco";"2018";"229";"112";"117";3549003
"São João da Boa Vista";"2018";"24588";"13959";"10629";3549102
"São João das Duas Pontes";"2018";"267";"140";"127";3549201
"São João de Iracema";"2018";"234";"122";"112";3549250
"São João do Pau d'Alho";"2018";"229";"120";"109";3549300
"São Joaquim da Barra";"2018";"12006";"7885";"4121";3549409
"São José da Bela Vista";"2018";"777";"402";"375";3549508
"São José do Barreiro";"2018";"562";"335";"227";3549607
"São José do Rio Pardo";"2018";"14397";"8498";"5899";3549706
"São José do Rio Preto";"2018";"138787";"74186";"64601";3549805
"São José dos Campos";"2018";"186507";"108211";"78296";3549904
"São Lourenço da Serra";"2018";"7430";"2243";"5187";3549953
"São Luiz do Paraitinga";"2018";"1950";"1162";"788";3550001
"São Manuel";"2018";"7786";"4721";"3065";3550100
"São Miguel Arcanjo";"2018";"4446";"2591";"1855";3550209
"São Paulo";"2018";"4903449";"2583222";"2320227";3550308
"São Pedro";"2018";"6341";"3289";"3052";3550407
"São Pedro do Turvo";"2018";"1213";"835";"378";3550506
"São Roque";"2018";"20848";"10074";"10774";3550605
"São Sebastião";"2018";"19879";"12344";"7535";3550704
"São Sebastião da Grama";"2018";"2650";"1554";"1096";3550803
"São Simão";"2018";"3451";"2176";"1275";3550902
"São Vicente";"2018";"34714";"17102";"17612";3551009
"Sarapuí";"2018";"1919";"1141";"778";3551108
"Sarutaiá";"2018";"546";"254";"292";3551207
"Sebastianópolis do Sul";"2018";"2255";"1815";"440";3551306
"Serra Azul";"2018";"818";"435";"383";3551405
"Serra Negra";"2018";"6393";"3325";"3068";3551603
"Serrana";"2018";"6563";"4288";"2275";3551504
"Sertãozinho";"2018";"40456";"27582";"12874";3551702
"Sete Barras";"2018";"1918";"1322";"596";3551801
"Severínia";"2018";"2263";"1337";"926";3551900
"Silveiras";"2018";"760";"422";"338";3552007
"Socorro";"2018";"7885";"4007";"3878";3552106
"Sorocaba";"2018";"193949";"109831";"84118";3552205
"Sud Mennucci";"2018";"1184";"650";"534";3552304
"Sumaré";"2018";"56946";"36971";"19975";3552403
"Suzanápolis";"2018";"1520";"1158";"362";3552551
"Suzano";"2018";"57753";"33320";"24433";3552502
"Tabapuã";"2018";"1984";"1174";"810";3552601
"Tabatinga";"2018";"3606";"1985";"1621";3552700
"Taboão da Serra";"2018";"63750";"33912";"29838";3552809
"Taciba";"2018";"806";"428";"378";3552908
"Taguaí";"2018";"4619";"2209";"2410";3553005
"Taiaçu";"2018";"682";"398";"284";3553104
"Taiúva";"2018";"768";"434";"334";3553203
"Tambaú";"2018";"5428";"3442";"1986";3553302
"Tanabi";"2018";"5336";"3348";"1988";3553401
"Tapiraí";"2018";"1186";"698";"488";3553500
"Tapiratiba";"2018";"3266";"2264";"1002";3553609
"Taquaral";"2018";"545";"316";"229";3553658
"Taquaritinga";"2018";"11063";"6293";"4770";3553708
"Taquarituba";"2018";"4793";"2834";"1959";3553807
"Taquarivaí";"2018";"1333";"875";"458";3553856
"Tarabai";"2018";"944";"519";"425";3553906
"Tarumã";"2018";"5363";"3745";"1618";3553955
"Tatuí";"2018";"28713";"16464";"12249";3554003
"Taubaté";"2018";"79933";"45119";"34814";3554102
"Tejupá";"2018";"1093";"633";"460";3554201
"Teodoro Sampaio";"2018";"3193";"1682";"1511";3554300
"Terra Roxa";"2018";"1187";"597";"590";3554409
"Tietê";"2018";"13829";"8324";"5505";3554508
"Timburi";"2018";"375";"246";"129";3554607
"Torre de Pedra";"2018";"255";"130";"125";3554656
"Torrinha";"2018";"2045";"1298";"747";3554706
"Trabiju";"2018";"431";"245";"186";3554755
"Tremembé";"2018";"4405";"2608";"1797";3554805
"Três Fronteiras";"2018";"639";"383";"256";3554904
"Tuiuti";"2018";"654";"371";"283";3554953
"Tupã";"2018";"16434";"8782";"7652";3555000
"Tupi Paulista";"2018";"2152";"1103";"1049";3555109
"Turiúba";"2018";"291";"155";"136";3555208
"Turmalina";"2018";"335";"197";"138";3555307
"Ubarana";"2018";"1440";"1100";"340";3555356
"Ubatuba";"2018";"19226";"10526";"8700";3555406
"Ubirajara";"2018";"993";"651";"342";3555505
"Uchoa";"2018";"1166";"609";"557";3555604
"União Paulista";"2018";"242";"122";"120";3555703
"Urânia";"2018";"1276";"692";"584";3555802
"Uru";"2018";"313";"165";"148";3555901
"Urupês";"2018";"2569";"1319";"1250";3556008
"Valentim Gentil";"2018";"3233";"1956";"1277";3556107
"Valinhos";"2018";"46662";"25380";"21282";3556206
"Valparaíso";"2018";"5327";"3691";"1636";3556305
"Vargem";"2018";"951";"552";"399";3556354
"Vargem Grande do Sul";"2018";"7245";"4256";"2989";3556404
"Vargem Grande Paulista";"2018";"11394";"6912";"4482";3556453
"Várzea Paulista";"2018";"16617";"9968";"6649";3556503
"Vera Cruz";"2018";"1264";"762";"502";3556602
"Vinhedo";"2018";"35224";"21172";"14052";3556701
"Viradouro";"2018";"2967";"1332";"1635";3556800
"Vista Alegre do Alto";"2018";"3391";"2623";"768";3556909
"Vitória Brasil";"2018";"228";"136";"92";3556958
"Votorantim";"2018";"18587";"10100";"8487";3557006
"Votuporanga";"2018";"28924";"16518";"12406";3557105
"Zacarias";"2018";"582";"394";"188";3557154
