CodIBGE;Localidade;Populacao;Pop60mais%;DensDem;RazaoSexos;GrauUrb;TxMortalidade;PIBPerCapita;VlAdTPop;VlAdAPPop;VlAdIndPop;VlAdSrvPop;VlAdAgrPop;ImpostosPop;ConsEElTPop;ConsEEIndPop;ConsEECSPop;ConsEERurPop;ConsEEResPop;ConsEEIlPubPop;FrotaVeículosPop;AutomóveisPop;LeitosMilHab;LeitosSUSMilHab;AuxEnfMilHab;EnfMilHab;MedMilHab;TecEnfMilHab;EmpFormPop;RazaoEmpSexo;RendMedEmpregos;IDH-M;IDH-Long;IDH-Educ;IDH-Renda;RendaPCapita;DomMeioSMPC%;DomQuarSMPC%;Agua%;Lixo%;Esgoto%;CasosCovid;ObitosCovid;IncidCovid%;LetalidCovid%;MortalidCovid%
3500907;Altair;4052;13,62290227;0,128941567;112,82;85,02;7,22;26748,32;25,44595755;5,354985192;1,321734946;11,80008391;12,3241387;0,919491609;2,516041461;0,000740375;0,137709773;1,6517769;0,546150049;0,179664363;0,427196446;0,28183613;0;0;1,49;1,74;0;7,47;0,175715696;2,807486631;2525,44;0,687;0,8;0,581;0,698;517,99;20,74;5,31;98,31;100;86,12;158;12;3,914767096;7,594936709;0,297324083
3501004;Altinópolis;15547;19,16768508;0,167423786;98,81;92,11;6,62;31993,52;30,20762655;4,320297807;1,201147488;19,48180356;9,5246755;1,806472631;2,234579018;0,018395832;0,322634592;0,5577925;0,850775069;0,485045346;0,675178491;0,42689908;1,99;1,61;2,51;2,7;1,29;5,85;0,243905577;1,857573474;1962,17;0,73;0,843;0,635;0,726;635,36;18;3,96;99,93;99,93;98,88;778;39;5,00225037;5,01285347;0,250755481
3501103;Alto Alegre;4006;24,06390414;0,126094736;104,28;85,45;9,93;26681,19;25,28830504;5,663387419;2,542571143;14,52955067;8,216180729;1,599358462;11,67049426;0,013729406;0,365701448;10,26734898;0,747628557;0,275836246;0,64902646;0,335247129;5,46;4,72;1,74;3,48;0,5;4,47;0,123065402;1,358851675;2208,09;0,7;0,817;0,616;0,683;517,16;20,75;5,45;99,36;99,64;96,17;317;15;7,89146129;4,731861199;0,373412995
3501152;Alumínio;18069;12,3415795;2,148218982;100,72;83,87;5,94;118617,49;85,85824838;4,892679728;56,42049698;29,38787813;0,049873264;30,64540484;206,5777852;205,4083236;0,309258952;0,001106868;0,63617245;0,222923239;0,512092534;0,354972605;0;0;3,25;1,51;0,11;5,6;0,350379102;4,105645161;4069,31;0,766;0,841;0,732;0,729;653,51;17,47;6,54;98,49;99,98;91,71;1303;39;7,250166926;2,993092863;0,217004229
3501202;Álvares Florence;3596;27,55839822;0,099914462;102,25;74,05;7,95;32588,08;32,52056174;5,77583426;1,344733037;13,72354283;17,45228309;0,7653198;2,899332592;0,156284761;0,203281424;1,546440489;0,691879867;0,301446051;0,575361513;0,330367075;0;0;0,82;1,37;0,55;3,84;0,133481646;0,983471074;2006,93;0,728;0,806;0,683;0,701;463,88;26,23;10,57;99,49;99,8;98,98;425;13;11,7370892;3,058823529;0,359016846
3501301;Álvares Machado;23828;17,90750378;0,684280167;96,41;91,41;7,83;22379,94;19,77810643;4,130268172;4,228255414;14,87446827;0,675382743;2,494758268;1,834228639;0,156412624;0,355757932;0,178991103;0,934740641;0,208284371;0,687804264;0,374727212;0,84;0,76;6,11;2,86;1,77;3,37;0,137821051;1,533950617;2440,18;0,758;0,834;0,732;0,712;558,09;23,9;6,45;97,98;99,04;93,06;1615;49;6,78885199;3,034055728;0,205977553
3501400;Álvaro de Carvalho;5079;11,47863753;0,328257191;164,53;67,79;5,4;10053,7;9,476231542;4,109238039;0,514589486;7,71563103;1,246011026;0,345875172;1,090175231;0,041346722;0,072652097;0,192754479;0,383343178;0,400275645;0,293955503;0,195904706;0;0;2;0,6;0,2;3,4;0,084268557;1,252631579;2230,05;0,688;0,805;0,605;0,669;331,26;26,38;7,61;99,89;99,89;99,23;148;9;2,934179223;6,081081081;0,178429818
3501509;Alvinlândia;3190;15,830721;0,374175306;97,28;92,38;5,06;16520,16;15,99755172;5,15584326;1,177893417;10,26697806;4,552680251;0,274028213;1,37492163;0,018495298;0,109717868;0,332288401;0,596238245;0,318495298;0,496238245;0,3169279;0;0;6,01;1,9;0;7,91;0,118495298;1,643356643;2070,94;0,722;0,791;0,659;0,721;500,44;27,3;5,7;100;100;95,62;130;7;4,093198992;5,384615385;0,220403023
3501608;Americana;235075;17,13325534;17,43394817;95,67;99,53;6,45;49425,42;41,38051545;4,193900798;12,06088508;29,2820542;0,037576178;6,827112624;4,486563863;2,516137403;0,619717112;0,001152824;1,080285015;0,269267255;0,798064448;0,499763905;2,23;0,89;2,07;1,9;2,84;4,68;0,304375199;1,204282193;2873,93;0,811;0,876;0,76;0,8;996,71;8,01;2,78;98,31;99,93;98,37;18908;577;8,099101337;3,051618363;0,247153664
3501707;Américo Brasiliense;40676;10,97698889;3,277384152;99,74;99,24;4,61;24524,82;21,39971482;3,691117121;7,471316009;13,51622529;0,412173518;2,187547694;1,399105123;0,165183401;0,299537811;0,010743436;0,633543121;0,290121939;0,651071885;0,362252926;4,46;4,46;1,69;1,36;0,3;9;0,237043957;2,14481409;2663,38;0,751;0,852;0,701;0,709;565,83;18,66;6,04;99,69;99,85;99,51;3494;83;8,682255299;2,375500859;0,206247049
