Localidades;Períodos;Índice de Desenvolvimento Humano Municipal  IDHM ;Índice de Desenvolvimento Humano Municipal  IDHM  Ranking dos Municípios ;Índice de Desenvolvimento Humano Municipal  IDHM Longevidade ;Índice de Desenvolvimento Humano Municipal  IDHM Educação ;Índice de Desenvolvimento Humano Municipal  IDHM Renda ;Cód. IBGE
Patrocínio Paulista;2010;0.73;388;0.826;0.678;0.696;3536307
Paulicéia;2010;0.711;528;0.811;0.64;0.692;3536406
Paulínia;2010;0.795;31;0.864;0.727;0.8;3536505
Paulistânia;2010;0.718;489;0.817;0.663;0.683;3536570
Paulo de Faria;2010;0.725;430;0.8;0.662;0.721;3536604
Pederneiras;2010;0.739;314;0.812;0.673;0.738;3536703
Pedra Bela;2010;0.677;628;0.796;0.581;0.671;3536802
Pedranópolis;2010;0.742;290;0.854;0.684;0.698;3536901
Pedregulho;2010;0.715;502;0.82;0.623;0.716;3537008
Pedreira;2010;0.769;115;0.864;0.701;0.75;3537107
Pedrinhas Paulista;2010;0.774;92;0.837;0.739;0.749;3537156
Pedro de Toledo;2010;0.696;596;0.812;0.634;0.654;3537206
Penápolis;2010;0.759;169;0.859;0.68;0.748;3537305
Pereira Barreto;2010;0.766;131;0.845;0.732;0.728;3537404
Pereiras;2010;0.736;339;0.873;0.637;0.717;3537503
Peruíbe;2010;0.749;236;0.854;0.675;0.73;3537602
Piacatu;2010;0.732;370;0.843;0.684;0.681;3537701
Piedade;2010;0.716;500;0.848;0.624;0.694;3537800
Pilar do Sul;2010;0.69;608;0.82;0.594;0.674;3537909
Pindamonhangaba;2010;0.773;96;0.843;0.736;0.745;3538006
Pindorama;2010;0.737;330;0.842;0.654;0.726;3538105
Pinhalzinho;2010;0.725;430;0.808;0.666;0.707;3538204
Piquerobi;2010;0.711;528;0.836;0.644;0.669;3538303
Piquete;2010;0.757;182;0.823;0.74;0.711;3538501
Piracaia;2010;0.739;314;0.851;0.625;0.758;3538600
Piracicaba;2010;0.785;50;0.848;0.717;0.797;3538709
Piraju;2010;0.758;177;0.843;0.699;0.74;3538808
Pirajuí;2010;0.749;236;0.853;0.672;0.734;3538907
Pirangi;2010;0.756;188;0.837;0.701;0.735;3539004
Pirapora do Bom Jesus;2010;0.727;418;0.81;0.698;0.679;3539103
Pirapozinho;2010;0.776;83;0.863;0.733;0.74;3539202
Pirassununga;2010;0.801;20;0.884;0.736;0.789;3539301
Piratininga;2010;0.779;73;0.859;0.723;0.762;3539400
Pitangueiras;2010;0.723;446;0.83;0.651;0.699;3539509
Planalto;2010;0.719;476;0.853;0.639;0.683;3539608
Platina;2010;0.719;476;0.824;0.652;0.691;3539707
Poá;2010;0.771;107;0.856;0.754;0.71;3539806
Poloni;2010;0.766;131;0.853;0.717;0.736;3539905
Pompéia;2010;0.786;47;0.864;0.748;0.75;3540002
Pongaí;2010;0.755;195;0.844;0.701;0.727;3540101
Pontal;2010;0.725;430;0.838;0.633;0.718;3540200
Pontalinda;2010;0.702;574;0.847;0.604;0.677;3540259
Pontes Gestal;2010;0.732;370;0.805;0.69;0.705;3540309
Populina;2010;0.714;509;0.804;0.647;0.699;3540408
Porangaba;2010;0.703;565;0.864;0.578;0.696;3540507
Porto Feliz;2010;0.758;177;0.836;0.706;0.737;3540606
Porto Ferreira;2010;0.751;219;0.827;0.696;0.736;3540705
Potim;2010;0.697;590;0.806;0.646;0.651;3540754
Potirendaba;2010;0.747;252;0.857;0.661;0.737;3540804
Pracinha;2010;0.696;596;0.814;0.629;0.658;3540853
Pradópolis;2010;0.733;362;0.822;0.65;0.738;3540903
Praia Grande;2010;0.754;199;0.834;0.692;0.744;3541000
Pratânia;2010;0.701;578;0.798;0.633;0.681;3541059
Presidente Alves;2010;0.735;345;0.811;0.689;0.711;3541109
Presidente Bernardes;2010;0.757;182;0.839;0.719;0.718;3541208
Presidente Epitácio;2010;0.75;232;0.845;0.7;0.714;3541307
Presidente Prudente;2010;0.806;13;0.858;0.774;0.788;3541406
Presidente Venceslau;2010;0.763;145;0.837;0.708;0.749;3541505
Promissão;2010;0.743;283;0.85;0.666;0.724;3541604
Quadra;2010;0.678;625;0.822;0.541;0.7;3541653
Quatá;2010;0.738;321;0.814;0.7;0.706;3541703
Queiroz;2010;0.715;502;0.811;0.681;0.662;3541802
Queluz;2010;0.722;452;0.823;0.687;0.665;3541901
Quintana;2010;0.732;370;0.811;0.703;0.689;3542008
Rafard;2010;0.745;265;0.823;0.696;0.722;3542107
Rancharia;2010;0.751;219;0.861;0.683;0.72;3542206
Redenção da Serra;2010;0.657;641;0.799;0.56;0.633;3542305
Regente Feijó;2010;0.768;121;0.818;0.752;0.735;3542404
Reginópolis;2010;0.728;409;0.817;0.66;0.715;3542503
Registro;2010;0.754;199;0.851;0.702;0.718;3542602
Restinga;2010;0.705;554;0.826;0.639;0.664;3542701
Ribeira;2010;0.698;589;0.797;0.673;0.635;3542800
Ribeirão Bonito;2010;0.712;522;0.811;0.625;0.712;3542909
Ribeirão Branco;2010;0.639;645;0.797;0.553;0.592;3543006
Ribeirão Corrente;2010;0.711;528;0.814;0.642;0.688;3543105
Ribeirão do Sul;2010;0.747;252;0.818;0.676;0.753;3543204
Ribeirão dos Índios;2010;0.721;460;0.809;0.701;0.661;3543238
Ribeirão Grande;2010;0.705;554;0.807;0.676;0.643;3543253
Ribeirão Pires;2010;0.784;55;0.847;0.76;0.749;3543303
Ribeirão Preto;2010;0.8;22;0.844;0.739;0.82;3543402
Rifaina;2010;0.74;306;0.824;0.69;0.713;3543600
Rincão;2010;0.734;356;0.826;0.682;0.701;3543709
Rinópolis;2010;0.723;446;0.843;0.644;0.696;3543808
Rio Claro;2010;0.803;19;0.862;0.766;0.784;3543907
Rio das Pedras;2010;0.759;169;0.842;0.7;0.741;3544004
Rio Grande da Serra;2010;0.749;236;0.823;0.745;0.684;3544103
Riolândia;2010;0.703;565;0.817;0.629;0.677;3544202
Riversul;2010;0.664;637;0.799;0.577;0.634;3543501
Rosana;2010;0.764;142;0.818;0.728;0.749;3544251
Roseira;2010;0.737;330;0.823;0.704;0.691;3544301
Rubiácea;2010;0.721;460;0.82;0.668;0.684;3544400
Rubinéia;2010;0.759;169;0.844;0.726;0.713;3544509
Sabino;2010;0.728;409;0.813;0.671;0.708;3544608
Sagres;2010;0.73;388;0.83;0.677;0.692;3544707
Sales;2010;0.751;219;0.859;0.697;0.708;3544806
Sales Oliveira;2010;0.772;103;0.845;0.739;0.738;3544905
Salesópolis;2010;0.732;370;0.829;0.69;0.687;3545001
Salmourão;2010;0.719;476;0.846;0.649;0.678;3545100
Saltinho;2010;0.791;33;0.857;0.75;0.771;3545159
Salto;2010;0.78;66;0.837;0.751;0.755;3545209
Salto de Pirapora;2010;0.729;400;0.834;0.665;0.699;3545308
Salto Grande;2010;0.704;560;0.825;0.637;0.664;3545407
Sandovalina;2010;0.709;542;0.812;0.659;0.665;3545506
Santa Adélia;2010;0.76;164;0.835;0.702;0.75;3545605
Santa Albertina;2010;0.728;409;0.809;0.665;0.716;3545704
Santa Bárbara d'Oeste;2010;0.781;62;0.867;0.731;0.752;3545803
Santa Branca;2010;0.735;345;0.828;0.678;0.706;3546009
Santa Clara d'Oeste;2010;0.733;362;0.804;0.687;0.712;3546108
Santa Cruz da Conceição;2010;0.79;35;0.876;0.679;0.83;3546207
Santa Cruz da Esperança;2010;0.743;283;0.832;0.686;0.719;3546256
Santa Cruz das Palmeiras;2010;0.728;409;0.815;0.635;0.746;3546306
Santa Cruz do Rio Pardo;2010;0.762;151;0.867;0.686;0.744;3546405
Santa Ernestina;2010;0.738;321;0.802;0.699;0.716;3546504
Santa Fé do Sul;2010;0.784;55;0.84;0.751;0.763;3546603
Santa Gertrudes;2010;0.737;330;0.847;0.654;0.723;3546702
Santa Isabel;2010;0.738;321;0.834;0.689;0.7;3546801
Santa Lúcia;2010;0.737;330;0.818;0.703;0.696;3546900
Santa Maria da Serra;2010;0.686;614;0.82;0.571;0.688;3547007
Santa Mercedes;2010;0.739;314;0.847;0.699;0.683;3547106
Santa Rita d'Oeste;2010;0.761;160;0.839;0.74;0.711;3547403
Santa Rita do Passa Quatro;2010;0.775;90;0.887;0.686;0.764;3547502
Santa Rosa de Viterbo;2010;0.77;110;0.868;0.704;0.746;3547601
Santa Salete;2010;0.772;103;0.864;0.748;0.712;3547650
Santana da Ponte Pensa;2010;0.773;96;0.84;0.733;0.751;3547205
Santana de Parnaíba;2010;0.814;9;0.849;0.725;0.876;3547304
Santo Anastácio;2010;0.753;207;0.854;0.689;0.725;3547700
Santo André;2010;0.815;7;0.861;0.769;0.819;3547809
Santo Antônio da Alegria;2010;0.702;574;0.83;0.604;0.69;3547908
Santo Antônio de Posse;2010;0.702;574;0.838;0.576;0.718;3548005
Santo Antônio do Aracanguá;2010;0.757;182;0.84;0.728;0.71;3548054
Santo Antônio do Jardim;2010;0.714;509;0.835;0.62;0.703;3548104
Santo Antônio do Pinhal;2010;0.706;550;0.812;0.632;0.685;3548203
Santo Expedito;2010;0.732;370;0.828;0.714;0.664;3548302
Santópolis do Aguapeí;2010;0.74;306;0.83;0.719;0.68;3548401
Santos;2010;0.84;3;0.852;0.807;0.861;3548500
São Bento do Sapucaí;2010;0.72;469;0.812;0.638;0.719;3548609
São Bernardo do Campo;2010;0.805;14;0.861;0.752;0.807;3548708
São Caetano do Sul;2010;0.862;1;0.887;0.811;0.891;3548807
São Carlos;2010;0.805;14;0.863;0.766;0.788;3548906
São Francisco;2010;0.723;446;0.814;0.658;0.705;3549003
São João da Boa Vista;2010;0.797;28;0.871;0.749;0.776;3549102
São João das Duas Pontes;2010;0.72;469;0.806;0.686;0.675;3549201
São João de Iracema;2010;0.748;248;0.833;0.738;0.682;3549250
São João do Pau d'Alho;2010;0.75;232;0.854;0.692;0.714;3549300
São Joaquim da Barra;2010;0.762;151;0.847;0.706;0.74;3549409
São José da Bela Vista;2010;0.693;603;0.844;0.58;0.679;3549508
São José do Barreiro;2010;0.684;617;0.813;0.591;0.666;3549607
São José do Rio Pardo;2010;0.774;92;0.868;0.717;0.744;3549706
São José do Rio Preto;2010;0.797;28;0.846;0.748;0.801;3549805
São José dos Campos;2010;0.807;12;0.855;0.764;0.804;3549904
São Lourenço da Serra;2010;0.728;409;0.823;0.666;0.704;3549953
São Luiz do Paraitinga;2010;0.697;590;0.826;0.593;0.691;3550001
São Manuel;2010;0.744;274;0.805;0.695;0.735;3550100
São Miguel Arcanjo;2010;0.71;534;0.799;0.633;0.708;3550209
São Paulo;2010;0.805;14;0.855;0.725;0.843;3550308
São Pedro;2010;0.755;195;0.863;0.674;0.741;3550407
São Pedro do Turvo;2010;0.703;565;0.826;0.636;0.661;3550506
São Roque;2010;0.768;121;0.863;0.687;0.765;3550605
São Sebastião;2010;0.772;103;0.875;0.703;0.747;3550704
São Sebastião da Grama;2010;0.701;578;0.82;0.609;0.689;3550803
São Simão;2010;0.766;131;0.852;0.722;0.732;3550902
São Vicente;2010;0.768;121;0.857;0.716;0.738;3551009
Sarapuí;2010;0.707;548;0.814;0.621;0.699;3551108
Sarutaiá;2010;0.688;610;0.794;0.603;0.679;3551207
Sebastianópolis do Sul;2010;0.773;96;0.835;0.74;0.748;3551306
Serra Azul;2010;0.686;614;0.81;0.572;0.697;3551405
Serra Negra;2010;0.767;127;0.873;0.676;0.764;3551603
Serrana;2010;0.729;400;0.835;0.65;0.713;3551504
Sertãozinho;2010;0.761;160;0.855;0.672;0.768;3551702
Sete Barras;2010;0.673;633;0.832;0.562;0.651;3551801
Severínia;2010;0.715;502;0.807;0.638;0.709;3551900
Silveiras;2010;0.678;625;0.812;0.584;0.657;3552007
Socorro;2010;0.729;400;0.828;0.634;0.737;3552106
Sorocaba;2010;0.798;25;0.843;0.762;0.792;3552205
Sud Mennucci;2010;0.747;252;0.809;0.694;0.743;3552304
Sumaré;2010;0.762;151;0.845;0.705;0.744;3552403
Suzanápolis;2010;0.699;584;0.813;0.631;0.665;3552551
Suzano;2010;0.765;138;0.873;0.723;0.708;3552502
Tabapuã;2010;0.735;345;0.82;0.666;0.726;3552601
Tabatinga;2010;0.704;560;0.818;0.609;0.7;3552700
Taboão da Serra;2010;0.769;115;0.863;0.71;0.742;3552809
Taciba;2010;0.723;446;0.809;0.684;0.682;3552908
Taguaí;2010;0.709;542;0.818;0.631;0.69;3553005
Taiaçu;2010;0.71;534;0.814;0.628;0.701;3553104
Taiúva;2010;0.76;164;0.835;0.718;0.732;3553203
Tambaú;2010;0.731;381;0.858;0.624;0.729;3553302
Tanabi;2010;0.748;248;0.829;0.687;0.735;3553401
Tapiraí;2010;0.681;619;0.846;0.578;0.647;3553500
Tapiratiba;2010;0.751;219;0.87;0.692;0.703;3553609
Taquaral;2010;0.759;169;0.823;0.716;0.742;3553658
Taquaritinga;2010;0.748;248;0.827;0.696;0.727;3553708
Taquarituba;2010;0.701;578;0.811;0.606;0.7;3553807
Taquarivaí;2010;0.679;624;0.811;0.626;0.617;3553856
Tarabai;2010;0.726;426;0.823;0.697;0.666;3553906
Tarumã;2010;0.753;207;0.852;0.68;0.738;3553955
Tatuí;2010;0.752;216;0.842;0.688;0.734;3554003
Taubaté;2010;0.8;22;0.883;0.746;0.778;3554102
Tejupá;2010;0.668;635;0.794;0.563;0.668;3554201
Teodoro Sampaio;2010;0.741;297;0.856;0.679;0.699;3554300
Terra Roxa;2010;0.749;236;0.838;0.684;0.732;3554409
Tietê;2010;0.778;75;0.884;0.698;0.764;3554508
Timburi;2010;0.71;534;0.826;0.629;0.688;3554607
Torre de Pedra;2010;0.714;509;0.829;0.647;0.679;3554656
Torrinha;2010;0.744;274;0.852;0.658;0.734;3554706
Trabiju;2010;0.722;452;0.811;0.697;0.666;3554755
Tremembé;2010;0.785;50;0.873;0.72;0.769;3554805
Três Fronteiras;2010;0.753;207;0.829;0.726;0.71;3554904
Tuiuti;2010;0.728;409;0.871;0.63;0.702;3554953
Tupã;2010;0.771;107;0.852;0.704;0.764;3555000
Tupi Paulista;2010;0.769;115;0.835;0.715;0.762;3555109
Turiúba;2010;0.751;219;0.824;0.721;0.713;3555208
Turmalina;2010;0.736;339;0.817;0.675;0.724;3555307
Ubarana;2010;0.7;581;0.844;0.604;0.672;3555356
Ubatuba;2010;0.751;219;0.841;0.679;0.741;3555406
Ubirajara;2010;0.727;418;0.829;0.674;0.689;3555505
Uchoa;2010;0.721;460;0.823;0.644;0.708;3555604
União Paulista;2010;0.749;236;0.863;0.699;0.697;3555703
Urânia;2010;0.746;260;0.804;0.709;0.727;3555802
Uru;2010;0.712;522;0.832;0.639;0.678;3555901
Urupês;2010;0.745;265;0.817;0.683;0.741;3556008
Valentim Gentil;2010;0.735;345;0.81;0.692;0.708;3556107
Valinhos;2010;0.819;5;0.85;0.763;0.848;3556206
Valparaíso;2010;0.725;430;0.825;0.643;0.719;3556305
Vargem;2010;0.699;584;0.839;0.591;0.69;3556354
Vargem Grande do Sul;2010;0.737;330;0.863;0.643;0.721;3556404
Vargem Grande Paulista;2010;0.77;110;0.884;0.683;0.755;3556453
Várzea Paulista;2010;0.759;169;0.863;0.705;0.72;3556503
Vera Cruz;2010;0.754;199;0.83;0.715;0.722;3556602
Vinhedo;2010;0.817;6;0.878;0.739;0.84;3556701
Viradouro;2010;0.739;314;0.823;0.683;0.717;3556800
Vista Alegre do Alto;2010;0.744;274;0.84;0.676;0.726;3556909
Vitória Brasil;2010;0.725;430;0.811;0.685;0.686;3556958
Votorantim;2010;0.767;127;0.838;0.747;0.72;3557006
Votuporanga;2010;0.79;35;0.857;0.744;0.772;3557105
Zacarias;2010;0.729;400;0.826;0.674;0.695;3557154
