Localidades;Períodos;Índice de Desenvolvimento Humano Municipal  IDHM ;Índice de Desenvolvimento Humano Municipal  IDHM  Ranking dos Municípios ;Índice de Desenvolvimento Humano Municipal  IDHM Longevidade ;Índice de Desenvolvimento Humano Municipal  IDHM Educação ;Índice de Desenvolvimento Humano Municipal  IDHM Renda ;Cód. IBGE
Cabreúva;2010;0.738;321;0.828;0.678;0.717;3508405
Cachoeira Paulista;2010;0.764;142;0.837;0.728;0.733;3508603
Caconde;2010;0.72;469;0.858;0.62;0.701;3508702
Cafelândia;2010;0.742;290;0.867;0.661;0.714;3508801
Caiabu;2010;0.729;400;0.823;0.691;0.682;3508900
Caieiras;2010;0.781;62;0.861;0.749;0.74;3509007
Caiuá;2010;0.697;590;0.802;0.635;0.665;3509106
Cajamar;2010;0.728;409;0.81;0.668;0.713;3509205
Cajati;2010;0.694;601;0.832;0.611;0.658;3509254
Cajobi;2010;0.734;356;0.822;0.674;0.714;3509304
Cajuru;2010;0.713;515;0.825;0.633;0.693;3509403
Campina do Monte Alegre;2010;0.717;494;0.846;0.634;0.687;3509452
Campinas;2010;0.805;14;0.86;0.731;0.829;3509502
Campo Limpo Paulista;2010;0.769;115;0.84;0.739;0.733;3509601
Campos do Jordão;2010;0.749;236;0.852;0.648;0.761;3509700
Campos Novos Paulista;2010;0.706;550;0.824;0.638;0.67;3509809
Cananéia;2010;0.72;469;0.851;0.649;0.677;3509908
Canas;2010;0.704;560;0.797;0.677;0.646;3509957
Cândido Mota;2010;0.747;252;0.845;0.704;0.701;3510005
Cândido Rodrigues;2010;0.789;38;0.863;0.762;0.747;3510104
Canitar;2010;0.68;621;0.791;0.605;0.658;3510153
Capão Bonito;2010;0.721;460;0.826;0.671;0.675;3510203
Capela do Alto;2010;0.699;584;0.823;0.617;0.673;3510302
Capivari;2010;0.75;232;0.848;0.669;0.744;3510401
Caraguatatuba;2010;0.759;169;0.845;0.705;0.735;3510500
Carapicuíba;2010;0.749;236;0.842;0.693;0.721;3510609
Cardoso;2010;0.722;452;0.853;0.636;0.695;3510708
Casa Branca;2010;0.73;388;0.835;0.64;0.727;3510807
Cássia dos Coqueiros;2010;0.734;356;0.864;0.673;0.68;3510906
Castilho;2010;0.731;381;0.827;0.686;0.688;3511003
Catanduva;2010;0.785;50;0.853;0.74;0.767;3511102
Catiguá;2010;0.751;219;0.852;0.676;0.734;3511201
Caçapava;2010;0.788;40;0.858;0.755;0.754;3508504
Cedral;2010;0.766;131;0.872;0.689;0.749;3511300
Cerqueira César;2010;0.729;400;0.821;0.666;0.71;3511409
Cerquilho;2010;0.782;61;0.854;0.739;0.758;3511508
Cesário Lange;2010;0.706;550;0.804;0.611;0.715;3511607
Charqueada;2010;0.736;339;0.82;0.675;0.72;3511706
Chavantes;2010;0.729;400;0.828;0.655;0.713;3557204
Clementina;2010;0.725;430;0.821;0.66;0.704;3511904
Colina;2010;0.757;182;0.845;0.712;0.72;3512001
Colômbia;2010;0.71;534;0.802;0.647;0.689;3512100
Conchal;2010;0.708;546;0.827;0.614;0.699;3512209
Conchas;2010;0.736;339;0.837;0.658;0.725;3512308
Cordeirópolis;2010;0.758;177;0.858;0.674;0.754;3512407
Coroados;2010;0.719;476;0.816;0.648;0.704;3512506
Coronel Macedo;2010;0.69;608;0.811;0.619;0.653;3512605
Corumbataí;2010;0.754;199;0.841;0.7;0.728;3512704
Cosmópolis;2010;0.769;115;0.876;0.697;0.746;3512803
Cosmorama;2010;0.722;452;0.849;0.63;0.705;3512902
Cotia;2010;0.78;66;0.851;0.707;0.789;3513009
Cravinhos;2010;0.756;188;0.857;0.683;0.737;3513108
Cristais Paulista;2010;0.734;356;0.802;0.682;0.723;3513207
Cruzália;2010;0.774;92;0.853;0.778;0.698;3513306
Cruzeiro;2010;0.788;40;0.871;0.758;0.742;3513405
Cubatão;2010;0.737;330;0.821;0.681;0.716;3513504
Cunha;2010;0.684;617;0.826;0.576;0.672;3513603
Descalvado;2010;0.76;164;0.865;0.687;0.74;3513702
Diadema;2010;0.757;182;0.844;0.716;0.717;3513801
Dirce Reis;2010;0.741;297;0.842;0.704;0.686;3513850
Divinolândia;2010;0.734;356;0.85;0.645;0.72;3513900
Dobrada;2010;0.718;489;0.818;0.655;0.691;3514007
Dois Córregos;2010;0.725;430;0.853;0.616;0.725;3514106
Dolcinópolis;2010;0.742;290;0.825;0.709;0.699;3514205
Dourado;2010;0.738;321;0.811;0.689;0.718;3514304
Dracena;2010;0.776;83;0.842;0.737;0.752;3514403
Duartina;2010;0.748;248;0.837;0.698;0.716;3514502
Dumont;2010;0.744;274;0.849;0.674;0.72;3514601
Echaporã;2010;0.745;265;0.834;0.69;0.719;3514700
Eldorado;2010;0.691;607;0.847;0.615;0.633;3514809
Elias Fausto;2010;0.695;599;0.822;0.583;0.701;3514908
Elisiário;2010;0.747;252;0.825;0.712;0.711;3514924
Embaúba;2010;0.73;388;0.84;0.641;0.723;3514957
Embu das Artes;2010;0.735;345;0.839;0.676;0.7;3515004
EmbuGuaçu;2010;0.749;236;0.834;0.708;0.713;3515103
Emilianópolis;2010;0.727;418;0.805;0.691;0.69;3515129
Engenheiro Coelho;2010;0.732;370;0.815;0.668;0.72;3515152
Espírito Santo do Pinhal;2010;0.787;46;0.872;0.712;0.784;3515186
Espírito Santo do Turvo;2010;0.696;596;0.819;0.609;0.675;3515194
Estiva Gerbi;2010;0.74;306;0.815;0.695;0.716;3557303
Estrela d'Oeste;2010;0.76;164;0.873;0.705;0.712;3515202
Estrela do Norte;2010;0.74;306;0.818;0.714;0.693;3515301
Euclides da Cunha Paulista;2010;0.704;560;0.802;0.655;0.663;3515350
Fartura;2010;0.732;370;0.867;0.648;0.699;3515400
Fernando Prestes;2010;0.758;177;0.859;0.68;0.746;3515608
Fernandópolis;2010;0.797;28;0.872;0.758;0.767;3515509
Fernão;2010;0.703;565;0.843;0.617;0.668;3515657
Ferraz de Vasconcelos;2010;0.738;321;0.828;0.703;0.691;3515707
Flora Rica;2010;0.727;418;0.796;0.723;0.668;3515806
Floreal;2010;0.747;252;0.808;0.726;0.71;3515905
Flórida Paulista;2010;0.715;502;0.807;0.646;0.702;3516002
Florínea;2010;0.713;515;0.82;0.652;0.678;3516101
Franca;2010;0.78;66;0.842;0.753;0.749;3516200
Francisco Morato;2010;0.703;565;0.815;0.647;0.659;3516309
Franco da Rocha;2010;0.731;381;0.852;0.654;0.702;3516408
Gabriel Monteiro;2010;0.763;145;0.809;0.762;0.721;3516507
