"Localidades";"Períodos";"PIB (Em mil reais correntes)";"PIB per Capita (Em reais correntes)";"Participação no PIB do Estado (Em %)";"Cód. IBGE"
"Pacaembu";"2018";"304395,07";"23254,02";"0,01377";3534906
"Palestina";"2018";"305218,28";"25515,66";"0,013807";3535002
"Palmares Paulista";"2018";"122434,26";"9721,63";"0,005539";3535101
"Palmeira d'Oeste";"2018";"187609,36";"20385,67";"0,008487";3535200
"Palmital";"2018";"685806,51";"31863,89";"0,031024";3535309
"Panorama";"2018";"264017,66";"17510,12";"0,011943";3535408
"Paraguaçu Paulista";"2018";"1536032,6";"35059,63";"0,069486";3535507
"Paraibuna";"2018";"278815,3";"15438,28";"0,012613";3535606
"Paraíso";"2018";"221722,35";"35750,14";"0,01003";3535705
"Paranapanema";"2018";"623747,45";"31959,19";"0,028217";3535804
"Paranapuã";"2018";"111618,98";"28775,19";"0,005049";3535903
"Parapuã";"2018";"352665,67";"33367,93";"0,015954";3536000
"Pardinho";"2018";"301811,35";"48475,96";"0,013653";3536109
"Pariquera-Açu";"2018";"507383,67";"26572,94";"0,022953";3536208
"Parisi";"2018";"66841,6";"32573,88";"0,003024";3536257
"Patrocínio Paulista";"2018";"883248,57";"62314,7";"0,039956";3536307
"Paulicéia";"2018";"150610,29";"21552,7";"0,006813";3536406
"Paulínia";"2018";"32690878,46";"323944,69";"1,478849";3536505
"Paulistânia";"2018";"41093,47";"23190,44";"0,001859";3536570
"Paulo de Faria";"2018";"268887,32";"31529,94";"0,012164";3536604
"Pederneiras";"2018";"2193730,23";"48994,53";"0,099239";3536703
"Pedra Bela";"2018";"83726,43";"14119,13";"0,003788";3536802
"Pedranópolis";"2018";"64385,48";"26333,53";"0,002913";3536901
"Pedregulho";"2018";"874136,89";"54069,21";"0,039544";3537008
"Pedreira";"2018";"1253721,16";"27483,04";"0,056715";3537107
"Pedrinhas Paulista";"2018";"136865,67";"45667,56";"0,006191";3537156
"Pedro de Toledo";"2018";"143730,4";"13291,14";"0,006502";3537206
"Penápolis";"2018";"1664176,58";"27569,94";"0,075283";3537305
"Pereira Barreto";"2018";"758340,54";"29957,36";"0,034305";3537404
"Pereiras";"2018";"205054,68";"24885,28";"0,009276";3537503
"Peruíbe";"2018";"1522403,73";"23460,58";"0,06887";3537602
"Piacatu";"2018";"91781,35";"15901,13";"0,004152";3537701
"Piedade";"2018";"1208662,61";"22706,42";"0,054677";3537800
"Pilar do Sul";"2018";"676867,03";"24289,2";"0,03062";3537909
"Pindamonhangaba";"2018";"8616941,94";"53686,1";"0,389808";3538006
"Pindorama";"2018";"372673,12";"23220,96";"0,016859";3538105
"Pinhalzinho";"2018";"262499,36";"18187,44";"0,011875";3538204
"Piquerobi";"2018";"55604,56";"15734,17";"0,002515";3538303
"Piquete";"2018";"164538,95";"11994,38";"0,007443";3538501
"Piracaia";"2018";"476055,05";"18276,07";"0,021535";3538600
"Piracicaba";"2018";"26421071,96";"68598,54";"1,19522";3538709
"Piraju";"2018";"741638,84";"25957,75";"0,03355";3538808
"Pirajuí";"2018";"472402,7";"20363,06";"0,02137";3538907
"Pirangi";"2018";"332787,39";"30836,49";"0,015054";3539004
"Pirapora do Bom Jesus";"2018";"457428,74";"25150,03";"0,020693";3539103
"Pirapozinho";"2018";"950942,9";"35603,84";"0,043018";3539202
"Pirassununga";"2018";"2791616,99";"38227,19";"0,126285";3539301
"Piratininga";"2018";"235384,52";"18124,63";"0,010648";3539400
"Pitangueiras";"2018";"1064537,37";"28062,88";"0,048157";3539509
"Planalto";"2018";"155859,26";"30979,78";"0,007051";3539608
"Platina";"2018";"94367,66";"27440,44";"0,004269";3539707
"Poá";"2018";"4660371,28";"40981,47";"0,210823";3539806
"Poloni";"2018";"132003,48";"23509,08";"0,005971";3539905
"Pompéia";"2018";"1244454,99";"59183,67";"0,056296";3540002
"Pongaí";"2018";"81246,32";"24123,02";"0,003675";3540101
"Pontal";"2018";"1165982,76";"24464,09";"0,052746";3540200
"Pontalinda";"2018";"77905,48";"17669,65";"0,003524";3540259
"Pontes Gestal";"2018";"156073,34";"61835,71";"0,00706";3540309
"Populina";"2018";"96206,18";"23831,11";"0,004352";3540408
"Porangaba";"2018";"176281,62";"19324,89";"0,007975";3540507
"Porto Feliz";"2018";"2599839,47";"50828,74";"0,11761";3540606
"Porto Ferreira";"2018";"2051153,36";"38262,79";"0,092789";3540705
"Potim";"2018";"217418,06";"10640,01";"0,009835";3540754
"Potirendaba";"2018";"515159,49";"31416";"0,023304";3540804
"Pracinha";"2018";"32788,47";"11310,27";"0,001483";3540853
"Pradópolis";"2018";"865026,41";"42721,57";"0,039132";3540903
"Praia Grande";"2018";"7041818,49";"22996,92";"0,318553";3541000
"Pratânia";"2018";"131212,91";"26034,31";"0,005936";3541059
"Presidente Alves";"2018";"73374,05";"18179,89";"0,003319";3541109
"Presidente Bernardes";"2018";"270320,3";"19731,41";"0,012229";3541208
"Presidente Epitácio";"2018";"852134,75";"20205,22";"0,038548";3541307
"Presidente Prudente";"2018";"7994539,21";"36580,91";"0,361652";3541406
"Presidente Venceslau";"2018";"716510,51";"18855,54";"0,032413";3541505
"Promissão";"2018";"1626226,28";"41834,34";"0,073566";3541604
"Quadra";"2018";"99055,59";"27393,69";"0,004481";3541653
"Quatá";"2018";"460246,49";"33570,13";"0,02082";3541703
"Queiroz";"2018";"325972,98";"102410,61";"0,014746";3541802
"Queluz";"2018";"336306,63";"27112,76";"0,015214";3541901
"Quintana";"2018";"172981,36";"27015,67";"0,007825";3542008
"Rafard";"2018";"322054";"36214,33";"0,014569";3542107
"Rancharia";"2018";"1105058,95";"38332,83";"0,04999";3542206
"Redenção da Serra";"2018";"53183,15";"13846,17";"0,002406";3542305
"Regente Feijó";"2018";"710647,43";"36824,93";"0,032148";3542404
"Reginópolis";"2018";"145013,12";"20051,59";"0,00656";3542503
"Registro";"2018";"1966592,56";"36328,9";"0,088963";3542602
"Restinga";"2018";"166037,14";"22716,81";"0,007511";3542701
"Ribeira";"2018";"48124,65";"14775,76";"0,002177";3542800
"Ribeirão Bonito";"2018";"256182,28";"20028,32";"0,011589";3542909
"Ribeirão Branco";"2018";"299912,13";"16934,62";"0,013567";3543006
"Ribeirão Corrente";"2018";"110251,97";"24035,75";"0,004988";3543105
"Ribeirão do Sul";"2018";"151669,65";"34699,07";"0,006861";3543204
"Ribeirão dos Índios";"2018";"35699,04";"16619,67";"0,001615";3543238
"Ribeirão Grande";"2018";"266723,95";"35596,42";"0,012066";3543253
"Ribeirão Pires";"2018";"3042929,85";"25805,69";"0,137654";3543303
"Ribeirão Preto";"2018";"34327543,84";"51297,92";"1,552888";3543402
"Rifaina";"2018";"120313,57";"34772,71";"0,005443";3543600
"Rincão";"2018";"196051,53";"18714,35";"0,008869";3543709
"Rinópolis";"2018";"254726,24";"26107,02";"0,011523";3543808
"Rio Claro";"2018";"9799855,55";"49411,87";"0,44332";3543907
"Rio das Pedras";"2018";"1391174,78";"41536,28";"0,062933";3544004
"Rio Grande da Serra";"2018";"566839,05";"11651,85";"0,025642";3544103
"Riolândia";"2018";"252068,61";"22394,16";"0,011403";3544202
"Riversul";"2018";"69244,69";"11982,12";"0,003132";3543501
"Rosana";"2018";"1195602,74";"64321,21";"0,054086";3544251
"Roseira";"2018";"293642,49";"28129,37";"0,013284";3544301
"Rubiácea";"2018";"62783,29";"20693,24";"0,00284";3544400
"Rubinéia";"2018";"78016,62";"26294,78";"0,003529";3544509
"Sabino";"2018";"118224,77";"21804,64";"0,005348";3544608
"Sagres";"2018";"37624,09";"15922,17";"0,001702";3544707
"Sales";"2018";"142933,54";"24054,79";"0,006466";3544806
"Sales Oliveira";"2018";"346048,08";"30510,32";"0,015654";3544905
"Salesópolis";"2018";"202551,97";"12209,28";"0,009163";3545001
"Salmourão";"2018";"71637,75";"14177,27";"0,003241";3545100
"Saltinho";"2018";"245300,04";"31770,5";"0,011097";3545159
"Salto";"2018";"7310873,85";"64460,69";"0,330725";3545209
"Salto de Pirapora";"2018";"1687820,11";"38860,32";"0,076353";3545308
"Salto Grande";"2018";"222060,3";"24594,12";"0,010045";3545407
"Sandovalina";"2018";"382983,14";"93228,61";"0,017325";3545506
"Santa Adélia";"2018";"307032,78";"20763,7";"0,013889";3545605
"Santa Albertina";"2018";"183039,65";"32196,95";"0,00828";3545704
"Santa Bárbara d'Oeste";"2018";"5929775,84";"31691,56";"0,268247";3545803
"Santa Branca";"2018";"244456,95";"17338,6";"0,011059";3546009
"Santa Clara d'Oeste";"2018";"68152,63";"33672,25";"0,003083";3546108
"Santa Cruz da Conceição";"2018";"123662,31";"28893,06";"0,005594";3546207
"Santa Cruz da Esperança";"2018";"51633,56";"25138,05";"0,002336";3546256
"Santa Cruz das Palmeiras";"2018";"500272,78";"15165,76";"0,022631";3546306
"Santa Cruz do Rio Pardo";"2018";"2033565,53";"44526,41";"0,091993";3546405
"Santa Ernestina";"2018";"92793,33";"16773,92";"0,004198";3546504
"Santa Fé do Sul";"2018";"1084779,85";"35563,05";"0,049073";3546603
"Santa Gertrudes";"2018";"1769004,01";"70015,2";"0,080025";3546702
"Santa Isabel";"2018";"1576127,3";"29084,67";"0,0713";3546801
"Santa Lúcia";"2018";"114834,71";"13505,2";"0,005195";3546900
"Santa Maria da Serra";"2018";"133599,02";"22296,23";"0,006044";3547007
"Santa Mercedes";"2018";"66453,47";"23615,31";"0,003006";3547106
"Santa Rita d'Oeste";"2018";"63517,35";"26117,33";"0,002873";3547403
"Santa Rita do Passa Quatro";"2018";"663992,23";"25143,6";"0,030037";3547502
"Santa Rosa de Viterbo";"2018";"695918,63";"27545,86";"0,031482";3547601
"Santa Salete";"2018";"35974,14";"24930,1";"0,001627";3547650
"Santana da Ponte Pensa";"2018";"35446,49";"23137,4";"0,001604";3547205
"Santana de Parnaíba";"2018";"9235462,66";"69798,01";"0,417788";3547304
"Santo Anastácio";"2018";"412908,13";"20462,27";"0,018679";3547700
"Santo André";"2018";"28994685,62";"41987,75";"1,311643";3547809
"Santo Antônio da Alegria";"2018";"130398,47";"19841,52";"0,005899";3547908
"Santo Antônio de Posse";"2018";"1128394,99";"50320,86";"0,051046";3548005
"Santo Antônio do Aracanguá";"2018";"207426,59";"25498,04";"0,009383";3548054
"Santo Antônio do Jardim";"2018";"151034,46";"25853,21";"0,006832";3548104
"Santo Antônio do Pinhal";"2018";"110461,8";"16746,79";"0,004997";3548203
"Santo Expedito";"2018";"38183,04";"12991,85";"0,001727";3548302
"Santópolis do Aguapeí";"2018";"70361,96";"15319,39";"0,003183";3548401
"Santos";"2018";"22476976,43";"52682,97";"1,016799";3548500
"São Bento do Sapucaí";"2018";"203399,84";"19352,98";"0,009201";3548609
"São Bernardo do Campo";"2018";"50568693,34";"62914,3";"2,287594";3548708
"São Caetano do Sul";"2018";"13440728,41";"89018,52";"0,608023";3548807
"São Carlos";"2018";"11173000,34";"46781,45";"0,505437";3548906
"São Francisco";"2018";"47830,17";"17714,88";"0,002164";3549003
"São João da Boa Vista";"2018";"3129019,37";"36098,93";"0,141549";3549102
"São João das Duas Pontes";"2018";"44379,8";"17808,91";"0,002008";3549201
"São João de Iracema";"2018";"33837,87";"18410,16";"0,001531";3549250
"São João do Pau d'Alho";"2018";"46223,36";"23054,04";"0,002091";3549300
"São Joaquim da Barra";"2018";"1698323,28";"34261,8";"0,076828";3549409
"São José da Bela Vista";"2018";"162060,23";"18717,97";"0,007331";3549508
"São José do Barreiro";"2018";"52973,52";"13018,81";"0,002396";3549607
"São José do Rio Pardo";"2018";"1819622,72";"34358,44";"0,082315";3549706
"São José do Rio Preto";"2018";"17542485,09";"39797,29";"0,793576";3549805
"São José dos Campos";"2018";"39697500,5";"57105,31";"1,79581";3549904
"São Lourenço da Serra";"2018";"208682,83";"13687,71";"0,00944";3549953
"São Luiz do Paraitinga";"2018";"164479,85";"15618,64";"0,007441";3550001
"São Manuel";"2018";"1205346,2";"30650,11";"0,054527";3550100
"São Miguel Arcanjo";"2018";"681072,17";"21368,98";"0,03081";3550209
"São Paulo";"2018";"714683362,46";"60805,18";"32,330393";3550308
"São Pedro";"2018";"752865,72";"22323,67";"0,034058";3550407
"São Pedro do Turvo";"2018";"182002,32";"24833,17";"0,008233";3550506
"São Roque";"2018";"2971649,83";"34616,86";"0,13443";3550605
"São Sebastião";"2018";"3781838,9";"44718,97";"0,17108";3550704
"São Sebastião da Grama";"2018";"285430,92";"23881,44";"0,012912";3550803
"São Simão";"2018";"443202,65";"30063,94";"0,020049";3550902
"São Vicente";"2018";"5450049,3";"15448,25";"0,246546";3551009
"Sarapuí";"2018";"145420,98";"14703,84";"0,006578";3551108
"Sarutaiá";"2018";"61527,77";"16907,88";"0,002783";3551207
"Sebastianópolis do Sul";"2018";"247150,24";"76046,23";"0,01118";3551306
"Serra Azul";"2018";"154219,15";"12777,06";"0,006976";3551405
"Serra Negra";"2018";"722441,5";"26506,75";"0,032681";3551603
"Serrana";"2018";"920681,26";"21237,34";"0,041649";3551504
"Sertãozinho";"2018";"5496320,81";"45758,44";"0,248639";3551702
"Sete Barras";"2018";"370553,61";"29283,52";"0,016763";3551801
"Severínia";"2018";"231724,41";"13788,2";"0,010483";3551900
"Silveiras";"2018";"73199,35";"11958,72";"0,003311";3552007
"Socorro";"2018";"860930,28";"22415,97";"0,038946";3552106
"Sorocaba";"2018";"35015188,39";"54337,91";"1,583995";3552205
"Sud Mennucci";"2018";"167218,44";"21818,69";"0,007565";3552304
"Sumaré";"2018";"14438898,03";"52477,03";"0,653178";3552403
"Suzanápolis";"2018";"250973,29";"65323,61";"0,011353";3552551
"Suzano";"2018";"11147866,01";"39080,08";"0,5043";3552502
"Tabapuã";"2018";"235132,92";"19921,45";"0,010637";3552601
"Tabatinga";"2018";"253152,26";"16167,6";"0,011452";3552700
"Taboão da Serra";"2018";"8378881,42";"30359,59";"0,379039";3552809
"Taciba";"2018";"156073,84";"26068,79";"0,00706";3552908
"Taguaí";"2018";"271353,62";"21143,34";"0,012275";3553005
"Taiaçu";"2018";"96987,98";"16140,45";"0,004387";3553104
"Taiúva";"2018";"114070,64";"18100,71";"0,00516";3553203
"Tambaú";"2018";"561233,5";"24710,88";"0,025389";3553302
"Tanabi";"2018";"927274,76";"37201,11";"0,041947";3553401
"Tapiraí";"2018";"141524,21";"18303,7";"0,006402";3553500
"Tapiratiba";"2018";"325467,07";"25775,49";"0,014723";3553609
"Taquaral";"2018";"38527,37";"14045,7";"0,001743";3553658
"Taquaritinga";"2018";"1570576,59";"28880,98";"0,071049";3553708
"Taquarituba";"2018";"688842,95";"29911,98";"0,031161";3553807
"Taquarivaí";"2018";"218653,51";"38892,48";"0,009891";3553856
"Tarabai";"2018";"114693,85";"16074,82";"0,005188";3553906
"Tarumã";"2018";"774541,46";"53683,22";"0,035038";3553955
"Tatuí";"2018";"4002026,46";"34043";"0,181041";3554003
"Taubaté";"2018";"17267226,1";"57203,52";"0,781124";3554102
"Tejupá";"2018";"80084,38";"17013,89";"0,003623";3554201
"Teodoro Sampaio";"2018";"437472,15";"19689,1";"0,01979";3554300
"Terra Roxa";"2018";"140795,19";"15645,65";"0,006369";3554409
"Tietê";"2018";"1825509,98";"45361,05";"0,082581";3554508
"Timburi";"2018";"43974,08";"17097,23";"0,001989";3554607
"Torre de Pedra";"2018";"30024,8";"13014,65";"0,001358";3554656
"Torrinha";"2018";"203320,99";"21102,33";"0,009198";3554706
"Trabiju";"2018";"40615,67";"24320,76";"0,001837";3554755
"Tremembé";"2018";"755359,92";"16761,19";"0,03417";3554805
"Três Fronteiras";"2018";"106908,42";"19349,94";"0,004836";3554904
"Tuiuti";"2018";"136180,58";"21149,34";"0,00616";3554953
"Tupã";"2018";"1794916,76";"28513,37";"0,081197";3555000
"Tupi Paulista";"2018";"273975,77";"18475,67";"0,012394";3555109
"Turiúba";"2018";"42030,48";"21925,13";"0,001901";3555208
"Turmalina";"2018";"56023,8";"30514,05";"0,002534";3555307
"Ubarana";"2018";"316289,39";"53481,47";"0,014308";3555356
"Ubatuba";"2018";"2138384,18";"24615,91";"0,096735";3555406
"Ubirajara";"2018";"93473,13";"20249,81";"0,004228";3555505
"Uchoa";"2018";"223384,23";"23160,63";"0,010105";3555604
"União Paulista";"2018";"45471,31";"26560,34";"0,002057";3555703
"Urânia";"2018";"215269,6";"24857,92";"0,009738";3555802
"Uru";"2018";"41364,41";"34100,91";"0,001871";3555901
"Urupês";"2018";"392479,03";"30003,75";"0,017755";3556008
"Valentim Gentil";"2018";"324861,67";"26128,99";"0,014696";3556107
"Valinhos";"2018";"6199567,45";"50895,81";"0,280452";3556206
"Valparaíso";"2018";"873447,58";"36837,23";"0,039512";3556305
"Vargem";"2018";"131863,09";"13507,79";"0,005965";3556354
"Vargem Grande do Sul";"2018";"974158,38";"23716,58";"0,044068";3556404
"Vargem Grande Paulista";"2018";"2082695,31";"41000,36";"0,094216";3556453
"Várzea Paulista";"2018";"2843700,81";"24094,67";"0,128642";3556503
"Vera Cruz";"2018";"142846,91";"13522,05";"0,006462";3556602
"Vinhedo";"2018";"9276684,04";"123923,75";"0,419653";3556701
"Viradouro";"2018";"345821,63";"19055,63";"0,015644";3556800
"Vista Alegre do Alto";"2018";"345517,5";"44285,76";"0,01563";3556909
"Vitória Brasil";"2018";"35929,23";"20460,84";"0,001625";3556958
"Votorantim";"2018";"3093368,49";"26295,21";"0,139936";3557006
"Votuporanga";"2018";"2928687,61";"32385,52";"0,132486";3557105
"Zacarias";"2018";"88517,21";"35153,78";"0,004004";3557154
