"Localidades";"Períodos";"PIB (Em mil reais correntes)";"PIB per Capita (Em reais correntes)";"Participação no PIB do Estado (Em %)";"Cód. IBGE"
"Buri";"2018";"413706,03";"21294,32";"0,018715";3508009
"Buritama";"2018";"635662,41";"38814,34";"0,028756";3508108
"Buritizal";"2018";"177965,5";"41785,75";"0,008051";3508207
"Cabrália Paulista";"2018";"82550,45";"19139,91";"0,003734";3508306
"Cabreúva";"2018";"4677142,2";"97762,26";"0,211582";3508405
"Cachoeira Paulista";"2018";"608491,61";"19119,92";"0,027527";3508603
"Caconde";"2018";"357342,13";"19021,73";"0,016165";3508702
"Cafelândia";"2018";"505032,85";"29497,86";"0,022846";3508801
"Caiabu";"2018";"58214,36";"14202,09";"0,002633";3508900
"Caieiras";"2018";"3556312,29";"36376,87";"0,160878";3509007
"Caiuá";"2018";"75610,51";"13774,92";"0,00342";3509106
"Cajamar";"2018";"16970110,95";"226539,99";"0,767683";3509205
"Cajati";"2018";"1452475,49";"50441,93";"0,065706";3509254
"Cajobi";"2018";"155965,85";"15525,17";"0,007055";3509304
"Cajuru";"2018";"572165,5";"22699,58";"0,025883";3509403
"Campina do Monte Alegre";"2018";"108651,05";"18853,21";"0,004915";3509452
"Campinas";"2018";"61397262,53";"52976,9";"2,77745";3509502
"Campo Limpo Paulista";"2018";"2111048,32";"26021,85";"0,095498";3509601
"Campos do Jordão";"2018";"1247875,47";"25125,35";"0,056451";3509700
"Campos Novos Paulista";"2018";"141778,02";"29785,3";"0,006414";3509809
"Cananéia";"2018";"300656,91";"24465,53";"0,013601";3509908
"Canas";"2018";"104579,56";"21217,2";"0,004731";3509957
"Cândido Mota";"2018";"1166473,63";"38886,34";"0,052768";3510005
"Cândido Rodrigues";"2018";"100100,77";"37434,84";"0,004528";3510104
"Canitar";"2018";"188668,21";"38804,65";"0,008535";3510153
"Capão Bonito";"2018";"906462,81";"19576,76";"0,041006";3510203
"Capela do Alto";"2018";"272471,35";"13683,09";"0,012326";3510302
