"Localidades";"Períodos";"Taxa de Mortalidade Infantil (Por mil nascidos vivos)";"Taxa de Mortalidade Neonatal Precoce (Por mil nascidos vivos)";"Taxa de Mortalidade Neonatal (Por mil nascidos vivos)";"Taxa de Mortalidade Pós Neonatal (Por mil nascidos vivos)";"Taxa de Mortalidade Neonatal Tardia (Por mil nascidos vivos)";"Cód. IBGE"
"Adamantina";"2018";"5,26";"5,26";"5,26";"-";"-";3500105
"Adolfo";"2018";"21,74";"-";"-";"21,74";"-";3500204
"Aguaí";"2018";"6,58";"4,39";"6,58";"-";"2,19";3500303
"Águas da Prata";"2018";"21,98";"21,98";"21,98";"-";"-";3500402
"Águas de Lindóia";"2018";"5,21";"5,21";"5,21";"-";"-";3500501
"Águas de Santa Bárbara";"2018";"18,18";"18,18";"18,18";"-";"-";3500550
"Águas de São Pedro";"2018";"-";"-";"-";"-";"-";3500600
"Agudos";"2018";"16,98";"3,77";"7,55";"9,43";"3,77";3500709
"Alambari";"2018";"44,12";"14,71";"44,12";"-";"29,41";3500758
"Alfredo Marcondes";"2018";"16,95";"16,95";"16,95";"-";"-";3500808
"Altair";"2018";"-";"-";"-";"-";"-";3500907
"Altinópolis";"2018";"16,22";"10,81";"16,22";"-";"5,41";3501004
"Alto Alegre";"2018";"58,82";"29,41";"29,41";"29,41";"-";3501103
"Alumínio";"2018";"14,56";"4,85";"14,56";"-";"9,71";3501152
"Álvares Florence";"2018";"-";"-";"-";"-";"-";3501202
"Álvares Machado";"2018";"-";"-";"-";"-";"-";3501301
"Álvaro de Carvalho";"2018";"-";"-";"-";"-";"-";3501400
"Alvinlândia";"2018";"19,23";"19,23";"19,23";"-";"-";3501509
"Americana";"2018";"10,72";"6,65";"8,13";"2,59";"1,48";3501608
"Américo Brasiliense";"2018";"13,39";"6,7";"11,16";"2,23";"4,46";3501707
"Américo de Campos";"2018";"31,25";"-";"15,63";"15,63";"15,63";3501806
"Amparo";"2018";"6,03";"3,62";"4,83";"1,21";"1,21";3501905
"Analândia";"2018";"22,22";"-";"-";"22,22";"-";3502002
"Andradina";"2018";"11,02";"6,89";"8,26";"2,75";"1,38";3502101
"Angatuba";"2018";"11,83";"8,88";"8,88";"2,96";"-";3502200
"Anhembi";"2018";"-";"-";"-";"-";"-";3502309
"Anhumas";"2018";"17,86";"17,86";"17,86";"-";"-";3502408
"Aparecida";"2018";"4,6";"2,3";"4,6";"-";"2,3";3502507
"Aparecida d'Oeste";"2018";"-";"-";"-";"-";"-";3502606
"Apiaí";"2018";"11,36";"5,68";"8,52";"2,84";"2,84";3502705
"Aramina";"2018";"15,63";"-";"-";"15,63";"-";3503000
"Arandu";"2018";"11,36";"-";"-";"11,36";"-";3503109
"Arapeí";"2018";"52,63";"-";"52,63";"-";"52,63";3503158
"Araraquara";"2018";"12,45";"7,82";"10,31";"2,13";"2,49";3503208
"Araras";"2018";"13,4";"5,74";"9,57";"3,83";"3,83";3503307
"Araçariguama";"2018";"10,58";"5,29";"7,94";"2,65";"2,65";3502754
"Araçatuba";"2018";"15,49";"8,79";"10,47";"5,03";"1,68";3502804
"Araçoiaba da Serra";"2018";"8,13";"5,42";"8,13";"-";"2,71";3502903
"Arco-Íris";"2018";"45,45";"-";"45,45";"-";"45,45";3503356
"Arealva";"2018";"14,49";"-";"-";"14,49";"-";3503406
"Areias";"2018";"-";"-";"-";"-";"-";3503505
"Areiópolis";"2018";"19,87";"-";"13,25";"6,62";"13,25";3503604
"Ariranha";"2018";"-";"-";"-";"-";"-";3503703
"Artur Nogueira";"2018";"7,32";"2,93";"4,39";"2,93";"1,46";3503802
"Arujá";"2018";"14,65";"8,06";"10,99";"3,66";"2,93";3503901
"Aspásia";"2018";"-";"-";"-";"-";"-";3503950
"Assis";"2018";"15,81";"9,98";"11,65";"4,16";"1,66";3504008
"Atibaia";"2018";"4,22";"2,35";"2,35";"1,88";"-";3504107
"Auriflama";"2018";"7,04";"7,04";"7,04";"-";"-";3504206
"Avaí";"2018";"-";"-";"-";"-";"-";3504305
"Avanhandava";"2018";"20,27";"6,76";"13,51";"6,76";"6,76";3504404
"Avaré";"2018";"11,24";"8,24";"8,99";"2,25";"0,75";3504503
"Bady Bassitt";"2018";"7,43";"-";"3,72";"3,72";"3,72";3504602
"Balbinos";"2018";"-";"-";"-";"-";"-";3504701
"Bálsamo";"2018";"-";"-";"-";"-";"-";3504800
"Bananal";"2018";"-";"-";"-";"-";"-";3504909
"Barão de Antonina";"2018";"-";"-";"-";"-";"-";3505005
"Barbosa";"2018";"10,2";"-";"-";"10,2";"-";3505104
"Bariri";"2018";"14,49";"4,83";"12,08";"2,42";"7,25";3505203
"Barra Bonita";"2018";"14,33";"8,6";"8,6";"5,73";"-";3505302
"Barra do Chapéu";"2018";"-";"-";"-";"-";"-";3505351
"Barra do Turvo";"2018";"37,04";"24,69";"24,69";"12,35";"-";3505401
"Barretos";"2018";"13,79";"9,85";"13,13";"0,66";"3,28";3505500
"Barrinha";"2018";"16,13";"6,05";"10,08";"6,05";"4,03";3505609
"Barueri";"2018";"8,26";"3,16";"5,27";"2,99";"2,11";3505708
"Bastos";"2018";"16,95";"10,17";"13,56";"3,39";"3,39";3505807
"Batatais";"2018";"9,41";"6,72";"8,06";"1,34";"1,34";3505906
"Bauru";"2018";"8,53";"3,41";"4,69";"3,84";"1,28";3506003
"Bebedouro";"2018";"18,2";"11,78";"14,99";"3,21";"3,21";3506102
"Bento de Abreu";"2018";"-";"-";"-";"-";"-";3506201
"Bernardino de Campos";"2018";"7,3";"-";"7,3";"-";"7,3";3506300
"Bertioga";"2018";"13,42";"5,75";"9,59";"3,84";"3,84";3506359
"Bilac";"2018";"-";"-";"-";"-";"-";3506409
"Birigui";"2018";"12,66";"6";"9,99";"2,66";"4";3506508
"Biritiba Mirim";"2018";"10,15";"-";"5,08";"5,08";"5,08";3506607
"Boa Esperança do Sul";"2018";"12,2";"6,1";"6,1";"6,1";"-";3506706
"Bocaina";"2018";"25,64";"19,23";"19,23";"6,41";"-";3506805
"Bofete";"2018";"13,79";"6,9";"13,79";"-";"6,9";3506904
"Boituva";"2018";"8,3";"7,12";"8,3";"-";"1,19";3507001
"Bom Jesus dos Perdões";"2018";"3,02";"3,02";"3,02";"-";"-";3507100
"Bom Sucesso de Itararé";"2018";"18,52";"-";"18,52";"-";"18,52";3507159
"Borá";"2018";"-";"-";"-";"-";"-";3507209
"Boracéia";"2018";"52,63";"35,09";"35,09";"17,54";"-";3507308
"Borborema";"2018";"20,27";"6,76";"6,76";"13,51";"-";3507407
"Borebi";"2018";"-";"-";"-";"-";"-";3507456
"Botucatu";"2018";"15,83";"6,55";"12,01";"3,82";"5,46";3507506
"Bragança Paulista";"2018";"7,6";"3,13";"4,02";"3,57";"0,89";3507605
"Braúna";"2018";"-";"-";"-";"-";"-";3507704
"Brejo Alegre";"2018";"-";"-";"-";"-";"-";3507753
"Brodowski";"2018";"21,54";"3,08";"9,23";"12,31";"6,15";3507803
"Brotas";"2018";"8,93";"5,95";"5,95";"2,98";"-";3507902
"Buri";"2018";"9,35";"3,12";"3,12";"6,23";"-";3508009
"Buritama";"2018";"14,93";"4,98";"4,98";"9,95";"-";3508108
"Buritizal";"2018";"-";"-";"-";"-";"-";3508207
"Cabrália Paulista";"2018";"19,23";"-";"-";"19,23";"-";3508306
"Cabreúva";"2018";"10,8";"8,1";"8,1";"2,7";"-";3508405
"Cachoeira Paulista";"2018";"9,13";"4,57";"6,85";"2,28";"2,28";3508603
"Caconde";"2018";"9,13";"4,57";"4,57";"4,57";"-";3508702
"Cafelândia";"2018";"17,39";"13,04";"13,04";"4,35";"-";3508801
"Caiabu";"2018";"25";"25";"25";"-";"-";3508900
"Caieiras";"2018";"6,63";"4,42";"5,15";"1,47";"0,74";3509007
"Caiuá";"2018";"20,41";"-";"-";"20,41";"-";3509106
"Cajamar";"2018";"5,24";"4,49";"4,49";"0,75";"-";3509205
"Cajati";"2018";"4,21";"-";"2,11";"2,11";"2,11";3509254
"Cajobi";"2018";"-";"-";"-";"-";"-";3509304
"Cajuru";"2018";"8,85";"5,9";"5,9";"2,95";"-";3509403
"Campina do Monte Alegre";"2018";"21,51";"10,75";"10,75";"10,75";"-";3509452
"Campinas";"2018";"9,12";"4,49";"6,28";"2,84";"1,78";3509502
"Campo Limpo Paulista";"2018";"4,98";"2,99";"3,98";"1";"1";3509601
"Campos do Jordão";"2018";"9,26";"3,97";"3,97";"5,29";"-";3509700
"Campos Novos Paulista";"2018";"-";"-";"-";"-";"-";3509809
"Cananéia";"2018";"5,38";"5,38";"5,38";"-";"-";3509908
"Canas";"2018";"-";"-";"-";"-";"-";3509957
"Cândido Mota";"2018";"14,66";"5,87";"8,8";"5,87";"2,93";3510005
"Cândido Rodrigues";"2018";"-";"-";"-";"-";"-";3510104
"Canitar";"2018";"-";"-";"-";"-";"-";3510153
"Capão Bonito";"2018";"12,27";"12,27";"12,27";"-";"-";3510203
"Capela do Alto";"2018";"18,75";"6,25";"12,5";"6,25";"6,25";3510302
"Capivari";"2018";"7,31";"2,92";"7,31";"-";"4,39";3510401
"Caraguatatuba";"2018";"10,34";"2,72";"6,53";"3,81";"3,81";3510500
"Carapicuíba";"2018";"9,39";"4,77";"7,36";"2,02";"2,6";3510609
"Cardoso";"2018";"25,86";"-";"17,24";"8,62";"17,24";3510708
"Casa Branca";"2018";"12,66";"9,49";"9,49";"3,16";"-";3510807
"Cássia dos Coqueiros";"2018";"-";"-";"-";"-";"-";3510906
"Castilho";"2018";"25,86";"12,93";"17,24";"8,62";"4,31";3511003
"Catanduva";"2018";"8,19";"2,23";"4,47";"3,72";"2,23";3511102
"Catiguá";"2018";"-";"-";"-";"-";"-";3511201
"Caçapava";"2018";"9,13";"6,09";"7,61";"1,52";"1,52";3508504
"Cedral";"2018";"-";"-";"-";"-";"-";3511300
"Cerqueira César";"2018";"14,87";"3,72";"7,43";"7,43";"3,72";3511409
"Cerquilho";"2018";"9,65";"7,72";"7,72";"1,93";"-";3511508
"Cesário Lange";"2018";"7,6";"3,8";"7,6";"-";"3,8";3511607
"Charqueada";"2018";"4,37";"-";"-";"4,37";"-";3511706
"Chavantes";"2018";"-";"-";"-";"-";"-";3557204
"Clementina";"2018";"26,32";"17,54";"26,32";"-";"8,77";3511904
"Colina";"2018";"4,44";"-";"-";"4,44";"-";3512001
"Colômbia";"2018";"9,52";"-";"9,52";"-";"9,52";3512100
"Conchal";"2018";"11,93";"7,95";"7,95";"3,98";"-";3512209
"Conchas";"2018";"14,02";"4,67";"4,67";"9,35";"-";3512308
"Cordeirópolis";"2018";"3,23";"3,23";"3,23";"-";"-";3512407
"Coroados";"2018";"18,52";"-";"18,52";"-";"18,52";3512506
"Coronel Macedo";"2018";"-";"-";"-";"-";"-";3512605
"Corumbataí";"2018";"-";"-";"-";"-";"-";3512704
"Cosmópolis";"2018";"7,97";"5,31";"5,31";"2,66";"-";3512803
"Cosmorama";"2018";"20,62";"10,31";"20,62";"-";"10,31";3512902
"Cotia";"2018";"7,72";"3,38";"5,06";"2,65";"1,69";3513009
"Cravinhos";"2018";"9,8";"9,8";"9,8";"-";"-";3513108
"Cristais Paulista";"2018";"18,87";"9,43";"9,43";"9,43";"-";3513207
"Cruzália";"2018";"-";"-";"-";"-";"-";3513306
"Cruzeiro";"2018";"11,96";"7,61";"8,7";"3,26";"1,09";3513405
"Cubatão";"2018";"12,95";"6,17";"8,64";"4,32";"2,47";3513504
"Cunha";"2018";"12,24";"12,24";"12,24";"-";"-";3513603
"Descalvado";"2018";"2,69";"2,69";"2,69";"-";"-";3513702
"Diadema";"2018";"11,3";"6,28";"8,97";"2,33";"2,69";3513801
"Dirce Reis";"2018";"76,92";"76,92";"76,92";"-";"-";3513850
"Divinolândia";"2018";"-";"-";"-";"-";"-";3513900
"Dobrada";"2018";"-";"-";"-";"-";"-";3514007
"Dois Córregos";"2018";"8,7";"5,8";"8,7";"-";"2,9";3514106
"Dolcinópolis";"2018";"-";"-";"-";"-";"-";3514205
"Dourado";"2018";"23,26";"11,63";"11,63";"11,63";"-";3514304
"Dracena";"2018";"15,75";"9,84";"11,81";"3,94";"1,97";3514403
"Duartina";"2018";"22,22";"7,41";"14,81";"7,41";"7,41";3514502
"Dumont";"2018";"7,58";"-";"-";"7,58";"-";3514601
"Echaporã";"2018";"10,53";"10,53";"10,53";"-";"-";3514700
"Eldorado";"2018";"12,55";"4,18";"4,18";"8,37";"-";3514809
"Elias Fausto";"2018";"12,88";"8,58";"8,58";"4,29";"-";3514908
"Elisiário";"2018";"-";"-";"-";"-";"-";3514924
"Embaúba";"2018";"-";"-";"-";"-";"-";3514957
"Embu das Artes";"2018";"8,95";"4,47";"5,65";"3,3";"1,18";3515004
"Embu-Guaçu";"2018";"11,08";"3,02";"4,03";"7,05";"1,01";3515103
"Emilianópolis";"2018";"-";"-";"-";"-";"-";3515129
"Engenheiro Coelho";"2018";"3,37";"3,37";"3,37";"-";"-";3515152
"Espírito Santo do Pinhal";"2018";"6,42";"6,42";"6,42";"-";"-";3515186
"Espírito Santo do Turvo";"2018";"32,26";"16,13";"16,13";"16,13";"-";3515194
"Estiva Gerbi";"2018";"14,6";"7,3";"7,3";"7,3";"-";3557303
"Estrela d'Oeste";"2018";"12,05";"12,05";"12,05";"-";"-";3515202
"Estrela do Norte";"2018";"-";"-";"-";"-";"-";3515301
"Euclides da Cunha Paulista";"2018";"8,55";"8,55";"8,55";"-";"-";3515350
"Fartura";"2018";"4,78";"-";"-";"4,78";"-";3515400
"Fernando Prestes";"2018";"-";"-";"-";"-";"-";3515608
"Fernandópolis";"2018";"1,26";"-";"-";"1,26";"-";3515509
"Fernão";"2018";"43,48";"43,48";"43,48";"-";"-";3515657
"Ferraz de Vasconcelos";"2018";"12,74";"4,73";"8,73";"4";"4";3515707
"Flora Rica";"2018";"-";"-";"-";"-";"-";3515806
"Floreal";"2018";"-";"-";"-";"-";"-";3515905
"Flórida Paulista";"2018";"31,58";"31,58";"31,58";"-";"-";3516002
"Florínea";"2018";"-";"-";"-";"-";"-";3516101
"Franca";"2018";"10,53";"6,28";"7,49";"3,04";"1,21";3516200
"Francisco Morato";"2018";"14,79";"5,28";"9,86";"4,93";"4,58";3516309
"Franco da Rocha";"2018";"11,92";"4,13";"6,42";"5,5";"2,29";3516408
"Gabriel Monteiro";"2018";"-";"-";"-";"-";"-";3516507
"Gália";"2018";"11,76";"-";"-";"11,76";"-";3516606
"Garça";"2018";"11,56";"7,71";"7,71";"3,85";"-";3516705
"Gastão Vidigal";"2018";"-";"-";"-";"-";"-";3516804
"Gavião Peixoto";"2018";"-";"-";"-";"-";"-";3516853
"General Salgado";"2018";"8,33";"8,33";"8,33";"-";"-";3516903
"Getulina";"2018";"10,42";"10,42";"10,42";"-";"-";3517000
"Glicério";"2018";"18,52";"18,52";"18,52";"-";"-";3517109
"Guaimbê";"2018";"37,74";"18,87";"37,74";"-";"18,87";3517307
"Guaíra";"2018";"8,85";"2,21";"4,42";"4,42";"2,21";3517406
"Guaiçara";"2018";"28,17";"14,08";"21,13";"7,04";"7,04";3517208
"Guapiara";"2018";"22,81";"15,21";"19,01";"3,8";"3,8";3517604
"Guapiaçu";"2018";"-";"-";"-";"-";"-";3517505
"Guará";"2018";"8,3";"4,15";"8,3";"-";"4,15";3517703
"Guaraci";"2018";"17,39";"8,7";"8,7";"8,7";"-";3517901
"Guarani d'Oeste";"2018";"-";"-";"-";"-";"-";3518008
"Guarantã";"2018";"-";"-";"-";"-";"-";3518107
"Guararapes";"2018";"11,4";"2,85";"2,85";"8,55";"-";3518206
"Guararema";"2018";"9,43";"4,72";"9,43";"-";"4,72";3518305
"Guaratinguetá";"2018";"8,83";"5,43";"6,11";"2,72";"0,68";3518404
"Guaraçaí";"2018";"13,16";"13,16";"13,16";"-";"-";3517802
"Guareí";"2018";"-";"-";"-";"-";"-";3518503
"Guariba";"2018";"14,74";"8,42";"10,53";"4,21";"2,11";3518602
"Guarujá";"2018";"18,03";"6,68";"12,47";"5,57";"5,79";3518701
"Guarulhos";"2018";"13,25";"5,96";"8,48";"4,77";"2,53";3518800
"Guatapará";"2018";"-";"-";"-";"-";"-";3518859
"Guzolândia";"2018";"-";"-";"-";"-";"-";3518909
"Herculândia";"2018";"21,28";"10,64";"10,64";"10,64";"-";3519006
"Holambra";"2018";"14,85";"9,9";"14,85";"-";"4,95";3519055
"Hortolândia";"2018";"7,18";"3,27";"4,57";"2,61";"1,31";3519071
"Iacanga";"2018";"7,04";"7,04";"7,04";"-";"-";3519105
"Iacri";"2018";"44,12";"14,71";"29,41";"14,71";"14,71";3519204
"Iaras";"2018";"13,7";"-";"-";"13,7";"-";3519253
"Ibaté";"2018";"3,82";"-";"1,91";"1,91";"1,91";3519303
"Ibirá";"2018";"-";"-";"-";"-";"-";3519402
"Ibirarema";"2018";"-";"-";"-";"-";"-";3519501
"Ibitinga";"2018";"10,48";"5,24";"7,86";"2,62";"2,62";3519600
"Ibiúna";"2018";"17,01";"6,27";"8,95";"8,06";"2,69";3519709
"Icém";"2018";"20,83";"10,42";"20,83";"-";"10,42";3519808
"Iepê";"2018";"18,69";"18,69";"18,69";"-";"-";3519907
"Igarapava";"2018";"15,67";"3,13";"3,13";"12,54";"-";3520103
"Igaratá";"2018";"13,51";"6,76";"6,76";"6,76";"-";3520202
"Igaraçu do Tietê";"2018";"12,74";"9,55";"9,55";"3,18";"-";3520004
"Iguape";"2018";"13,26";"7,96";"7,96";"5,31";"-";3520301
"Ilha Comprida";"2018";"5,81";"-";"5,81";"-";"5,81";3520426
"Ilha Solteira";"2018";"7,6";"3,8";"7,6";"-";"3,8";3520442
"Ilhabela";"2018";"7,92";"3,96";"5,94";"1,98";"1,98";3520400
"Indaiatuba";"2018";"9,9";"3";"4,8";"5,1";"1,8";3520509
"Indiana";"2018";"33,33";"-";"-";"33,33";"-";3520608
"Indiaporã";"2018";"23,26";"23,26";"23,26";"-";"-";3520707
"Inúbia Paulista";"2018";"-";"-";"-";"-";"-";3520806
"Ipaussu";"2018";"25,91";"5,18";"20,73";"5,18";"15,54";3520905
"Iperó";"2018";"8,85";"-";"-";"8,85";"-";3521002
"Ipeúna";"2018";"21,74";"21,74";"21,74";"-";"-";3521101
"Ipiguá";"2018";"-";"-";"-";"-";"-";3521150
"Iporanga";"2018";"20,41";"20,41";"20,41";"-";"-";3521200
"Ipuã";"2018";"16,67";"11,11";"11,11";"5,56";"-";3521309
"Iracemápolis";"2018";"-";"-";"-";"-";"-";3521408
"Irapuã";"2018";"10,99";"-";"-";"10,99";"-";3521507
"Irapuru";"2018";"16,95";"-";"-";"16,95";"-";3521606
"Itaberá";"2018";"27,4";"22,83";"22,83";"4,57";"-";3521705
"Itaí";"2018";"11,46";"2,87";"5,73";"5,73";"2,87";3521804
"Itajobi";"2018";"-";"-";"-";"-";"-";3521903
"Itaju";"2018";"61,22";"61,22";"61,22";"-";"-";3522000
"Itanhaém";"2018";"12,5";"3,47";"6,94";"5,56";"3,47";3522109
"Itaoca";"2018";"-";"-";"-";"-";"-";3522158
"Itapecerica da Serra";"2018";"10,66";"4,95";"6,85";"3,81";"1,9";3522208
"Itapetininga";"2018";"14,08";"8,18";"9,54";"4,54";"1,36";3522307
"Itapeva";"2018";"13,69";"10,09";"12,25";"1,44";"2,16";3522406
"Itapevi";"2018";"14,3";"6,66";"9,12";"5,18";"2,46";3522505
"Itapira";"2018";"9,5";"5,94";"7,13";"2,38";"1,19";3522604
"Itapirapuã Paulista";"2018";"-";"-";"-";"-";"-";3522653
"Itápolis";"2018";"4,1";"2,05";"4,1";"-";"2,05";3522703
"Itaporanga";"2018";"17,65";"11,76";"17,65";"-";"5,88";3522802
"Itapuí";"2018";"-";"-";"-";"-";"-";3522901
"Itapura";"2018";"-";"-";"-";"-";"-";3523008
"Itaquaquecetuba";"2018";"11,43";"5,14";"7,62";"3,81";"2,49";3523107
"Itararé";"2018";"15,02";"9,01";"13,51";"1,5";"4,5";3523206
"Itariri";"2018";"9,9";"9,9";"9,9";"-";"-";3523305
"Itatiba";"2018";"14,57";"6,25";"9,72";"4,86";"3,47";3523404
"Itatinga";"2018";"3,97";"-";"3,97";"-";"3,97";3523503
"Itirapina";"2018";"16,48";"10,99";"10,99";"5,49";"-";3523602
"Itirapuã";"2018";"-";"-";"-";"-";"-";3523701
"Itobi";"2018";"23,53";"11,76";"11,76";"11,76";"-";3523800
"Itu";"2018";"9,82";"4,46";"7,14";"2,68";"2,68";3523909
"Itupeva";"2018";"7,19";"6";"7,19";"-";"1,2";3524006
"Ituverava";"2018";"2,24";"2,24";"2,24";"-";"-";3524105
"Jaborandi";"2018";"-";"-";"-";"-";"-";3524204
"Jaboticabal";"2018";"7,67";"2,56";"2,56";"5,12";"-";3524303
"Jacareí";"2018";"7,77";"3,38";"5,07";"2,7";"1,69";3524402
"Jaci";"2018";"-";"-";"-";"-";"-";3524501
"Jacupiranga";"2018";"4,1";"4,1";"4,1";"-";"-";3524600
"Jaguariúna";"2018";"2,43";"2,43";"2,43";"-";"-";3524709
"Jales";"2018";"10,04";"8,03";"8,03";"2,01";"-";3524808
"Jambeiro";"2018";"13,51";"13,51";"13,51";"-";"-";3524907
"Jandira";"2018";"11,67";"4,67";"7,58";"4,08";"2,92";3525003
"Jardinópolis";"2018";"6,92";"3,46";"5,19";"1,73";"1,73";3525102
"Jarinu";"2018";"4,06";"2,03";"2,03";"2,03";"-";3525201
"Jaú";"2018";"12,82";"7,94";"10,99";"1,83";"3,05";3525300
"Jeriquara";"2018";"-";"-";"-";"-";"-";3525409
"Joanópolis";"2018";"6,41";"6,41";"6,41";"-";"-";3525508
"João Ramalho";"2018";"-";"-";"-";"-";"-";3525607
"José Bonifácio";"2018";"11,49";"6,9";"9,2";"2,3";"2,3";3525706
"Júlio Mesquita";"2018";"-";"-";"-";"-";"-";3525805
"Jumirim";"2018";"-";"-";"-";"-";"-";3525854
"Jundiaí";"2018";"6,91";"3,07";"4,91";"1,99";"1,84";3525904
"Junqueirópolis";"2018";"8,37";"8,37";"8,37";"-";"-";3526001
"Juquiá";"2018";"14,29";"7,14";"10,71";"3,57";"3,57";3526100
"Juquitiba";"2018";"6,36";"4,24";"4,24";"2,12";"-";3526209
"Lagoinha";"2018";"-";"-";"-";"-";"-";3526308
"Laranjal Paulista";"2018";"21,74";"7,25";"12,08";"9,66";"4,83";3526407
