"Localidades";"Períodos";"Taxa de Mortalidade Infantil (Por mil nascidos vivos)";"Taxa de Mortalidade Neonatal Precoce (Por mil nascidos vivos)";"Taxa de Mortalidade Neonatal (Por mil nascidos vivos)";"Taxa de Mortalidade Pós Neonatal (Por mil nascidos vivos)";"Taxa de Mortalidade Neonatal Tardia (Por mil nascidos vivos)";"Cód. IBGE"
"Olímpia";"2018";"14,49";"7,25";"10,14";"4,35";"2,9";3533908
"Onda Verde";"2018";"-";"-";"-";"-";"-";3534005
"Oriente";"2018";"-";"-";"-";"-";"-";3534104
"Orindiúva";"2018";"-";"-";"-";"-";"-";3534203
"Orlândia";"2018";"6,7";"6,7";"6,7";"-";"-";3534302
"Osasco";"2018";"11,12";"5,66";"8,84";"2,28";"3,18";3534401
"Oscar Bressane";"2018";"-";"-";"-";"-";"-";3534500
"Osvaldo Cruz";"2018";"18,4";"3,07";"12,27";"6,13";"9,2";3534609
"Ourinhos";"2018";"10,84";"3,87";"6,97";"3,87";"3,1";3534708
"Ouro Verde";"2018";"10,1";"10,1";"10,1";"-";"-";3534807
"Ouroeste";"2018";"7,63";"7,63";"7,63";"-";"-";3534757
"Pacaembu";"2018";"-";"-";"-";"-";"-";3534906
"Palestina";"2018";"-";"-";"-";"-";"-";3535002
"Palmares Paulista";"2018";"14,49";"-";"-";"14,49";"-";3535101
"Palmeira d'Oeste";"2018";"21,98";"-";"-";"21,98";"-";3535200
"Palmital";"2018";"22,81";"7,6";"15,21";"7,6";"7,6";3535309
"Panorama";"2018";"9,8";"9,8";"9,8";"-";"-";3535408
"Paraguaçu Paulista";"2018";"6,46";"4,85";"4,85";"1,62";"-";3535507
"Paraibuna";"2018";"9,35";"4,67";"4,67";"4,67";"-";3535606
"Paraíso";"2018";"15,15";"-";"15,15";"-";"15,15";3535705
"Paranapanema";"2018";"-";"-";"-";"-";"-";3535804
"Paranapuã";"2018";"-";"-";"-";"-";"-";3535903
"Parapuã";"2018";"-";"-";"-";"-";"-";3536000
"Pardinho";"2018";"12,5";"-";"-";"12,5";"-";3536109
"Pariquera-Açu";"2018";"6,97";"6,97";"6,97";"-";"-";3536208
"Parisi";"2018";"-";"-";"-";"-";"-";3536257
"Patrocínio Paulista";"2018";"4,95";"-";"4,95";"-";"4,95";3536307
"Paulicéia";"2018";"10,99";"-";"10,99";"-";"10,99";3536406
"Paulínia";"2018";"10,35";"5,82";"6,47";"3,88";"0,65";3536505
"Paulistânia";"2018";"-";"-";"-";"-";"-";3536570
"Paulo de Faria";"2018";"-";"-";"-";"-";"-";3536604
"Pederneiras";"2018";"12,03";"5,15";"6,87";"5,15";"1,72";3536703
"Pedra Bela";"2018";"-";"-";"-";"-";"-";3536802
"Pedranópolis";"2018";"28,57";"28,57";"28,57";"-";"-";3536901
"Pedregulho";"2018";"5,26";"-";"-";"5,26";"-";3537008
"Pedreira";"2018";"4,18";"2,09";"4,18";"-";"2,09";3537107
"Pedrinhas Paulista";"2018";"-";"-";"-";"-";"-";3537156
"Pedro de Toledo";"2018";"22,06";"14,71";"22,06";"-";"7,35";3537206
"Penápolis";"2018";"20,03";"12,02";"14,69";"5,34";"2,67";3537305
"Pereira Barreto";"2018";"9,68";"6,45";"6,45";"3,23";"-";3537404
"Pereiras";"2018";"8,93";"8,93";"8,93";"-";"-";3537503
"Peruíbe";"2018";"14,54";"9,35";"12,46";"2,08";"3,12";3537602
"Piacatu";"2018";"35,71";"17,86";"17,86";"17,86";"-";3537701
"Piedade";"2018";"14,27";"7,13";"11,41";"2,85";"4,28";3537800
"Pilar do Sul";"2018";"15,27";"10,18";"10,18";"5,09";"-";3537909
"Pindamonhangaba";"2018";"10,85";"5,64";"6,94";"3,91";"1,3";3538006
"Pindorama";"2018";"21,58";"7,19";"21,58";"-";"14,39";3538105
"Pinhalzinho";"2018";"12,74";"-";"6,37";"6,37";"6,37";3538204
"Piquerobi";"2018";"32,26";"-";"-";"32,26";"-";3538303
"Piquete";"2018";"6,8";"6,8";"6,8";"-";"-";3538501
"Piracaia";"2018";"2,78";"-";"-";"2,78";"-";3538600
"Piracicaba";"2018";"10,95";"6,77";"8,76";"2,19";"1,99";3538709
"Piraju";"2018";"2,91";"2,91";"2,91";"-";"-";3538808
"Pirajuí";"2018";"27,52";"13,76";"13,76";"13,76";"-";3538907
"Pirangi";"2018";"7,87";"-";"-";"7,87";"-";3539004
"Pirapora do Bom Jesus";"2018";"6,99";"-";"3,5";"3,5";"3,5";3539103
"Pirapozinho";"2018";"13,16";"9,87";"9,87";"3,29";"-";3539202
"Pirassununga";"2018";"13,53";"6,76";"10,15";"3,38";"3,38";3539301
"Piratininga";"2018";"10,93";"5,46";"10,93";"-";"5,46";3539400
"Pitangueiras";"2018";"15,42";"11,01";"15,42";"-";"4,41";3539509
"Planalto";"2018";"13,7";"-";"13,7";"-";"13,7";3539608
"Platina";"2018";"22,22";"22,22";"22,22";"-";"-";3539707
"Poá";"2018";"9,52";"4,17";"5,95";"3,57";"1,79";3539806
"Poloni";"2018";"-";"-";"-";"-";"-";3539905
"Pompéia";"2018";"8,47";"4,24";"4,24";"4,24";"-";3540002
"Pongaí";"2018";"-";"-";"-";"-";"-";3540101
"Pontal";"2018";"8,71";"6,97";"6,97";"1,74";"-";3540200
"Pontalinda";"2018";"17,54";"-";"17,54";"-";"17,54";3540259
"Pontes Gestal";"2018";"-";"-";"-";"-";"-";3540309
"Populina";"2018";"20,41";"20,41";"20,41";"-";"-";3540408
"Porangaba";"2018";"10,53";"-";"10,53";"-";"10,53";3540507
"Porto Feliz";"2018";"13,04";"8,7";"11,59";"1,45";"2,9";3540606
"Porto Ferreira";"2018";"1,66";"-";"-";"1,66";"-";3540705
"Potim";"2018";"8,06";"4,03";"4,03";"4,03";"-";3540754
"Potirendaba";"2018";"10,31";"5,15";"5,15";"5,15";"-";3540804
"Pracinha";"2018";"-";"-";"-";"-";"-";3540853
"Pradópolis";"2018";"9,26";"-";"-";"9,26";"-";3540903
"Praia Grande";"2018";"13,32";"4";"7,55";"5,77";"3,55";3541000
"Pratânia";"2018";"-";"-";"-";"-";"-";3541059
"Presidente Alves";"2018";"-";"-";"-";"-";"-";3541109
"Presidente Bernardes";"2018";"21,74";"21,74";"21,74";"-";"-";3541208
"Presidente Epitácio";"2018";"23,9";"13,94";"19,92";"3,98";"5,98";3541307
"Presidente Prudente";"2018";"10,32";"4,33";"5,66";"4,66";"1,33";3541406
"Presidente Venceslau";"2018";"7,52";"2,51";"5,01";"2,51";"2,51";3541505
"Promissão";"2018";"6,88";"-";"2,29";"4,59";"2,29";3541604
"Quadra";"2018";"-";"-";"-";"-";"-";3541653
"Quatá";"2018";"18,29";"6,1";"6,1";"12,2";"-";3541703
"Queiroz";"2018";"-";"-";"-";"-";"-";3541802
"Queluz";"2018";"14,93";"14,93";"14,93";"-";"-";3541901
"Quintana";"2018";"20,62";"10,31";"20,62";"-";"10,31";3542008
"Rafard";"2018";"-";"-";"-";"-";"-";3542107
"Rancharia";"2018";"5,38";"-";"5,38";"-";"5,38";3542206
"Redenção da Serra";"2018";"-";"-";"-";"-";"-";3542305
"Regente Feijó";"2018";"13,1";"8,73";"8,73";"4,37";"-";3542404
"Reginópolis";"2018";"-";"-";"-";"-";"-";3542503
"Registro";"2018";"11,75";"8,23";"10,58";"1,18";"2,35";3542602
"Restinga";"2018";"9,26";"-";"-";"9,26";"-";3542701
"Ribeira";"2018";"-";"-";"-";"-";"-";3542800
"Ribeirão Bonito";"2018";"25,64";"25,64";"25,64";"-";"-";3542909
"Ribeirão Branco";"2018";"17,8";"8,9";"8,9";"8,9";"-";3543006
"Ribeirão Corrente";"2018";"-";"-";"-";"-";"-";3543105
"Ribeirão do Sul";"2018";"46,51";"23,26";"23,26";"23,26";"-";3543204
"Ribeirão dos Índios";"2018";"-";"-";"-";"-";"-";3543238
"Ribeirão Grande";"2018";"11,11";"-";"11,11";"-";"11,11";3543253
"Ribeirão Pires";"2018";"8,86";"5,17";"5,9";"2,95";"0,74";3543303
"Ribeirão Preto";"2018";"7,36";"3,8";"5,7";"1,66";"1,9";3543402
"Rifaina";"2018";"25";"25";"25";"-";"-";3543600
"Rincão";"2018";"-";"-";"-";"-";"-";3543709
"Rinópolis";"2018";"10,53";"10,53";"10,53";"-";"-";3543808
"Rio Claro";"2018";"5,67";"3,24";"5,27";"0,41";"2,03";3543907
"Rio das Pedras";"2018";"6,71";"-";"2,24";"4,47";"2,24";3544004
"Rio Grande da Serra";"2018";"17,51";"12,26";"14,01";"3,5";"1,75";3544103
"Riolândia";"2018";"8,06";"-";"-";"8,06";"-";3544202
"Riversul";"2018";"-";"-";"-";"-";"-";3543501
"Rosana";"2018";"14,29";"9,52";"14,29";"-";"4,76";3544251
"Roseira";"2018";"-";"-";"-";"-";"-";3544301
"Rubiácea";"2018";"-";"-";"-";"-";"-";3544400
"Rubinéia";"2018";"-";"-";"-";"-";"-";3544509
"Sabino";"2018";"-";"-";"-";"-";"-";3544608
"Sagres";"2018";"-";"-";"-";"-";"-";3544707
"Sales";"2018";"-";"-";"-";"-";"-";3544806
"Sales Oliveira";"2018";"7,69";"-";"-";"7,69";"-";3544905
"Salesópolis";"2018";"13,27";"4,42";"4,42";"8,85";"-";3545001
"Salmourão";"2018";"-";"-";"-";"-";"-";3545100
"Saltinho";"2018";"-";"-";"-";"-";"-";3545159
"Salto";"2018";"9,94";"5,26";"7,02";"2,92";"1,75";3545209
"Salto de Pirapora";"2018";"20,56";"13,08";"18,69";"1,87";"5,61";3545308
"Salto Grande";"2018";"-";"-";"-";"-";"-";3545407
"Sandovalina";"2018";"-";"-";"-";"-";"-";3545506
"Santa Adélia";"2018";"6,85";"-";"-";"6,85";"-";3545605
"Santa Albertina";"2018";"32,79";"32,79";"32,79";"-";"-";3545704
"Santa Bárbara d'Oeste";"2018";"10,59";"4,66";"6,78";"3,81";"2,12";3545803
"Santa Branca";"2018";"18,87";"-";"6,29";"12,58";"6,29";3546009
"Santa Clara d'Oeste";"2018";"-";"-";"-";"-";"-";3546108
"Santa Cruz da Conceição";"2018";"-";"-";"-";"-";"-";3546207
"Santa Cruz da Esperança";"2018";"-";"-";"-";"-";"-";3546256
"Santa Cruz das Palmeiras";"2018";"5,22";"-";"-";"5,22";"-";3546306
"Santa Cruz do Rio Pardo";"2018";"6,78";"5,08";"6,78";"-";"1,69";3546405
"Santa Ernestina";"2018";"13,33";"-";"-";"13,33";"-";3546504
"Santa Fé do Sul";"2018";"14,15";"11,79";"14,15";"-";"2,36";3546603
"Santa Gertrudes";"2018";"2,99";"2,99";"2,99";"-";"-";3546702
"Santa Isabel";"2018";"12,8";"7,11";"9,96";"2,84";"2,84";3546801
"Santa Lúcia";"2018";"30";"20";"30";"-";"10";3546900
"Santa Maria da Serra";"2018";"21,28";"10,64";"21,28";"-";"10,64";3547007
"Santa Mercedes";"2018";"-";"-";"-";"-";"-";3547106
"Santa Rita d'Oeste";"2018";"-";"-";"-";"-";"-";3547403
"Santa Rita do Passa Quatro";"2018";"12,24";"-";"4,08";"8,16";"4,08";3547502
"Santa Rosa de Viterbo";"2018";"6,69";"-";"3,34";"3,34";"3,34";3547601
"Santa Salete";"2018";"-";"-";"-";"-";"-";3547650
"Santana da Ponte Pensa";"2018";"-";"-";"-";"-";"-";3547205
"Santana de Parnaíba";"2018";"7,14";"3,12";"3,57";"3,57";"0,45";3547304
"Santo Anastácio";"2018";"4,76";"-";"4,76";"-";"4,76";3547700
"Santo André";"2018";"9,7";"4,46";"5,8";"3,9";"1,34";3547809
"Santo Antônio da Alegria";"2018";"13,16";"-";"-";"13,16";"-";3547908
"Santo Antônio de Posse";"2018";"3,36";"3,36";"3,36";"-";"-";3548005
"Santo Antônio do Aracanguá";"2018";"27,52";"27,52";"27,52";"-";"-";3548054
"Santo Antônio do Jardim";"2018";"-";"-";"-";"-";"-";3548104
"Santo Antônio do Pinhal";"2018";"11,63";"-";"-";"11,63";"-";3548203
"Santo Expedito";"2018";"-";"-";"-";"-";"-";3548302
"Santópolis do Aguapeí";"2018";"-";"-";"-";"-";"-";3548401
"Santos";"2018";"12,01";"3,93";"6,77";"5,24";"2,84";3548500
"São Bento do Sapucaí";"2018";"7,69";"7,69";"7,69";"-";"-";3548609
"São Bernardo do Campo";"2018";"9,47";"4,64";"6,78";"2,69";"2,14";3548708
"São Caetano do Sul";"2018";"9,9";"2,33";"5,82";"4,07";"3,49";3548807
"São Carlos";"2018";"9,26";"5,87";"7,72";"1,54";"1,85";3548906
"São Francisco";"2018";"-";"-";"-";"-";"-";3549003
"São João da Boa Vista";"2018";"8,57";"3,81";"4,76";"3,81";"0,95";3549102
"São João das Duas Pontes";"2018";"-";"-";"-";"-";"-";3549201
"São João de Iracema";"2018";"-";"-";"-";"-";"-";3549250
"São João do Pau d'Alho";"2018";"-";"-";"-";"-";"-";3549300
"São Joaquim da Barra";"2018";"15,71";"8,73";"12,22";"3,49";"3,49";3549409
"São José da Bela Vista";"2018";"38,46";"19,23";"38,46";"-";"19,23";3549508
"São José do Barreiro";"2018";"25";"-";"25";"-";"25";3549607
"São José do Rio Pardo";"2018";"7,36";"5,89";"7,36";"-";"1,47";3549706
"São José do Rio Preto";"2018";"8,69";"3,72";"6,2";"2,48";"2,48";3549805
"São José dos Campos";"2018";"10,71";"4,94";"7,21";"3,5";"2,27";3549904
"São Lourenço da Serra";"2018";"14,85";"14,85";"14,85";"-";"-";3549953
"São Luiz do Paraitinga";"2018";"-";"-";"-";"-";"-";3550001
"São Manuel";"2018";"6,33";"4,22";"4,22";"2,11";"-";3550100
"São Miguel Arcanjo";"2018";"21,9";"12,17";"14,6";"7,3";"2,43";3550209
"São Paulo";"2018";"11";"4,96";"7,35";"3,65";"2,39";3550308
"São Pedro";"2018";"9,66";"2,42";"4,83";"4,83";"2,42";3550407
"São Pedro do Turvo";"2018";"-";"-";"-";"-";"-";3550506
"São Roque";"2018";"14,1";"10,34";"13,16";"0,94";"2,82";3550605
"São Sebastião";"2018";"6,28";"3,14";"3,92";"2,35";"0,78";3550704
"São Sebastião da Grama";"2018";"-";"-";"-";"-";"-";3550803
"São Simão";"2018";"8,4";"-";"-";"8,4";"-";3550902
"São Vicente";"2018";"12,57";"4,63";"9,04";"3,53";"4,41";3551009
"Sarapuí";"2018";"9,17";"-";"9,17";"-";"9,17";3551108
"Sarutaiá";"2018";"-";"-";"-";"-";"-";3551207
"Sebastianópolis do Sul";"2018";"-";"-";"-";"-";"-";3551306
"Serra Azul";"2018";"18,52";"9,26";"9,26";"9,26";"-";3551405
"Serra Negra";"2018";"2,91";"2,91";"2,91";"-";"-";3551603
"Serrana";"2018";"6,43";"4,82";"4,82";"1,61";"-";3551504
"Sertãozinho";"2018";"10,2";"5,1";"7,65";"2,55";"2,55";3551702
