"Localidades";"Períodos";"Consumo de Energia Elétrica - Total (Em MWh)";"Consumo de Energia Elétrica - Industrial (Em MWh)";"Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh)";"Consumo de Energia Elétrica - Rural (Em MWh)";"Consumo de Energia Elétrica - Residencial (Em MWh)";"Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh)";"Cód. IBGE"
"Bocaina";"2019";"25782";"7674";"2419";"1379";"10640";"3669";3506805
"Bofete";"2019";"25456";"7106";"1864";"6586";"8439";"1462";3506904
"Boituva";"2019";"307215";"187255";"19441";"24683";"62595";"13240";3507001
"Bom Jesus dos Perdões";"2019";"98134";"67156";"5839";"1396";"19322";"4422";3507100
"Bom Sucesso de Itararé";"2019";"7492";"4474";"459";"399";"1631";"529";3507159
"Borá";"2019";"1508";"17";"217";"209";"583";"482";3507209
"Boracéia";"2019";"14471";"5530";"2309";"1418";"3901";"1313";3507308
"Borborema";"2019";"37101";"5519";"11494";"3692";"12663";"3733";3507407
"Borebi";"2019";"6072";"1268";"677";"1235";"1778";"1114";3507456
"Botucatu";"2019";"503712";"243133";"54869";"13765";"132808";"59137";3507506
"Bragança Paulista";"2019";"566950";"259790";"87197";"18520";"162779";"38664";3507605
"Braúna";"2019";"7671";"213";"835";"773";"4543";"1307";3507704
"Brejo Alegre";"2019";"4515";"174";"314";"1061";"2202";"764";3507753
"Brodowski";"2019";"47084";"4014";"5820";"3420";"24591";"9238";3507803
"Brotas";"2019";"64934";"17514";"8619";"12129";"21446";"5226";3507902
"Buri";"2019";"38923";"3305";"6490";"13675";"10502";"4951";3508009
"Buritama";"2019";"38409";"5122";"6810";"4237";"17591";"4649";3508108
"Buritizal";"2019";"8506";"1335";"828";"1494";"3097";"1751";3508207
"Cabrália Paulista";"2019";"7303";"829";"697";"1818";"2922";"1036";3508306
"Cabreúva";"2019";"268191";"187504";"27941";"8779";"35530";"8437";3508405
"Cachoeira Paulista";"2019";"57036";"3385";"12033";"2016";"25184";"14417";3508603
"Caconde";"2019";"22455";"353";"2940";"5853";"10227";"3082";3508702
"Cafelândia";"2019";"33728";"4869";"5140";"4064";"15205";"4450";3508801
"Caiabu";"2019";"5299";"34";"626";"997";"2702";"940";3508900
"Caieiras";"2019";"447891";"325671";"38832";"172";"72678";"10539";3509007
"Caiuá";"2019";"7720";"32";"734";"2849";"2342";"1764";3509106
"Cajamar";"2019";"401042";"216654";"96417";"52";"74210";"13708";3509205
"Cajati";"2019";"237946";"204337";"6241";"1865";"18820";"6685";3509254
"Cajobi";"2019";"19119";"383";"1629";"6821";"7870";"2416";3509304
"Cajuru";"2019";"42166";"8587";"4638";"6951";"18672";"3319";3509403
"Campina do Monte Alegre";"2019";"10026";"1014";"1069";"2694";"4187";"1062";3509452
"Campinas";"2019";"3315985";"606030";"1151682";"76045";"1147449";"334779";3509502
"Campo Limpo Paulista";"2019";"288289";"190044";"16607";"319";"64100";"17219";3509601
"Campos do Jordão";"2019";"131098";"17494";"40187";"619";"56920";"15880";3509700
"Campos Novos Paulista";"2019";"7516";"260";"853";"2318";"3020";"1065";3509809
"Cananéia";"2019";"20314";"871";"4342";"450";"10670";"3981";3509908
"Canas";"2019";"9186";"2756";"1733";"252";"3395";"1051";3509957
"Cândido Mota";"2019";"91151";"37175";"12863";"7801";"26027";"7285";3510005
"Cândido Rodrigues";"2019";"7068";"510";"602";"2337";"2507";"1111";3510104
"Canitar";"2019";"5724";"477";"319";"222";"3226";"1480";3510153
"Capão Bonito";"2019";"59426";"4282";"11030";"11286";"24808";"8020";3510203
"Capela do Alto";"2019";"32683";"2056";"2692";"5832";"15640";"6462";3510302
"Capivari";"2019";"241793";"159855";"14686";"5700";"46705";"14845";3510401
"Caraguatatuba";"2019";"352100";"86254";"88049";"601";"139665";"37530";3510500
"Carapicuíba";"2019";"612893";"55458";"95117";"-";"322314";"140005";3510609
"Cardoso";"2019";"23576";"297";"3863";"4868";"10780";"3769";3510708
"Casa Branca";"2019";"82227";"8385";"9422";"33312";"22024";"9083";3510807
"Cássia dos Coqueiros";"2019";"5463";"2";"265";"2698";"1884";"614";3510906
"Castilho";"2019";"33198";"536";"5770";"8784";"14201";"3908";3511003
"Catanduva";"2019";"343965";"87667";"81182";"5237";"127807";"42073";3511102
"Catiguá";"2019";"11534";"346";"2282";"839";"6084";"1983";3511201
"Caçapava";"2019";"450267";"298181";"48648";"2897";"77966";"22575";3508504
"Cedral";"2019";"32960";"11255";"4365";"2903";"10894";"3543";3511300
"Cerqueira César";"2019";"46527";"7031";"10025";"8231";"14173";"7066";3511409
"Cerquilho";"2019";"176546";"108418";"14309";"5412";"36337";"12070";3511508
"Cesário Lange";"2019";"54032";"14156";"15667";"8233";"11228";"4747";3511607
"Charqueada";"2019";"31780";"7256";"3307";"2085";"12919";"6213";3511706
"Chavantes";"2019";"20475";"2253";"2064";"1462";"9552";"5145";3557204
"Clementina";"2019";"11383";"1598";"1372";"350";"5929";"2133";3511904
"Colina";"2019";"115539";"83269";"5216";"5694";"15912";"5448";3512001
"Colômbia";"2019";"48338";"2157";"1172";"38145";"4868";"1996";3512100
"Conchal";"2019";"70933";"33026";"8834";"4302";"19360";"5411";3512209
"Conchas";"2019";"34404";"8434";"3605";"6684";"11725";"3955";3512308
"Cordeirópolis";"2019";"332463";"283860";"17871";"4222";"19465";"7044";3512407
"Coroados";"2019";"14138";"4995";"1022";"2161";"4738";"1222";3512506
"Coronel Macedo";"2019";"7187";"925";"720";"2683";"2235";"623";3512605
"Corumbataí";"2019";"32956";"23991";"1134";"4503";"2606";"721";3512704
"Cosmópolis";"2019";"146157";"68075";"13229";"1659";"51017";"12176";3512803
"Cosmorama";"2019";"59843";"43686";"2516";"5387";"6219";"2035";3512902
"Cotia";"2019";"716678";"249325";"180753";"3902";"247928";"34769";3513009
"Cravinhos";"2019";"116264";"49529";"10954";"10130";"30768";"14883";3513108
"Cristais Paulista";"2019";"18711";"1532";"1217";"6465";"7528";"1969";3513207
"Cruzália";"2019";"5320";"36";"1168";"1466";"1615";"1035";3513306
"Cruzeiro";"2019";"273982";"172922";"24546";"1248";"63642";"11624";3513405
"Cubatão";"2019";"2075542";"1821227";"71807";"-";"89184";"93324";3513504
"Cunha";"2019";"24989";"775";"2952";"6806";"12394";"2062";3513603
"Descalvado";"2019";"120725";"51754";"11477";"19476";"28671";"9348";3513702
"Diadema";"2019";"1065583";"532106";"160286";"-";"331725";"41466";3513801
"Dirce Reis";"2019";"5671";"3135";"337";"558";"1219";"422";3513850
"Divinolândia";"2019";"18678";"603";"2846";"7032";"7023";"1174";3513900
"Dobrada";"2019";"13593";"3824";"1152";"321";"6070";"2226";3514007
"Dois Córregos";"2019";"54376";"15871";"6645";"3909";"21608";"6343";3514106
"Dolcinópolis";"2019";"4266";"221";"520";"1138";"1844";"544";3514205
"Dourado";"2019";"47566";"29915";"1792";"6355";"6891";"2613";3514304
"Dracena";"2019";"101495";"9679";"27902";"4361";"46637";"12916";3514403
"Duartina";"2019";"23674";"4088";"3531";"2314";"10104";"3637";3514502
"Dumont";"2019";"24772";"7573";"2261";"1840";"9233";"3865";3514601
"Echaporã";"2019";"10101";"184";"1512";"2243";"4353";"1808";3514700
"Eldorado";"2019";"13203";"146";"2324";"1874";"7196";"1663";3514809
"Elias Fausto";"2019";"81780";"54140";"4260";"5065";"14147";"4169";3514908
"Elisiário";"2019";"5749";"168";"928";"713";"2847";"1092";3514924
"Embaúba";"2019";"4783";"1340";"246";"792";"1832";"572";3514957
"Embu das Artes";"2019";"486224";"176917";"89295";"1115";"196156";"22741";3515004
"Embu-Guaçu";"2019";"90684";"23309";"12022";"6177";"40703";"8474";3515103
"Emilianópolis";"2019";"4551";"71";"405";"973";"2356";"746";3515129
"Engenheiro Coelho";"2019";"93247";"62954";"9671";"5756";"12524";"2342";3515152
"Espírito Santo do Pinhal";"2019";"77050";"13587";"13776";"9944";"31773";"7969";3515186
"Espírito Santo do Turvo";"2019";"5851";"89";"686";"1291";"2726";"1060";3515194
"Estiva Gerbi";"2019";"18724";"4926";"3686";"601";"7093";"2418";3557303
"Estrela d'Oeste";"2019";"47620";"29151";"2601";"6408";"7175";"2285";3515202
"Estrela do Norte";"2019";"3513";"29";"359";"723";"1671";"731";3515301
"Euclides da Cunha Paulista";"2019";"12292";"118";"1402";"4814";"4416";"1542";3515350
"Fartura";"2019";"29184";"3861";"4313";"7324";"11030";"2655";3515400
"Fernando Prestes";"2019";"16548";"4029";"1876";"3333";"5327";"1982";3515608
"Fernandópolis";"2019";"152130";"11172";"43370";"7196";"69550";"20843";3515509
"Fernão";"2019";"2507";"31";"204";"992";"758";"523";3515657
"Ferraz de Vasconcelos";"2019";"283168";"118340";"38162";"128";"113022";"13515";3515707
"Flora Rica";"2019";"2318";"4";"241";"522";"1120";"430";3515806
"Floreal";"2019";"6378";"257";"894";"1865";"2363";"999";3515905
"Flórida Paulista";"2019";"17337";"1767";"2629";"1938";"7545";"3458";3516002
"Florínea";"2019";"8246";"6";"1161";"2412";"2468";"2200";3516101
"Franca";"2019";"713907";"128445";"140456";"8870";"330831";"105305";3516200
"Francisco Morato";"2019";"182717";"2631";"21347";"99";"93291";"65349";3516309
"Franco da Rocha";"2019";"230122";"79231";"39157";"906";"90675";"20153";3516408
"Gabriel Monteiro";"2019";"6388";"1027";"665";"1041";"2543";"1111";3516507
"Gália";"2019";"11602";"902";"1465";"2995";"4243";"1996";3516606
"Garça";"2019";"88304";"20951";"12430";"6937";"34578";"13408";3516705
"Gastão Vidigal";"2019";"5352";"21";"631";"1289";"2598";"812";3516804
"Gavião Peixoto";"2019";"39326";"20734";"591";"12254";"3656";"2091";3516853
"General Salgado";"2019";"18424";"381";"3454";"2751";"9072";"2766";3516903
"Getulina";"2019";"15971";"149";"1554";"4571";"6710";"2987";3517000
"Glicério";"2019";"11480";"1359";"1255";"3136";"4343";"1387";3517109
"Guaimbê";"2019";"8137";"1245";"809";"1140";"3789";"1154";3517307
"Guaíra";"2019";"127105";"22324";"12219";"41879";"39923";"10760";3517406
"Guaiçara";"2019";"26438";"9065";"1988";"3418";"9432";"2535";3517208
"Guapiara";"2019";"33953";"20483";"1586";"2790";"6925";"2169";3517604
"Guapiaçu";"2019";"78663";"38419";"5058";"12426";"18510";"4250";3517505
"Guará";"2019";"33230";"3841";"7289";"1393";"15640";"5067";3517703
"Guaraci";"2019";"20820";"2383";"1777";"4328";"9131";"3201";3517901
"Guarani d'Oeste";"2019";"4261";"459";"309";"709";"1561";"1223";3518008
"Guarantã";"2019";"18503";"8260";"1843";"2129";"4709";"1562";3518107
"Guararapes";"2019";"95323";"30630";"9143";"15717";"32623";"7210";3518206
"Guararema";"2019";"202840";"142746";"15904";"3098";"28290";"12801";3518305
"Guaratinguetá";"2019";"414678";"207819";"59030";"5234";"109571";"33025";3518404
"Guaraçaí";"2019";"16043";"3049";"2103";"2925";"6393";"1573";3517802
"Guareí";"2019";"21594";"2854";"1284";"6282";"7610";"3564";3518503
"Guariba";"2019";"56083";"6171";"7612";"1822";"30527";"9951";3518602
"Guarujá";"2019";"844156";"113717";"326511";"1141";"315007";"87780";3518701
"Guarulhos";"2019";"3364850";"1323341";"908696";"795";"938726";"193292";3518800
"Guatapará";"2019";"15353";"1686";"2237";"3517";"6523";"1389";3518859
"Guzolândia";"2019";"6776";"160";"798";"1449";"3073";"1295";3518909
"Herculândia";"2019";"21471";"7439";"2298";"2183";"7442";"2108";3519006
"Holambra";"2019";"80930";"19869";"8817";"37070";"9738";"5436";3519055
"Hortolândia";"2019";"584962";"161831";"196881";"492";"191479";"34279";3519071
"Iacanga";"2019";"24946";"2872";"4279";"5268";"9807";"2719";3519105
"Iacri";"2019";"12116";"3108";"1421";"1820";"4079";"1688";3519204
"Iaras";"2019";"10917";"182";"1350";"3666";"2602";"3116";3519253
"Ibaté";"2019";"57946";"13876";"7657";"4341";"24285";"7786";3519303
"Ibirá";"2019";"22863";"2821";"3565";"2096";"11091";"3290";3519402
"Ibirarema";"2019";"16913";"7244";"1632";"1163";"4811";"2063";3519501
"Ibitinga";"2019";"129007";"24141";"22845";"5905";"56998";"19118";3519600
"Ibiúna";"2019";"229892";"24400";"19869";"82055";"37494";"66074";3519709
"Icém";"2019";"16850";"5697";"1455";"1094";"5824";"2780";3519808
"Iepê";"2019";"16696";"461";"3849";"4071";"6016";"2300";3519907
"Igarapava";"2019";"45832";"4952";"9402";"1752";"23077";"6649";3520103
"Igaratá";"2019";"21247";"2122";"2905";"1553";"12254";"2413";3520202
"Igaraçu do Tietê";"2019";"38834";"7811";"4266";"281";"18380";"8097";3520004
"Iguape";"2019";"39772";"862";"6436";"2009";"24082";"6384";3520301
"Ilha Comprida";"2019";"30422";"327";"5150";"2";"20065";"4878";3520426
"Ilha Solteira";"2019";"61971";"2139";"12851";"2962";"30164";"13856";3520442
"Ilhabela";"2019";"85840";"780";"25903";"236";"48700";"10221";3520400
"Indaiatuba";"2019";"890233";"379004";"160026";"10583";"267075";"73545";3520509
"Indiana";"2019";"7323";"186";"815";"1198";"3981";"1142";3520608
"Indiaporã";"2019";"8433";"70";"1189";"2415";"3250";"1509";3520707
"Inúbia Paulista";"2019";"8049";"12";"2918";"1064";"2775";"1281";3520806
"Ipaussu";"2019";"24678";"5993";"3607";"1120";"10434";"3524";3520905
"Iperó";"2019";"76085";"24586";"6741";"1497";"22001";"21260";3521002
"Ipeúna";"2019";"33000";"17740";"1869";"5584";"5498";"2308";3521101
"Ipiguá";"2019";"12992";"2240";"367";"5968";"3454";"963";3521150
"Iporanga";"2019";"3969";"2";"598";"402";"2146";"821";3521200
"Ipuã";"2019";"36698";"3801";"3460";"12373";"13075";"3989";3521309
"Iracemápolis";"2019";"56216";"19180";"9832";"3290";"18386";"5528";3521408
"Irapuã";"2019";"13445";"232";"1812";"4445";"5378";"1578";3521507
"Irapuru";"2019";"10588";"115";"1586";"1570";"4263";"3054";3521606
"Itaberá";"2019";"42821";"1214";"6279";"23915";"8534";"2879";3521705
"Itaí";"2019";"102127";"317";"5389";"77741";"13649";"5031";3521804
"Itajobi";"2019";"44658";"8952";"6550";"10912";"14642";"3603";3521903
"Itaju";"2019";"9455";"1565";"609";"2970";"3047";"1262";3522000
"Itanhaém";"2019";"216242";"1458";"43861";"13856";"128657";"28408";3522109
"Itaoca";"2019";"2641";"7";"291";"356";"1621";"366";3522158
"Itapecerica da Serra";"2019";"262762";"56408";"61247";"9391";"114945";"20770";3522208
"Itapetininga";"2019";"521074";"291127";"47503";"26968";"119530";"35946";3522307
"Itapeva";"2019";"413334";"276806";"28344";"34033";"55642";"18509";3522406
"Itapevi";"2019";"476828";"206184";"89989";"50";"151484";"29121";3522505
"Itapira";"2019";"257908";"139785";"27718";"9051";"61849";"19504";3522604
"Itapirapuã Paulista";"2019";"3107";"15";"396";"365";"1787";"543";3522653
"Itápolis";"2019";"110174";"33065";"14827";"11953";"39197";"11132";3522703
"Itaporanga";"2019";"18058";"460";"2835";"3934";"8292";"2538";3522802
"Itapuí";"2019";"55256";"26024";"5587";"9083";"11159";"3402";3522901
"Itapura";"2019";"11092";"494";"783";"5176";"3368";"1272";3523008
"Itaquaquecetuba";"2019";"554771";"194124";"106058";"521";"206198";"47871";3523107
"Itararé";"2019";"68683";"12938";"16477";"3868";"27111";"8288";3523206
"Itariri";"2019";"17728";"417";"5080";"3038";"7479";"1714";3523305
"Itatiba";"2019";"406804";"188729";"57871";"11749";"115493";"32962";3523404
"Itatinga";"2019";"27717";"3048";"3091";"5473";"11924";"4181";3523503
"Itirapina";"2019";"55663";"21591";"6302";"11357";"10765";"5647";3523602
"Itirapuã";"2019";"8298";"178";"655";"2337";"3872";"1256";3523701
"Itobi";"2019";"20237";"3756";"1631";"8156";"5181";"1513";3523800
"Itu";"2019";"621711";"281251";"107530";"15527";"179771";"37632";3523909
"Itupeva";"2019";"357047";"216071";"49077";"7279";"69546";"15074";3524006
"Ituverava";"2019";"85129";"11656";"18217";"6369";"38648";"10238";3524105
"Jaborandi";"2019";"10135";"38";"1203";"1682";"5409";"1803";3524204
"Jaboticabal";"2019";"188757";"34474";"44458";"14377";"75255";"20192";3524303
"Jacareí";"2019";"1117501";"762034";"108297";"3793";"194720";"48657";3524402
"Jaci";"2019";"31802";"17276";"2962";"3062";"6277";"2225";3524501
"Jacupiranga";"2019";"23238";"2030";"5418";"2255";"10494";"3041";3524600
"Jaguariúna";"2019";"393544";"267054";"44116";"3541";"57618";"21215";3524709
"Jales";"2019";"127127";"23615";"31823";"8826";"50070";"12794";3524808
"Jambeiro";"2019";"7714";"2764";"764";"430";"2729";"1027";3524907
"Jandira";"2019";"243592";"75047";"51259";"2";"96913";"20370";3525003
"Jardinópolis";"2019";"96872";"17325";"16422";"9218";"41938";"11969";3525102
"Jarinu";"2019";"125772";"44791";"36734";"7377";"31262";"5607";3525201
"Jaú";"2019";"343103";"69804";"82188";"5977";"137549";"47585";3525300
"Jeriquara";"2019";"7204";"165";"526";"3389";"2397";"727";3525409
"Joanópolis";"2019";"23239";"2688";"5223";"3408";"9773";"2148";3525508
"João Ramalho";"2019";"6002";"42";"717";"1017";"2863";"1363";3525607
"José Bonifácio";"2019";"95645";"26927";"12322";"10070";"36440";"9886";3525706
"Júlio Mesquita";"2019";"5040";"22";"609";"421";"2900";"1089";3525805
"Jumirim";"2019";"22787";"15163";"662";"3887";"2025";"1050";3525854
"Jundiaí";"2019";"2125354";"1103446";"452743";"10151";"438687";"120327";3525904
"Junqueirópolis";"2019";"35090";"997";"7982";"2802";"16480";"6828";3526001
"Juquiá";"2019";"21631";"884";"4003";"2517";"11005";"3222";3526100
"Juquitiba";"2019";"42752";"5713";"6907";"537";"25646";"3948";3526209
"Lagoinha";"2019";"6840";"60";"709";"2375";"2889";"808";3526308
"Laranjal Paulista";"2019";"187755";"142054";"11906";"5893";"20535";"7367";3526407
"Lavínia";"2019";"11578";"16";"1481";"1766";"4017";"4298";3526506
"Lavrinhas";"2019";"8833";"1061";"1149";"727";"4609";"1286";3526605
"Leme";"2019";"253243";"98844";"40171";"7759";"73858";"32611";3526704
"Lençóis Paulista";"2019";"197016";"87450";"23515";"4747";"58197";"23107";3526803
"Limeira";"2019";"1455551";"908333";"183303";"29122";"258090";"76703";3526902
"Lindóia";"2019";"31793";"17965";"3715";"1281";"6457";"2375";3527009
"Lins";"2019";"189595";"44967";"41501";"4218";"78654";"20254";3527108
"Lorena";"2019";"246103";"114934";"36395";"2787";"72090";"19896";3527207
"Lourdes";"2019";"3769";"111";"541";"1010";"1440";"667";3527256
"Louveira";"2019";"282436";"179765";"40508";"5745";"44555";"11864";3527306
"Lucélia";"2019";"32924";"2955";"5429";"2570";"15534";"6436";3527405
"Lucianópolis";"2019";"3772";"106";"414";"891";"1582";"779";3527504
"Luís Antônio";"2019";"265048";"242661";"1789";"6204";"10507";"3888";3527603
"Luiziânia";"2019";"6516";"55";"630";"853";"3755";"1222";3527702
"Lupércio";"2019";"7042";"1969";"556";"866";"2728";"924";3527801
"Lutécia";"2019";"4952";"526";"409";"1211";"1802";"1004";3527900
"Macatuba";"2019";"36576";"13858";"4003";"1171";"12802";"4743";3528007
"Macaubal";"2019";"18031";"2199";"2152";"4668";"6877";"2136";3528106
"Macedônia";"2019";"6834";"847";"565";"1930";"2635";"857";3528205
"Magda";"2019";"6390";"272";"914";"1761";"2474";"969";3528304
