"Localidades";"Períodos";"Consumo de Energia Elétrica - Total (Em MWh)";"Consumo de Energia Elétrica - Industrial (Em MWh)";"Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh)";"Consumo de Energia Elétrica - Rural (Em MWh)";"Consumo de Energia Elétrica - Residencial (Em MWh)";"Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh)";"Cód. IBGE"
"Mirassol";"2019";"157849";"43743";"26062";"4614";"65559";"17870";3530300
"Mirassolândia";"2019";"15075";"4608";"669";"4772";"3766";"1260";3530409
"Mococa";"2019";"176151";"48115";"24501";"29883";"57776";"15877";3530508
"Mogi das Cruzes";"2019";"1316460";"615622";"209912";"17079";"341334";"132513";3530607
"Mogi Guaçu";"2019";"726613";"457651";"82904";"34652";"112696";"38710";3530706
"Mogi Mirim";"2019";"442293";"185630";"120921";"33797";"75685";"26260";3530805
"Mombuca";"2019";"12366";"4623";"2707";"1232";"2631";"1173";3530904
"Mongaguá";"2019";"111851";"1979";"23777";"201";"69043";"16850";3531100
"Monte Alegre do Sul";"2019";"16762";"1365";"2697";"4830";"6106";"1763";3531209
"Monte Alto";"2019";"184658";"91305";"15633";"16364";"45690";"15666";3531308
"Monte Aprazível";"2019";"40771";"6109";"6045";"2662";"20595";"5361";3531407
"Monte Azul Paulista";"2019";"40472";"1378";"7052";"9759";"16744";"5539";3531506
"Monte Castelo";"2019";"6859";"1017";"487";"1320";"3148";"888";3531605
"Monte Mor";"2019";"174788";"86835";"15106";"7441";"52866";"12539";3531803
"Monteiro Lobato";"2019";"6003";"549";"810";"823";"3173";"649";3531704
"Monções";"2019";"6242";"2310";"617";"746";"1743";"826";3531001
"Morro Agudo";"2019";"52727";"4966";"7099";"6764";"25163";"8734";3531902
"Morungaba";"2019";"90745";"70768";"2814";"3900";"10305";"2958";3532009
"Motuca";"2019";"6667";"647";"603";"1211";"2808";"1398";3532058
"Murutinga do Sul";"2019";"6514";"38";"641";"1907";"3086";"841";3532108
"Nantes";"2019";"4910";"18";"1235";"637";"2060";"960";3532157
"Narandiba";"2019";"10351";"1116";"3509";"1083";"3258";"1386";3532207
"Natividade da Serra";"2019";"9086";"60";"1035";"1977";"4814";"1200";3532306
"Nazaré Paulista";"2019";"36017";"8374";"5793";"3044";"16475";"2331";3532405
"Neves Paulista";"2019";"21515";"3066";"4303";"2771";"8858";"2517";3532504
"Nhandeara";"2019";"20951";"1386";"4357";"3999";"8479";"2730";3532603
"Nipoã";"2019";"9315";"1782";"972";"2089";"3446";"1027";3532702
"Nova Aliança";"2019";"11684";"518";"2343";"1285";"5268";"2270";3532801
"Nova Campina";"2019";"33019";"26111";"1047";"500";"3895";"1466";3532827
"Nova Canaã Paulista";"2019";"3708";"32";"308";"1572";"1232";"564";3532843
"Nova Castilho";"2019";"2759";"33";"246";"1257";"745";"478";3532868
"Nova Europa";"2019";"12771";"710";"1406";"1004";"7322";"2328";3532900
"Nova Granada";"2019";"39507";"1426";"4326";"14388";"15189";"4178";3533007
"Nova Guataporanga";"2019";"3098";"-";"390";"461";"1654";"593";3533106
"Nova Independência";"2019";"6929";"92";"808";"946";"3118";"1965";3533205
"Nova Luzitânia";"2019";"4743";"84";"582";"848";"2370";"858";3533304
"Nova Odessa";"2019";"393826";"284367";"34448";"1194";"57752";"16065";3533403
"Novais";"2019";"6365";"56";"1744";"525";"3063";"977";3533254
"Novo Horizonte";"2019";"84517";"8292";"26934";"2652";"37720";"8918";3533502
"Nuporanga";"2019";"50277";"32384";"4558";"4199";"6412";"2724";3533601
"Ocauçu";"2019";"7712";"200";"904";"2634";"2968";"1006";3533700
"Óleo";"2019";"5744";"44";"221";"3108";"1502";"868";3533809
"Olímpia";"2019";"179049";"35192";"57953";"9722";"57815";"18368";3533908
"Onda Verde";"2019";"12165";"945";"4246";"2009";"3783";"1181";3534005
"Oriente";"2019";"9629";"1209";"1315";"688";"4931";"1486";3534104
"Orindiúva";"2019";"14678";"255";"5082";"2203";"5111";"2028";3534203
"Orlândia";"2019";"187512";"109957";"18592";"4283";"36967";"17712";3534302
"Osasco";"2019";"1508952";"218322";"576245";"-";"635767";"78618";3534401
"Oscar Bressane";"2019";"4725";"725";"575";"896";"1781";"749";3534500
"Osvaldo Cruz";"2019";"62286";"5581";"12264";"6500";"27033";"10908";3534609
"Ourinhos";"2019";"220638";"34678";"49160";"2596";"95527";"38676";3534708
"Ouro Verde";"2019";"10575";"195";"1483";"1097";"5896";"1904";3534807
"Ouroeste";"2019";"21201";"1940";"4044";"3845";"9010";"2361";3534757
"Pacaembu";"2019";"20280";"152";"2957";"2508";"8441";"6222";3534906
"Palestina";"2019";"22409";"1736";"1690";"7496";"9070";"2417";3535002
"Palmares Paulista";"2019";"11125";"126";"1585";"270";"7621";"1523";3535101
"Palmeira d'Oeste";"2019";"18122";"246";"3076";"5338";"7326";"2136";3535200
"Palmital";"2019";"88848";"45996";"8558";"9771";"18140";"6383";3535309
"Panorama";"2019";"43378";"17793";"5596";"1311";"13415";"5263";3535408
"Paraguaçu Paulista";"2019";"81130";"18903";"12748";"6361";"33246";"9872";3535507
"Paraibuna";"2019";"25724";"118";"2457";"14573";"6354";"2222";3535606
"Paraíso";"2019";"13363";"3131";"1128";"2076";"5437";"1592";3535705
"Paranapanema";"2019";"42172";"134";"1856";"31644";"6123";"2415";3535804
"Paranapuã";"2019";"10621";"59";"927";"5391";"3231";"1014";3535903
"Parapuã";"2019";"16343";"1498";"3180";"1085";"7686";"2895";3536000
"Pardinho";"2019";"23172";"4736";"6318";"3265";"6412";"2441";3536109
"Pariquera-Açu";"2019";"28852";"1185";"7573";"2546";"12937";"4610";3536208
"Parisi";"2019";"5789";"462";"554";"2006";"2025";"742";3536257
"Patrocínio Paulista";"2019";"55745";"32565";"3889";"5583";"10521";"3187";3536307
"Paulicéia";"2019";"20199";"4351";"3575";"1030";"8603";"2639";3536406
"Paulínia";"2019";"1227363";"957964";"82689";"3311";"114150";"69249";3536505
"Paulistânia";"2019";"3657";"100";"186";"1561";"1188";"620";3536570
"Paulo de Faria";"2019";"15233";"187";"2098";"4444";"6045";"2460";3536604
"Pederneiras";"2019";"155741";"84367";"15481";"4509";"37633";"13750";3536703
"Pedra Bela";"2019";"10516";"802";"1115";"4809";"2708";"1082";3536802
"Pedranópolis";"2019";"6790";"54";"482";"3932";"1673";"648";3536901
"Pedregulho";"2019";"25660";"514";"2767";"8728";"10331";"3319";3537008
"Pedreira";"2019";"202084";"127962";"19273";"2229";"41343";"11277";3537107
"Pedrinhas Paulista";"2019";"8507";"136";"2794";"1476";"2758";"1343";3537156
"Pedro de Toledo";"2019";"15966";"125";"2237";"4746";"6993";"1865";3537206
"Penápolis";"2019";"143672";"31069";"25938";"6108";"65077";"15481";3537305
"Pereira Barreto";"2019";"52820";"2276";"10346";"10317";"22896";"6985";3537404
"Pereiras";"2019";"28292";"2859";"1454";"17058";"5224";"1696";3537503
"Peruíbe";"2019";"142314";"1095";"33354";"3375";"81228";"23263";3537602
"Piacatu";"2019";"8839";"236";"1053";"1054";"4592";"1904";3537701
"Piedade";"2019";"94008";"6036";"13910";"36787";"29540";"7735";3537800
"Pilar do Sul";"2019";"42495";"2785";"8689";"9263";"17691";"4067";3537909
"Pindamonhangaba";"2019";"1389945";"1154933";"67177";"5694";"125460";"36681";3538006
"Pindorama";"2019";"32074";"11383";"3422";"1617";"12340";"3312";3538105
"Pinhalzinho";"2019";"27722";"5077";"3913";"5150";"11455";"2127";3538204
"Piquerobi";"2019";"6251";"52";"594";"1931";"2315";"1359";3538303
"Piquete";"2019";"17959";"4156";"2165";"738";"9177";"1723";3538501
"Piracaia";"2019";"52787";"13147";"6844";"4855";"22797";"5144";3538600
"Piracicaba";"2019";"2172572";"1307345";"269983";"13730";"420301";"161214";3538709
"Piraju";"2019";"51404";"4492";"8824";"5820";"23330";"8938";3538808
"Pirajuí";"2019";"39416";"1727";"5814";"6228";"17201";"8446";3538907
"Pirangi";"2019";"31302";"8389";"2992";"6180";"10108";"3633";3539004
"Pirapora do Bom Jesus";"2019";"62399";"44657";"1875";"26";"11625";"4217";3539103
"Pirapozinho";"2019";"71223";"28340";"8912";"5848";"21288";"6835";3539202
"Pirassununga";"2019";"191548";"35214";"45975";"8729";"64560";"37070";3539301
"Piratininga";"2019";"25213";"779";"3697";"3551";"14218";"2968";3539400
"Pitangueiras";"2019";"56245";"6901";"8805";"4111";"28717";"7711";3539509
"Planalto";"2019";"7396";"159";"1059";"1306";"3671";"1201";3539608
"Platina";"2019";"5504";"145";"362";"2420";"1795";"781";3539707
"Poá";"2019";"255381";"83431";"37834";"65";"83636";"50415";3539806
"Poloni";"2019";"17811";"8156";"1001";"2128";"5091";"1434";3539905
"Pompéia";"2019";"81581";"46422";"7975";"2524";"18137";"6523";3540002
"Pongaí";"2019";"6030";"51";"1180";"1067";"2823";"909";3540101
"Pontal";"2019";"53284";"3096";"7749";"1259";"31674";"9506";3540200
"Pontalinda";"2019";"5405";"40";"640";"1554";"2423";"749";3540259
"Pontes Gestal";"2019";"6761";"111";"1823";"1855";"2097";"875";3540309
"Populina";"2019";"8374";"74";"1005";"2937";"3303";"1055";3540408
"Porangaba";"2019";"21471";"1344";"2334";"6328";"8918";"2546";3540507
"Porto Feliz";"2019";"224492";"109717";"26840";"17545";"58344";"12046";3540606
"Porto Ferreira";"2019";"284577";"188339";"22063";"26448";"37458";"10268";3540705
"Potim";"2019";"30801";"10900";"2074";"335";"13132";"4360";3540754
"Potirendaba";"2019";"45456";"15010";"3909";"4535";"16598";"5404";3540804
"Pracinha";"2019";"2700";"46";"159";"264";"954";"1278";3540853
"Pradópolis";"2019";"30793";"4797";"2884";"1489";"16012";"5611";3540903
"Praia Grande";"2019";"587085";"8426";"146277";"-";"376566";"55815";3541000
"Pratânia";"2019";"10937";"259";"2149";"4084";"3633";"812";3541059
"Presidente Alves";"2019";"6604";"302";"846";"1656";"2865";"936";3541109
"Presidente Bernardes";"2019";"22774";"507";"3887";"3341";"10092";"4947";3541208
"Presidente Epitácio";"2019";"95120";"25477";"15610";"5895";"37288";"10850";3541307
"Presidente Prudente";"2019";"603802";"71647";"197095";"8662";"242884";"83513";3541406
"Presidente Venceslau";"2019";"70869";"1255";"14859";"5828";"35946";"12980";3541505
"Promissão";"2019";"52166";"2036";"9390";"4897";"29500";"6342";3541604
"Quadra";"2019";"11049";"175";"1153";"6651";"2241";"829";3541653
"Quatá";"2019";"60947";"39909";"3165";"4206";"10130";"3536";3541703
"Queiroz";"2019";"8970";"2270";"349";"2945";"2514";"892";3541802
"Queluz";"2019";"14641";"1292";"4936";"999";"5886";"1527";3541901
"Quintana";"2019";"20658";"10164";"1772";"1439";"5326";"1957";3542008
"Rafard";"2019";"26618";"12125";"2907";"1284";"7182";"3119";3542107
"Rancharia";"2019";"76944";"26384";"10443";"9086";"23971";"7060";3542206
"Redenção da Serra";"2019";"6940";"10";"764";"2573";"2951";"642";3542305
"Regente Feijó";"2019";"46588";"10965";"9717";"4888";"15512";"5506";3542404
"Reginópolis";"2019";"14088";"98";"1002";"5502";"4855";"2630";3542503
"Registro";"2019";"102095";"5274";"30137";"4178";"45226";"17279";3542602
"Restinga";"2019";"16634";"4708";"1334";"2901";"4447";"3244";3542701
"Ribeira";"2019";"3223";"16";"348";"331";"1954";"574";3542800
"Ribeirão Bonito";"2019";"33047";"1432";"14724";"5971";"8550";"2370";3542909
"Ribeirão Branco";"2019";"15938";"1034";"2566";"2751";"7548";"2039";3543006
"Ribeirão Corrente";"2019";"8247";"560";"580";"2862";"2877";"1368";3543105
"Ribeirão do Sul";"2019";"8605";"167";"2178";"2139";"3086";"1035";3543204
"Ribeirão dos Índios";"2019";"3647";"140";"295";"955";"1505";"752";3543238
"Ribeirão Grande";"2019";"8678";"2221";"612";"1429";"3404";"1013";3543253
"Ribeirão Pires";"2019";"221836";"74024";"34179";"78";"94272";"19284";3543303
"Ribeirão Preto";"2019";"1961336";"196771";"644555";"5033";"803732";"311244";3543402
"Rifaina";"2019";"14120";"2210";"1260";"2087";"6069";"2494";3543600
"Rincão";"2019";"22996";"3627";"1676";"7223";"8194";"2275";3543709
"Rinópolis";"2019";"17587";"2560";"2001";"3454";"7070";"2502";3543808
"Rio Claro";"2019";"1019461";"648370";"117988";"18763";"172649";"61691";3543907
"Rio das Pedras";"2019";"102595";"58174";"10196";"1534";"26265";"6426";3544004
"Rio Grande da Serra";"2019";"57915";"4717";"16355";"29";"29863";"6952";3544103
"Riolândia";"2019";"18209";"658";"2006";"4982";"6382";"4181";3544202
"Riversul";"2019";"6198";"228";"649";"1693";"2755";"873";3543501
"Rosana";"2019";"31496";"576";"6300";"3656";"14758";"6206";3544251
"Roseira";"2019";"21949";"4763";"4836";"775";"8041";"3534";3544301
"Rubiácea";"2019";"4540";"1";"324";"1202";"2093";"920";3544400
"Rubinéia";"2019";"10650";"67";"1024";"3473";"4475";"1611";3544509
"Sabino";"2019";"10124";"58";"1208";"1798";"5323";"1737";3544608
"Sagres";"2019";"3102";"103";"318";"624";"1456";"601";3544707
"Sales";"2019";"14955";"566";"2288";"1777";"7518";"2806";3544806
"Sales Oliveira";"2019";"29887";"7723";"2906";"3774";"11106";"4377";3544905
"Salesópolis";"2019";"20688";"35";"2821";"4365";"11225";"2243";3545001
"Salmourão";"2019";"5212";"23";"691";"245";"3129";"1124";3545100
"Saltinho";"2019";"23922";"8588";"2318";"2449";"8596";"1970";3545159
"Salto";"2019";"624664";"422255";"48838";"2112";"125427";"26031";3545209
"Salto de Pirapora";"2019";"359450";"302870";"9332";"1767";"36298";"9183";3545308
"Salto Grande";"2019";"18072";"2394";"2340";"3787";"6919";"2632";3545407
"Sandovalina";"2019";"6866";"359";"2028";"1375";"2108";"996";3545506
"Santa Adélia";"2019";"27456";"217";"5555";"3506";"13832";"4347";3545605
"Santa Albertina";"2019";"12373";"154";"2802";"2102";"5587";"1728";3545704
"Santa Bárbara d'Oeste";"2019";"661341";"363550";"77163";"1628";"169263";"49737";3545803
"Santa Branca";"2019";"25149";"5466";"2941";"1021";"11773";"3948";3546009
"Santa Clara d'Oeste";"2019";"9159";"604";"1884";"3844";"2108";"718";3546108
"Santa Cruz da Conceição";"2019";"30639";"21530";"1207";"2525";"3370";"2007";3546207
"Santa Cruz da Esperança";"2019";"3745";"120";"370";"966";"1656";"634";3546256
"Santa Cruz das Palmeiras";"2019";"47670";"1793";"13415";"5021";"20698";"6744";3546306
"Santa Cruz do Rio Pardo";"2019";"146557";"59978";"23676";"10130";"40564";"12210";3546405
"Santa Ernestina";"2019";"7652";"27";"993";"513";"4452";"1668";3546504
"Santa Fé do Sul";"2019";"98984";"26396";"20054";"4742";"37254";"10538";3546603
"Santa Gertrudes";"2019";"400059";"369836";"6460";"487";"17350";"5925";3546702
"Santa Isabel";"2019";"223599";"38169";"29027";"5230";"42617";"108557";3546801
"Santa Lúcia";"2019";"9479";"29";"958";"589";"5718";"2185";3546900
"Santa Maria da Serra";"2019";"15334";"4497";"2879";"1783";"4919";"1256";3547007
"Santa Mercedes";"2019";"4766";"38";"544";"1093";"2225";"866";3547106
"Santa Rita d'Oeste";"2019";"5440";"188";"577";"1752";"2054";"869";3547403
"Santa Rita do Passa Quatro";"2019";"65461";"20272";"10135";"5421";"21498";"8135";3547502
"Santa Rosa de Viterbo";"2019";"196879";"163435";"5801";"3158";"19566";"4919";3547601
"Santa Salete";"2019";"4963";"15";"437";"2983";"1046";"483";3547650
"Santana da Ponte Pensa";"2019";"3461";"19";"482";"1302";"1062";"597";3547205
"Santana de Parnaíba";"2019";"559232";"174653";"176872";"75";"180509";"27123";3547304
"Santo Anastácio";"2019";"32989";"2644";"6333";"3344";"16228";"4440";3547700
"Santo André";"2019";"2803407";"1421927";"564630";"1";"702746";"114104";3547809
"Santo Antônio da Alegria";"2019";"10573";"412";"826";"2969";"4827";"1539";3547908
"Santo Antônio de Posse";"2019";"53606";"3319";"15575";"13236";"15395";"6082";3548005
"Santo Antônio do Aracanguá";"2019";"23959";"490";"3178";"7715";"9595";"2981";3548054
"Santo Antônio do Jardim";"2019";"10085";"903";"991";"4406";"2868";"916";3548104
"Santo Antônio do Pinhal";"2019";"12802";"108";"2507";"2120";"6291";"1776";3548203
"Santo Expedito";"2019";"4418";"18";"619";"464";"2414";"903";3548302
"Santópolis do Aguapeí";"2019";"5738";"15";"788";"288";"3207";"1440";3548401
"Santos";"2019";"1415304";"128335";"613530";"-";"589977";"83463";3548500
"São Bento do Sapucaí";"2019";"15320";"226";"2770";"2879";"7799";"1646";3548609
"São Bernardo do Campo";"2019";"2604463";"1174980";"508136";"97";"723563";"197687";3548708
"São Caetano do Sul";"2019";"760496";"280655";"194643";"-";"194818";"90380";3548807
"São Carlos";"2019";"896783";"372205";"143712";"27210";"247273";"106384";3548906
"São Francisco";"2019";"4553";"55";"462";"1316";"1970";"750";3549003
"São João da Boa Vista";"2019";"382919";"222308";"50302";"14233";"75686";"20390";3549102
"São João das Duas Pontes";"2019";"3755";"17";"450";"760";"1902";"626";3549201
"São João de Iracema";"2019";"3015";"24";"257";"885";"1225";"624";3549250
"São João do Pau d'Alho";"2019";"4301";"48";"765";"757";"1900";"831";3549300
"São Joaquim da Barra";"2019";"129393";"46411";"18778";"2688";"45003";"16513";3549409
"São José da Bela Vista";"2019";"11162";"110";"1069";"3527";"5310";"1147";3549508
"São José do Barreiro";"2019";"5628";"362";"694";"1302";"2542";"728";3549607
"São José do Rio Pardo";"2019";"187966";"81334";"25272";"16554";"45850";"18954";3549706
"São José do Rio Preto";"2019";"1240150";"91575";"404246";"43745";"558804";"141780";3549805
"São José dos Campos";"2019";"1920110";"694725";"456219";"4004";"580434";"184728";3549904
"São Lourenço da Serra";"2019";"23879";"613";"2816";"7684";"10721";"2044";3549953
"São Luiz do Paraitinga";"2019";"16175";"359";"2061";"5243";"6672";"1840";3550001
"São Manuel";"2019";"67961";"10022";"12024";"4465";"30766";"10684";3550100
"São Miguel Arcanjo";"2019";"42740";"2071";"5628";"12859";"17323";"4859";3550209
"São Paulo";"2019";"27511918";"2531285";"10726895";"2479";"11231739";"3019519";3550308
"São Pedro";"2019";"74939";"3821";"14887";"6031";"39111";"11088";3550407
"São Pedro do Turvo";"2019";"18531";"8688";"1095";"2790";"4231";"1727";3550506
"São Roque";"2019";"210766";"54668";"46477";"4798";"78978";"25845";3550605
"São Sebastião";"2019";"359616";"140566";"62332";"88";"126438";"30191";3550704
"São Sebastião da Grama";"2019";"16321";"1469";"1861";"4251";"6808";"1932";3550803
"São Simão";"2019";"39884";"16871";"5177";"2547";"11569";"3720";3550902
"São Vicente";"2019";"494276";"33791";"103423";"-";"308260";"48803";3551009
"Sarapuí";"2019";"21869";"5114";"1438";"5494";"7136";"2687";3551108
"Sarutaiá";"2019";"4456";"43";"599";"836";"2139";"840";3551207
"Sebastianópolis do Sul";"2019";"9426";"721";"3646";"1647";"2413";"1000";3551306
"Serra Azul";"2019";"15263";"165";"1204";"1665";"7829";"4400";3551405
"Serra Negra";"2019";"61923";"2907";"15897";"6219";"27684";"9217";3551603
"Serrana";"2019";"62405";"7092";"8536";"908";"35594";"10274";3551504
"Sertãozinho";"2019";"336391";"93457";"63682";"2405";"130074";"46773";3551702
"Sete Barras";"2019";"14861";"109";"2031";"3734";"7261";"1726";3551801
"Severínia";"2019";"24307";"1743";"3983";"3016";"11475";"4090";3551900
"Silveiras";"2019";"7304";"187";"772";"1620";"3727";"997";3552007
"Socorro";"2019";"92940";"20243";"15724";"18368";"32060";"6545";3552106
"Sorocaba";"2019";"2097824";"846482";"424589";"5464";"681161";"140128";3552205
"Sud Mennucci";"2019";"15598";"186";"2927";"4581";"6032";"1872";3552304
"Sumaré";"2019";"979301";"556760";"124915";"11836";"243209";"42582";3552403
"Suzanápolis";"2019";"9163";"2276";"598";"2763";"2430";"1095";3552551
"Suzano";"2019";"1407991";"873293";"111072";"7761";"211571";"204294";3552502
"Tabapuã";"2019";"22166";"338";"3398";"4633";"10478";"3319";3552601
"Tabatinga";"2019";"31410";"6800";"2911";"5971";"12049";"3679";3552700
"Taboão da Serra";"2019";"550773";"180578";"118247";"7";"230066";"21875";3552809
"Taciba";"2019";"9357";"257";"953";"2040";"4365";"1742";3552908
"Taguaí";"2019";"17053";"2255";"2821";"1998";"7775";"2203";3553005
"Taiaçu";"2019";"9657";"91";"917";"2565";"4504";"1579";3553104
"Taiúva";"2019";"12451";"1799";"1803";"1270";"4804";"2776";3553203
"Tambaú";"2019";"76504";"40704";"6910";"7762";"15664";"5463";3553302
"Tanabi";"2019";"56763";"13242";"8679";"5581";"22359";"6901";3553401
"Tapiraí";"2019";"11865";"833";"2287";"2536";"4694";"1515";3553500
"Tapiratiba";"2019";"22583";"394";"1964";"9683";"8660";"1882";3553609
"Taquaral";"2019";"8785";"43";"398";"5513";"1946";"885";3553658
"Taquaritinga";"2019";"111158";"13853";"20099";"10916";"48341";"17949";3553708
"Taquarituba";"2019";"40258";"4816";"5867";"8394";"15320";"5861";3553807
"Taquarivaí";"2019";"15659";"1310";"2693";"7793";"2799";"1064";3553856
"Tarabai";"2019";"12400";"3925";"1485";"1144";"4270";"1576";3553906
"Tarumã";"2019";"34092";"14855";"3392";"1719";"10605";"3522";3553955
"Tatuí";"2019";"384025";"186140";"60258";"19756";"92378";"25493";3554003
"Taubaté";"2019";"860746";"375790";"163053";"3636";"258943";"59324";3554102
"Tejupá";"2019";"6315";"93";"340";"2723";"2245";"913";3554201
"Teodoro Sampaio";"2019";"34912";"2739";"7219";"4537";"15845";"4572";3554300
"Terra Roxa";"2019";"14637";"3205";"1497";"1101";"6789";"2046";3554409
"Tietê";"2019";"160293";"82384";"16793";"17610";"31146";"12361";3554508
"Timburi";"2019";"3790";"1";"381";"1106";"1301";"1002";3554607
"Torre de Pedra";"2019";"3600";"18";"339";"908";"1721";"615";3554656
"Torrinha";"2019";"18382";"1024";"1981";"5513";"6798";"3066";3554706
"Trabiju";"2019";"7358";"2283";"773";"2351";"1249";"702";3554755
"Tremembé";"2019";"98526";"25216";"8394";"2109";"33864";"28942";3554805
"Três Fronteiras";"2019";"12524";"1215";"1363";"2623";"5646";"1677";3554904
"Tuiuti";"2019";"11136";"79";"898";"3820";"4968";"1371";3554953
"Tupã";"2019";"149192";"23160";"32585";"13761";"58533";"21153";3555000
"Tupi Paulista";"2019";"29284";"969";"5406";"4731";"12833";"5345";3555109
"Turiúba";"2019";"3784";"38";"414";"1145";"1656";"532";3555208
"Turmalina";"2019";"5530";"25";"297";"3230";"1351";"628";3555307
"Ubarana";"2019";"14753";"2981";"1068";"4696";"4723";"1286";3555356
"Ubatuba";"2019";"225663";"5719";"63487";"1235";"134894";"20328";3555406
"Ubirajara";"2019";"8620";"524";"734";"3178";"3160";"1024";3555505
"Uchoa";"2019";"34652";"19378";"2024";"1834";"8492";"2924";3555604
"União Paulista";"2019";"2805";"2";"350";"900";"1023";"529";3555703
"Urânia";"2019";"20096";"3233";"2576";"5825";"6811";"1651";3555802
"Uru";"2019";"2776";"2";"242";"528";"1190";"813";3555901
"Urupês";"2019";"35023";"2361";"5660";"9880";"13394";"3728";3556008
"Valentim Gentil";"2019";"40949";"17313";"4205";"3873";"11555";"4003";3556107
"Valinhos";"2019";"476900";"215965";"83539";"5671";"139831";"31894";3556206
"Valparaíso";"2019";"76463";"41360";"4483";"2160";"19026";"9435";3556305
"Vargem";"2019";"15777";"1812";"2309";"2548";"7658";"1450";3556354
"Vargem Grande do Sul";"2019";"99486";"26848";"21076";"12059";"30270";"9233";3556404
"Vargem Grande Paulista";"2019";"202112";"105015";"25324";"854";"49941";"20979";3556453
"Várzea Paulista";"2019";"291820";"151301";"24761";"185";"93740";"21834";3556503
"Vera Cruz";"2019";"16901";"432";"2951";"2524";"7609";"3385";3556602
"Vinhedo";"2019";"458004";"272333";"67919";"1761";"92040";"23950";3556701
"Viradouro";"2019";"29599";"1844";"4470";"2423";"16565";"4295";3556800
"Vista Alegre do Alto";"2019";"23040";"6236";"1865";"5942";"7035";"1963";3556909
"Vitória Brasil";"2019";"3115";"64";"358";"968";"1270";"456";3556958
"Votorantim";"2019";"472873";"295259";"43554";"345";"106103";"27612";3557006
"Votuporanga";"2019";"243680";"29334";"63950";"31515";"92229";"26652";3557105
"Zacarias";"2019";"7695";"732";"631";"2771";"2568";"993";3557154
