"Localidades";"Períodos";"Valor Adicionado Total (Em mil reais correntes)";"Valor Adicionado da Administração Pública (Em mil reais correntes)";"Valor Adicionado na Indústria (Em mil reais correntes)";"Valor Adicionado dos Serviços (Em mil reais correntes)";"Valor Adicionado da Agropecuária (Em mil reais correntes)";"Impostos sobre Produtos Líquidos de Subsídios (Em mil reais correntes)";"Participação da Administração Pública no Total do Valor Adicionado (Em %)";"Participação da Indústria no Total do Valor Adicionado (Em %)";"Participação dos Serviços no Total do Valor Adicionado (Em %)";"Participação da Agropecuária no Total do Valor Adicionado (Em %)";"Cód. IBGE"
"Araras";"2018";"4933860,1";"553299,85";"1365752,95";"3465698,76";"102408,39";"631278,12";"11,21";"27,68";"70,24";"2,08";3503307
"Araçariguama";"2018";"2691372,55";"116825,75";"901461,39";"1788732,9";"1178,26";"579486,45";"4,34";"33,49";"66,46";"0,04";3502754
"Araçatuba";"2018";"6723668,31";"681472,54";"1148211,33";"5466418,14";"109038,85";"625753,03";"10,14";"17,08";"81,3";"1,62";3502804
"Araçoiaba da Serra";"2018";"779055,41";"133253,37";"229311,07";"528548,87";"21195,48";"82926,19";"17,1";"29,43";"67,84";"2,72";3502903
"Arco-Íris";"2018";"51595,32";"12949,09";"5855,37";"23855,95";"21884,01";"1419,8";"25,1";"11,35";"46,24";"42,41";3503356
"Arealva";"2018";"216993,08";"34652,72";"14516,61";"134448,58";"68027,89";"13794,79";"15,97";"6,69";"61,96";"31,35";3503406
"Areias";"2018";"41529,35";"20162,99";"1274,79";"35395,5";"4859,07";"1598,26";"48,55";"3,07";"85,23";"11,7";3503505
"Areiópolis";"2018";"137494,26";"42396,38";"11397,16";"100350,33";"25746,77";"5507,85";"30,84";"8,29";"72,99";"18,73";3503604
"Ariranha";"2018";"570384,84";"41533,82";"193090,41";"356049,02";"21245,4";"158198,22";"7,28";"33,85";"62,42";"3,72";3503703
"Artur Nogueira";"2018";"1056040,66";"194737,94";"197632,8";"744482,83";"113925,03";"128228,82";"18,44";"18,71";"70,5";"10,79";3503802
"Arujá";"2018";"5142300,91";"366044,55";"943418,11";"4174561,38";"24321,42";"1013113,43";"7,12";"18,35";"81,18";"0,47";3503901
"Aspásia";"2018";"34235,58";"11718,99";"1793,37";"21587,39";"10854,83";"969,72";"34,23";"5,24";"63,06";"31,71";3503950
"Assis";"2018";"3030591,83";"395938,96";"544811,16";"2439439,25";"46341,42";"332743,84";"13,06";"17,98";"80,49";"1,53";3504008
"Atibaia";"2018";"5992019,4";"592132,03";"1827296,27";"4001894,54";"162828,59";"1148384,87";"9,88";"30,5";"66,79";"2,72";3504107
"Auriflama";"2018";"288049,13";"61838,74";"38186,75";"226490,86";"23371,53";"16761,38";"21,47";"13,26";"78,63";"8,11";3504206
"Avaí";"2018";"263535,84";"26843,3";"10067,55";"89224,45";"164243,83";"8372,21";"10,19";"3,82";"33,86";"62,32";3504305
"Avanhandava";"2018";"295387,74";"52819,77";"101047,57";"159344,92";"34995,25";"24077,55";"17,88";"34,21";"53,94";"11,85";3504404
"Avaré";"2018";"2505122,31";"369710,57";"482741,33";"1902814,13";"119566,85";"232038,45";"14,76";"19,27";"75,96";"4,77";3504503
"Bady Bassitt";"2018";"323873,7";"71524,39";"36176,37";"275978,45";"11718,88";"29547,26";"22,08";"11,17";"85,21";"3,62";3504602
"Balbinos";"2018";"55748,62";"23367,05";"5325,86";"35715,81";"14706,95";"1814,17";"41,92";"9,55";"64,07";"26,38";3504701
"Bálsamo";"2018";"186708,56";"36223,14";"25468,63";"134515,41";"26724,52";"16331,16";"19,4";"13,64";"72,05";"14,31";3504800
"Bananal";"2018";"173662,07";"46591,91";"32807,26";"134103,31";"6751,51";"10891,67";"26,83";"18,89";"77,22";"3,89";3504909
"Barão de Antonina";"2018";"51774,27";"17663,31";"2500,48";"35205,92";"14067,87";"1501,35";"34,12";"4,83";"68";"27,17";3505005
"Barbosa";"2018";"91093,97";"28665,65";"7219,56";"68168,07";"15706,34";"3817,13";"31,47";"7,93";"74,83";"17,24";3505104
"Bariri";"2018";"1033411,07";"142946,92";"282602,41";"697020,84";"53787,83";"126788,19";"13,83";"27,35";"67,45";"5,2";3505203
"Barra Bonita";"2018";"1170457,65";"149025,94";"368603,58";"785482,97";"16371,1";"112074,02";"12,73";"31,49";"67,11";"1,4";3505302
"Barra do Chapéu";"2018";"78712,6";"24158,11";"3397,07";"42780,66";"32534,87";"2503,73";"30,69";"4,32";"54,35";"41,33";3505351
"Barra do Turvo";"2018";"83887,11";"35624,34";"4870,83";"75689,17";"3327,11";"7132,68";"42,47";"5,81";"90,23";"3,97";3505401
"Barretos";"2018";"4453435,79";"521551,9";"1193448,4";"3069896,54";"190090,85";"405933,29";"11,71";"26,8";"68,93";"4,27";3505500
"Barrinha";"2018";"482667,85";"123151,52";"83370,07";"376829,12";"22468,66";"34988,28";"25,51";"17,27";"78,07";"4,66";3505609
"Barueri";"2018";"36438842,45";"1844659,96";"4525241,17";"31913282,22";"319,06";"14127801,54";"5,06";"12,42";"87,58";"0";3505708
"Bastos";"2018";"907803,1";"85204,77";"108312,02";"367527,75";"431963,33";"51722,05";"9,39";"11,93";"40,49";"47,58";3505807
"Batatais";"2018";"1456146,48";"240524,75";"221975,77";"1106081,57";"128089,14";"133922,01";"16,52";"15,24";"75,96";"8,8";3505906
"Bauru";"2018";"13282541,67";"1430660,77";"2641158,31";"10594487,37";"46895,99";"1359519,09";"10,77";"19,88";"79,76";"0,35";3506003
"Bebedouro";"2018";"2908378,78";"334259,95";"450708,86";"2362740,67";"94929,24";"436172,59";"11,49";"15,5";"81,24";"3,26";3506102
"Bento de Abreu";"2018";"154701,34";"18523,62";"61078,63";"59348,22";"34274,49";"12846,01";"11,97";"39,48";"38,36";"22,16";3506201
"Bernardino de Campos";"2018";"204823,94";"44580,88";"40163,46";"139402,24";"25258,25";"15434,59";"21,77";"19,61";"68,06";"12,33";3506300
"Bertioga";"2018";"1594989,07";"371543,35";"177571,88";"1411742,57";"5674,62";"95607,18";"23,29";"11,13";"88,51";"0,36";3506359
"Bilac";"2018";"184097,63";"32427,76";"8397,4";"118707,31";"56992,92";"8943,66";"17,61";"4,56";"64,48";"30,96";3506409
"Birigui";"2018";"3020937,9";"473613,68";"630094,23";"2338488,71";"52354,97";"315631,7";"15,68";"20,86";"77,41";"1,73";3506508
"Biritiba Mirim";"2018";"663899,47";"115045,67";"39588,89";"343439,45";"280871,13";"23703,12";"17,33";"5,96";"51,73";"42,31";3506607
"Boa Esperança do Sul";"2018";"292647,24";"63418,57";"21126,74";"185227,87";"86292,64";"16836,79";"21,67";"7,22";"63,29";"29,49";3506706
"Bocaina";"2018";"202125,78";"50629,42";"26455,96";"141888,77";"33781,04";"15339,92";"25,05";"13,09";"70,2";"16,71";3506805
"Bofete";"2018";"177419,79";"47330,56";"27472,52";"116166,71";"33780,56";"9696,27";"26,68";"15,48";"65,48";"19,04";3506904
"Boituva";"2018";"2020178,49";"264472,07";"712120,03";"1287672,15";"20386,31";"361338,66";"13,09";"35,25";"63,74";"1,01";3507001
"Bom Jesus dos Perdões";"2018";"774984,28";"99420,62";"310372,16";"456599,66";"8012,46";"133443,68";"12,83";"40,05";"58,92";"1,03";3507100
"Bom Sucesso de Itararé";"2018";"60078,98";"18932,45";"14262,58";"40022,51";"5793,89";"2580,79";"31,51";"23,74";"66,62";"9,64";3507159
"Borá";"2018";"65235,74";"8331,57";"26673,09";"26028,64";"12534,01";"5653,84";"12,77";"40,89";"39,9";"19,21";3507209
"Boracéia";"2018";"346388,9";"23141,47";"191056,68";"136823,99";"18508,23";"36782,64";"6,68";"55,16";"39,5";"5,34";3507308
"Borborema";"2018";"347048,5";"66874,4";"26898,39";"238577,75";"81572,36";"25196,91";"19,27";"7,75";"68,74";"23,5";3507407
"Borebi";"2018";"61214,97";"16907,75";"2798,71";"38050,29";"20365,97";"4063,19";"27,62";"4,57";"62,16";"33,27";3507456
"Botucatu";"2018";"4212251,1";"471018,13";"1090166,24";"2921017,14";"201067,73";"411158,37";"11,18";"25,88";"69,35";"4,77";3507506
"Bragança Paulista";"2018";"5544497,76";"622758,03";"1606000,1";"3893275,54";"45222,12";"761008,98";"11,23";"28,97";"70,22";"0,82";3507605
"Braúna";"2018";"94347,9";"25766,98";"8301,17";"63507,37";"22539,36";"3814,89";"27,31";"8,8";"67,31";"23,89";3507704
"Brejo Alegre";"2018";"77752,81";"19177,72";"21260,55";"46826,16";"9666,1";"5406,27";"24,66";"27,34";"60,22";"12,43";3507753
"Brodowski";"2018";"605278,07";"104287,41";"158396,86";"404170,35";"42710,86";"63701,65";"17,23";"26,17";"66,77";"7,06";3507803
"Brotas";"2018";"599981,59";"107398,66";"67274,73";"442756,64";"89950,23";"57872,3";"17,9";"11,21";"73,8";"14,99";3507902
"Buri";"2018";"393393,25";"83534,48";"42021,42";"226508,2";"124863,64";"20312,78";"21,23";"10,68";"57,58";"31,74";3508009
"Buritama";"2018";"600372,57";"72769,01";"248558,25";"306431,75";"45382,56";"35289,84";"12,12";"41,4";"51,04";"7,56";3508108
"Buritizal";"2018";"168961,58";"26474,78";"62237,86";"73693,41";"33030,32";"9003,91";"15,67";"36,84";"43,62";"19,55";3508207
"Cabrália Paulista";"2018";"78593,23";"21784,36";"14284,96";"46522,72";"17785,56";"3957,22";"27,72";"18,18";"59,19";"22,63";3508306
"Cabreúva";"2018";"3640688,85";"223327,25";"1129791,5";"2482107,4";"28789,95";"1036453,35";"6,13";"31,03";"68,18";"0,79";3508405
